timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.029882190749049187,3.8578575,0.13932624,2020-03-26
1,0.05304018780589104,3.907722,0.24771598,2020-03-27
2,0.048628415912389755,3.9062524,0.23299627,2020-03-30
3,0.07683169096708298,3.9617662,0.34119296,2020-03-31
4,0.053769681602716446,3.8806891,0.26878268,2020-04-01
5,0.042201463133096695,3.7967138,0.20103152,2020-04-02
6,0.04300793632864952,3.6563544,0.19891448,2020-04-03
7,0.043060772120952606,3.747409,0.21414019,2020-04-06
8,0.039215877652168274,3.7937188,0.1866141,2020-04-07
9,0.043833378702402115,3.7676766,0.20879857,2020-04-08
10,0.039702706038951874,3.799313,0.18722726,2020-04-09
11,0.04121217131614685,3.7977958,0.19980747,2020-04-13
12,0.046864092350006104,3.7820747,0.22108093,2020-04-14
13,0.04325544089078903,3.7098238,0.20707838,2020-04-15
14,0.05419965460896492,3.5709035,0.24958274,2020-04-16
15,0.04265420883893967,3.8426518,0.22303024,2020-04-17
16,0.06646084040403366,3.929871,0.31387916,2020-04-20
17,0.04199455678462982,3.7944918,0.20951131,2020-04-21
18,0.035732049494981766,3.692649,0.16123404,2020-04-22
19,0.03540419414639473,3.823195,0.18151242,2020-04-23
20,0.07002975046634674,3.9329414,0.32967252,2020-04-24
21,0.03567410632967949,3.8503797,0.1639324,2020-04-27
22,0.04651813954114914,3.8608887,0.20566966,2020-04-28
23,0.03862676024436951,3.5926151,0.18204261,2020-04-29
24,0.056459035724401474,3.8257606,0.27995163,2020-04-30
25,0.04977397620677948,3.814745,0.24444488,2020-05-01
26,0.027013804763555527,3.888903,0.13700105,2020-05-04
27,0.05327741429209709,3.934376,0.25340706,2020-05-05
28,0.06590213626623154,3.921995,0.32088035,2020-05-06
29,0.06802898645401001,3.9469826,0.31082532,2020-05-07
30,0.0904436707496643,3.9746392,0.40264997,2020-05-08
31,0.06499269604682922,3.9042928,0.30757627,2020-05-11
32,0.03322901949286461,3.7856896,0.1669128,2020-05-12
33,0.035731568932533264,3.727504,0.17562687,2020-05-13
34,0.05593887344002724,3.2748356,0.25127903,2020-05-14
35,0.037719324231147766,3.7384284,0.18196934,2020-05-15
36,0.05288262665271759,3.8390906,0.25143048,2020-05-18
37,0.0342477448284626,3.8112035,0.16436377,2020-05-19
38,0.028406059369444847,3.7738397,0.13000637,2020-05-20
39,0.03909720852971077,3.8489003,0.19246453,2020-05-21
40,0.06818104535341263,3.941022,0.32608068,2020-05-22
41,0.056023962795734406,3.8810797,0.2711615,2020-05-26
42,0.04428476095199585,3.847013,0.21677107,2020-05-27
43,0.06351304054260254,3.8565133,0.30158225,2020-05-28
44,0.038147926330566406,3.7986972,0.19127546,2020-05-29
45,0.05119453743100166,3.7023807,0.2394578,2020-06-01
46,0.05037853121757507,3.8359623,0.24456847,2020-06-02
47,0.052122317254543304,3.8833733,0.2531717,2020-06-03
48,0.07953658699989319,3.9744759,0.3716757,2020-06-04
49,0.03993859142065048,3.842853,0.1915561,2020-06-05
50,0.06829085201025009,3.9454741,0.32966402,2020-06-08
51,0.07333942502737045,3.942719,0.35549122,2020-06-09
52,0.05842213332653046,3.86511,0.2878972,2020-06-10
53,0.05824575573205948,3.8012125,0.28486454,2020-06-11
54,0.06882483512163162,3.9541328,0.3469048,2020-06-12
55,0.042773738503456116,3.760871,0.20247532,2020-06-15
56,0.08510870486497879,3.962553,0.39355412,2020-06-16
57,0.06047913432121277,3.9289923,0.29045844,2020-06-17
58,0.040785275399684906,3.8350706,0.19769125,2020-06-18
59,0.06549946963787079,3.926692,0.3217903,2020-06-19
60,0.07734847068786621,3.9537377,0.35600382,2020-06-22
61,0.054045964032411575,3.9554207,0.2710583,2020-06-23
62,0.08546921610832214,3.9646273,0.39357084,2020-06-24
63,0.0905725359916687,3.9711745,0.41349047,2020-06-25
64,0.08648400753736496,3.9395466,0.40522087,2020-06-26
65,0.048599787056446075,3.9415333,0.24554189,2020-06-29
66,0.07926205545663834,3.9744794,0.36884093,2020-06-30
67,0.07036636024713516,3.9417696,0.34404528,2020-07-01
68,0.07904324680566788,3.9536798,0.3657526,2020-07-02
69,0.07243335992097855,3.9400823,0.3421036,2020-07-06
70,0.09408941119909286,3.9720805,0.42503712,2020-07-07
71,0.0685625746846199,3.9736855,0.33420092,2020-07-08
72,0.07777711749076843,3.9649487,0.36267522,2020-07-09
73,0.08383071422576904,3.9726303,0.38676,2020-07-10
74,0.07540274411439896,3.9783084,0.35134512,2020-07-13
75,0.08562041819095612,3.975723,0.38965574,2020-07-14
76,0.08526493608951569,3.9704757,0.40269575,2020-07-15
77,0.08614644408226013,3.9733028,0.40244895,2020-07-16
