timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.5465338,0.0,2020-03-27
1,0.0,3.5750153,0.0,2020-03-30
2,0.0,3.5715768,0.0,2020-03-31
3,0.0,3.427794,0.0,2020-04-01
4,0.0,3.4678018,0.0,2020-04-02
5,0.0,3.3147259,0.0,2020-04-03
6,0.0,3.548593,0.0,2020-04-06
7,0.0,3.5019503,0.0,2020-04-07
8,0.0,3.587614,0.0,2020-04-08
9,0.0,3.7446141,0.0,2020-04-09
10,0.0,3.7687194,0.0,2020-04-13
11,0.0,3.5265617,0.0,2020-04-14
12,0.0,3.0945065,0.0,2020-04-15
13,0.0,3.4160328,0.0,2020-04-16
14,0.0,3.683004,0.0,2020-04-17
15,0.0,3.5105045,0.0,2020-04-20
16,0.0,3.5466123,0.0,2020-04-21
17,0.0,3.690074,0.0,2020-04-22
18,0.0,3.5016541,0.0,2020-04-23
19,0.0,3.7126071,0.0,2020-04-24
20,0.0,3.2181458,0.0,2020-04-27
21,0.0,3.4740665,0.0,2020-04-28
22,0.0,3.5453122,0.0,2020-04-29
23,0.0,3.708681,0.0,2020-04-30
24,0.0,3.6517677,0.0,2020-05-01
25,0.0,3.6670873,0.0,2020-05-04
26,0.0,3.501134,0.0,2020-05-05
27,0.0,3.5829062,0.0,2020-05-06
28,0.0,3.6682568,0.0,2020-05-07
29,0.0,3.5361323,0.0,2020-05-08
30,0.0,3.6922762,0.0,2020-05-11
31,0.0,3.5258574,0.0,2020-05-12
32,0.0,2.8697207,0.0,2020-05-13
33,0.0,2.7447104,0.0,2020-05-14
34,0.0,3.21237,0.0,2020-05-15
35,0.0,3.6191952,0.0,2020-05-18
36,0.0,3.79381,0.0,2020-05-19
37,0.0,3.6221707,0.0,2020-05-20
38,0.0,3.4209173,0.0,2020-05-21
39,0.0,3.634594,0.0,2020-05-22
40,0.0,3.6287076,0.0,2020-05-26
41,0.0,3.6897874,0.0,2020-05-27
42,0.0,3.400626,0.0,2020-05-28
43,0.0,3.5876224,0.0,2020-05-29
44,0.0,3.5334826,0.0,2020-06-01
45,0.0,3.5597804,0.0,2020-06-02
46,0.0,3.749112,0.0,2020-06-03
47,0.0,3.589295,0.0,2020-06-04
48,0.0,3.6532505,0.0,2020-06-05
49,0.0,3.791278,0.0,2020-06-08
50,0.0,3.5862224,0.0,2020-06-09
51,0.0,3.6430678,0.0,2020-06-10
52,0.0,3.6647427,0.0,2020-06-11
53,0.0,3.7449155,0.0,2020-06-12
54,0.0,3.7785954,0.0,2020-06-15
55,0.0,3.6226163,0.0,2020-06-16
56,0.0,3.6982791,0.0,2020-06-17
57,0.0,3.5507188,0.0,2020-06-18
58,0.0,3.7004528,0.0,2020-06-19
59,0.0,3.587558,0.0,2020-06-22
60,0.0,3.7321866,0.0,2020-06-23
61,0.0,3.6974468,0.0,2020-06-24
62,0.0,3.7338836,0.0,2020-06-25
63,0.0,3.7837217,0.0,2020-06-26
64,0.0,3.6325057,0.0,2020-06-29
65,0.0,3.7525518,0.0,2020-06-30
66,0.0,3.786036,0.0,2020-07-01
67,0.0,3.7425604,0.0,2020-07-02
68,0.0,3.7267828,0.0,2020-07-06
69,0.0,3.7838259,0.0,2020-07-07
70,0.0,3.765749,0.0,2020-07-08
71,0.0,3.7779255,0.0,2020-07-09
72,0.0,3.7679155,0.0,2020-07-10
73,0.0,3.7785792,0.0,2020-07-13
74,0.0,3.698935,0.0,2020-07-14
75,0.0,3.759562,0.0,2020-07-15
76,0.0,3.7433677,0.0,2020-07-16
77,0.0,3.7728615,0.0,2020-07-17
78,0.0,3.7737901,0.0,2020-07-20
79,0.0,3.7779236,0.0,2020-07-21
80,0.0,3.639085,0.0,2020-07-22
81,0.0,3.7713609,0.0,2020-07-23
82,0.0,3.781598,0.0,2020-07-24
83,0.0,3.6870272,0.0,2020-07-27
84,0.0,3.7645774,0.0,2020-07-28
85,0.0,3.7655349,0.0,2020-07-29
86,0.0,3.7372255,0.0,2020-07-30
87,0.0,3.7521374,0.0,2020-07-31
88,0.0,3.636969,0.0,2020-08-03
89,0.0,3.7575362,0.0,2020-08-04
90,0.0,3.7322214,0.0,2020-08-05
91,0.0,3.540058,0.0,2020-08-06
92,0.0,3.6117187,0.0,2020-08-07
93,0.0,3.6979046,0.0,2020-08-10
94,0.0,3.642058,0.0,2020-08-11
95,0.0,3.47825,0.0,2020-08-12
96,0.0,3.7761638,0.0,2020-08-13
97,0.0,3.7755063,0.0,2020-08-14
98,0.0,3.7657318,0.0,2020-08-17
99,0.0,3.626628,0.0,2020-08-18
100,0.0,3.7815065,0.0,2020-08-19
101,0.0,3.641458,0.0,2020-08-20
102,0.0,3.6030428,0.0,2020-08-21
103,0.0,3.6065793,0.0,2020-08-24
104,0.0,3.4638057,0.0,2020-08-25
105,0.0,3.5727537,0.0,2020-08-26
106,0.0,3.7681253,0.0,2020-08-27
107,0.0,3.743502,0.0,2020-08-28
108,0.0,3.7411704,0.0,2020-08-31
109,0.0,3.7582674,0.0,2020-09-01
110,0.0,3.7598915,0.0,2020-09-02
111,0.0,3.6120253,0.0,2020-09-03
112,0.0,3.780517,0.0,2020-09-04
113,0.0,3.6729462,0.0,2020-09-08
114,0.0,3.7585301,0.0,2020-09-09
115,0.0,3.723494,0.0,2020-09-10
116,0.0,3.779582,0.0,2020-09-11
117,0.0,3.7391946,0.0,2020-09-14
118,0.0,3.7810497,0.0,2020-09-15
119,0.0,3.586188,0.0,2020-09-16
120,0.0,3.6180637,0.0,2020-09-17
121,0.0,3.6522493,0.0,2020-09-18
122,0.0,3.6915252,0.0,2020-09-21
123,0.0,3.73103,0.0,2020-09-22
124,0.0,3.7610137,0.0,2020-09-23
125,0.0,3.6914492,0.0,2020-09-24
126,0.0,3.7585382,0.0,2020-09-25
127,0.0,3.726808,0.0,2020-09-28
128,0.0,3.6724916,0.0,2020-09-29
129,0.0,3.216814,0.0,2020-09-30
130,0.0,3.6566775,0.0,2020-10-01
131,0.0,3.5513918,0.0,2020-10-02
132,0.0,3.6903582,0.0,2020-10-05
133,0.0,3.7042234,0.0,2020-10-06
134,0.0,3.6374779,0.0,2020-10-07
135,0.0,3.437308,0.0,2020-10-08
136,0.0,3.746504,0.0,2020-10-09
137,0.0,3.0432673,0.0,2020-10-12
138,0.0,3.4705198,0.0,2020-10-13
139,0.0,3.6325703,0.0,2020-10-14
140,0.0,3.671294,0.0,2020-10-15
141,0.0,3.685071,0.0,2020-10-16
142,0.0,3.4370697,0.0,2020-10-19
143,0.0,3.7339492,0.0,2020-10-20
144,0.0,3.7579823,0.0,2020-10-21
145,0.0,3.7537575,0.0,2020-10-22
146,0.0,3.7893012,0.0,2020-10-23
147,0.0,3.6315336,0.0,2020-10-26
148,0.0,3.726934,0.0,2020-10-27
149,0.0,3.7171924,0.0,2020-10-28
150,0.0,3.752374,0.0,2020-10-29
151,0.0,3.7873473,0.0,2020-10-30
152,0.0,3.7734268,0.0,2020-11-02
153,0.0,3.6154163,0.0,2020-11-03
154,0.0,3.7132537,0.0,2020-11-04
155,0.0,3.7576466,0.0,2020-11-05
156,0.0,3.7329826,0.0,2020-11-06
157,0.0,3.7628498,0.0,2020-11-09
158,0.0,3.7583225,0.0,2020-11-10
159,0.0,3.7759497,0.0,2020-11-11
160,0.0,3.7658358,0.0,2020-11-12
161,0.0,3.7502608,0.0,2020-11-13
162,0.0,3.7743056,0.0,2020-11-16
163,0.0,3.771161,0.0,2020-11-17
164,0.0,3.7494762,0.0,2020-11-18
165,0.0,3.769687,0.0,2020-11-19
166,0.0,3.706628,0.0,2020-11-20
167,0.0,3.6925352,0.0,2020-11-23
168,0.0,3.7458444,0.0,2020-11-24
169,0.0,3.7464137,0.0,2020-11-25
170,0.0,3.773153,0.0,2020-11-27
171,0.0,3.7499418,0.0,2020-11-30
172,0.0,3.7333565,0.0,2020-12-01
173,0.0,3.7736616,0.0,2020-12-02
174,0.0,3.783853,0.0,2020-12-03
175,0.0,3.7519028,0.0,2020-12-04
176,0.0,3.6525307,0.0,2020-12-07
177,0.0,3.670474,0.0,2020-12-08
178,0.0,3.649538,0.0,2020-12-09
179,0.0,3.7731304,0.0,2020-12-10
180,0.0,3.7777314,0.0,2020-12-11
181,0.0,3.6676521,0.0,2020-12-14
182,0.0,3.762205,0.0,2020-12-15
183,0.0,3.7399118,0.0,2020-12-16
184,0.0,3.740119,0.0,2020-12-17
185,0.0,3.7676327,0.0,2020-12-18
186,0.0,3.7687545,0.0,2020-12-21
187,0.0,3.779648,0.0,2020-12-22
188,0.0,3.7667303,0.0,2020-12-23
189,0.0,3.7898648,0.0,2020-12-24
190,0.0,3.5531733,0.0,2020-12-28
191,0.0,3.7089417,0.0,2020-12-29
192,0.0,3.6674516,0.0,2020-12-30
193,0.0,3.7530234,0.0,2020-12-31
194,0.0,3.7727919,0.0,2021-01-04
195,0.0,3.7748988,0.0,2021-01-05
196,0.0,3.7611039,0.0,2021-01-06
197,0.0,3.7372086,0.0,2021-01-07
198,0.0,3.7586606,0.0,2021-01-08
199,0.0,3.7225277,0.0,2021-01-11
200,0.0,3.7819624,0.0,2021-01-12
201,0.0,3.750665,0.0,2021-01-13
202,0.0,3.750585,0.0,2021-01-14
203,0.0,3.7785835,0.0,2021-01-15
204,0.0,3.7402306,0.0,2021-01-19
205,0.0,3.7747655,0.0,2021-01-20
206,0.0,3.7691035,0.0,2021-01-21
207,0.0,3.770686,0.0,2021-01-22
208,0.0,3.7103713,0.0,2021-01-25
209,0.0,3.7461822,0.0,2021-01-26
210,0.0,3.74301,0.0,2021-01-27
211,0.0,3.6943405,0.0,2021-01-28
212,0.0,3.705676,0.0,2021-01-29
213,0.0,3.6849606,0.0,2021-02-01
214,0.0,3.6885839,0.0,2021-02-02
215,0.0,3.7715914,0.0,2021-02-03
216,0.0,3.7824996,0.0,2021-02-04
217,0.0,3.6488771,0.0,2021-02-05
218,0.0,3.760356,0.0,2021-02-08
219,0.0,3.7305768,0.0,2021-02-09
220,0.0,3.7024956,0.0,2021-02-10
221,0.0,3.7256913,0.0,2021-02-11
222,0.0,3.6558597,0.0,2021-02-12
223,0.0,3.780319,0.0,2021-02-16
