timestep,ck_kl,ck_tv,date
0,0.026009224361009605,0.08877637894158917,2020-03-24
1,0.03707345936942173,0.10418690735096041,2020-03-25
2,0.011810211134223347,0.058881558565061914,2020-03-26
3,0.09248893059836255,0.17666830251825097,2020-03-27
4,0.07941579753534435,0.16269874996550643,2020-03-30
5,0.07459733084805369,0.15784798586301685,2020-03-31
6,0.04689545000615138,0.12201125481218512,2020-04-01
7,0.012566107811735202,0.060439348646529716,2020-04-02
8,0.015248814948804649,0.06720694815069596,2020-04-03
9,0.012444956545275611,0.06001832691270847,2020-04-06
10,0.024312142465447634,0.08628998682176653,2020-04-07
11,0.0665375918185389,0.1473902414319033,2020-04-08
12,0.06843386515290377,0.14983764661202648,2020-04-09
13,0.06310934978749255,0.14352475503039328,2020-04-13
14,0.012458148197496728,0.060325882307925856,2020-04-14
15,0.012563142444841212,0.06048752047532705,2020-04-15
16,0.011907132753755817,0.05891770707322071,2020-04-16
17,0.01164464406131522,0.05799480444699352,2020-04-17
18,0.011688751982666912,0.05794460470839218,2020-04-20
19,0.010660869067307108,0.054947175324348216,2020-04-21
20,0.01279215962234956,0.060700658366225964,2020-04-22
21,0.013093378845407346,0.0615710727586946,2020-04-23
22,0.013649767092283485,0.06293581359515706,2020-04-24
23,0.018319717449089657,0.0738532954204534,2020-04-27
24,0.0150360252318438,0.06637890682756889,2020-04-28
25,0.009433792538161625,0.05044426843435838,2020-04-29
26,0.009718355185010104,0.05143746832528813,2020-04-30
27,0.013452879284563726,0.05846851861233794,2020-05-01
28,0.00925255899223648,0.04921251580101103,2020-05-04
29,0.018942437010325372,0.07539893607160691,2020-05-05
30,0.023514256725279545,0.08484124839149132,2020-05-06
31,0.28179710992078,0.31616359365467395,2020-05-07
32,0.17461363169666438,0.24654745343388995,2020-05-08
33,0.1122618324471577,0.19528496772138718,2020-05-11
34,0.08826331425817341,0.17190598572681862,2020-05-12
35,0.01577367712934653,0.06865274801194744,2020-05-13
36,0.01576059426659063,0.06861145441534912,2020-05-14
37,0.036429475300857585,0.10634584210446696,2020-05-15
38,0.018960429298298876,0.07549435189267793,2020-05-18
39,0.01760674794605765,0.07252335007347434,2020-05-19
40,0.035796234994113746,0.1053349320924278,2020-05-20
41,0.016358952220920365,0.06993701472855411,2020-05-21
42,0.05602619204617677,0.13383881322168534,2020-05-22
43,0.03311633072721072,0.10115358339272491,2020-05-26
44,0.0135705361668634,0.0631913671424878,2020-05-27
45,0.010776269222968324,0.055321908144605955,2020-05-28
46,0.017215266510547247,0.07045966895828935,2020-05-29
47,0.010646209673604348,0.05457936934839413,2020-06-01
48,0.014283159775544238,0.06450806014584888,2020-06-02
49,0.014400170283688592,0.06462512206056761,2020-06-03
50,0.02379134599145605,0.08512836393032863,2020-06-04
51,0.01376086156182582,0.06301172313573648,2020-06-05
52,0.039919509930129826,0.11210048828376883,2020-06-08
