timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.047584276646375656,3.7116983,0.2455638,2020-03-27
1,0.047881465405225754,3.7075765,0.2474133,2020-03-30
2,0.047243788838386536,3.7283845,0.24174015,2020-03-31
3,0.0498417466878891,3.689892,0.25794122,2020-04-01
4,0.052017465233802795,3.5092027,0.25916263,2020-04-02
5,0.052298493683338165,3.5374022,0.26165012,2020-04-03
6,0.052402570843696594,3.5860515,0.26449648,2020-04-06
7,0.052357982844114304,3.5762594,0.26382545,2020-04-07
8,0.05131327733397484,3.6313372,0.26197618,2020-04-08
9,0.04910481721162796,3.6873639,0.25241944,2020-04-09
10,0.04875493794679642,3.692313,0.2506565,2020-04-13
11,0.05248576030135155,3.5856786,0.2646734,2020-04-14
12,0.05260137841105461,3.5228436,0.26174417,2020-04-15
13,0.052671365439891815,3.5877986,0.2653761,2020-04-16
14,0.052665624767541885,3.5995166,0.26600775,2020-04-17
15,0.05134626850485802,3.6534777,0.26235053,2020-04-20
16,0.052021320909261703,3.635188,0.26487002,2020-04-21
17,0.0504000149667263,3.6831524,0.2590549,2020-04-22
18,0.05140546336770058,3.6605048,0.2620464,2020-04-23
19,0.05040222033858299,3.6842854,0.2586118,2020-04-24
20,0.05037618800997734,3.6883407,0.25876188,2020-04-27
21,0.049832943826913834,3.6982188,0.25524366,2020-04-28
22,0.05036932975053787,3.6844196,0.25827053,2020-04-29
23,0.050208743661642075,3.6983495,0.2575112,2020-04-30
24,0.050517063587903976,3.687073,0.2594228,2020-05-01
25,0.05015162378549576,3.7064724,0.256821,2020-05-04
26,0.050173237919807434,3.7257087,0.25356588,2020-05-05
27,0.05012529715895653,3.7265327,0.25322998,2020-05-06
28,0.051994964480400085,3.7457085,0.25683433,2020-05-07
29,0.050848107784986496,3.7362337,0.25327247,2020-05-08
30,0.05026368051767349,3.715691,0.2554813,2020-05-11
31,0.05043890327215195,3.7098799,0.25728476,2020-05-12
32,0.04943094402551651,3.3787653,0.24099612,2020-05-13
33,0.053320590406656265,3.5320628,0.2656424,2020-05-14
34,0.05346069857478142,3.5730095,0.26821026,2020-05-15
