timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0208460483700037,3.3793607,0.10688938,2020-03-26
1,0.022574197500944138,3.4369252,0.11406464,2020-03-27
2,0.02411688305437565,3.4348383,0.1126345,2020-03-30
3,0.0273651834577322,3.4175801,0.13621455,2020-03-31
4,0.021046089008450508,3.4520838,0.101615615,2020-04-01
5,0.018548810854554176,3.3598664,0.09546781,2020-04-02
6,0.03305777162313461,3.2050037,0.16370757,2020-04-03
7,0.026077913120388985,3.378965,0.13971896,2020-04-06
8,0.03597910329699516,3.3349848,0.17360967,2020-04-07
9,0.027023859322071075,3.4064782,0.13575816,2020-04-08
10,0.024327758699655533,3.4268944,0.12038576,2020-04-09
11,0.026881976053118706,3.4466057,0.12760961,2020-04-13
12,0.022536037489771843,3.350144,0.11949222,2020-04-14
13,0.030262723565101624,3.1396422,0.1540302,2020-04-15
14,0.026293618604540825,3.3622425,0.13429104,2020-04-16
15,0.021095259115099907,3.419771,0.11115442,2020-04-17
16,0.0263187475502491,3.350815,0.13264257,2020-04-20
17,0.019411223009228706,3.344126,0.093953826,2020-04-21
18,0.014426043257117271,3.1587374,0.07694222,2020-04-22
19,0.02493402734398842,3.4137843,0.13159405,2020-04-23
20,0.029644107446074486,3.4575725,0.13948049,2020-04-24
21,0.02336863800883293,3.4004922,0.11930472,2020-04-27
22,0.024316798895597458,3.3860219,0.12618704,2020-04-28
23,0.016733651980757713,3.4344144,0.0796691,2020-04-29
24,0.030256856232881546,3.3747911,0.14793277,2020-04-30
25,0.032997243106365204,3.4660735,0.152524,2020-05-01
26,0.014760148711502552,3.4655952,0.07718101,2020-05-04
27,0.020047888159751892,3.463241,0.09455209,2020-05-05
28,0.02551526203751564,3.4145453,0.1323829,2020-05-06
29,0.03368891030550003,3.4520657,0.16017726,2020-05-07
30,0.027439631521701813,3.4624465,0.13478234,2020-05-08
31,0.02946166694164276,3.4782202,0.1337946,2020-05-11
32,0.02190479263663292,3.4030254,0.118188515,2020-05-12
33,0.016312582418322563,2.5920782,0.087019056,2020-05-13
34,0.02219007909297943,2.936142,0.110658586,2020-05-14
35,0.028155973181128502,3.345689,0.13675198,2020-05-15
