ticker,model,vol_window,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
C,state_cond_vol_w21,21,1,35,42,3.342840671539306,3.4342362880706787,3.512492656707764,-0.0428554047816498
C,state_cond_vol_w21,21,1,35,7,3.3540244102478027,3.4334359169006348,3.514930486679077,-0.0404175748103363
C,state_cond_vol_w21,21,1,35,123,3.341728925704956,3.436302900314331,3.5136098861694336,-0.0417381753199799
C,state_cond_vol_w21,21,2,35,42,3.365622043609619,3.4609615802764893,3.5245449542999268,-0.0308031071894867
C,state_cond_vol_w21,21,2,35,7,3.3509292602539062,3.4635024070739746,3.5220718383789062,-0.0332762231105072
C,state_cond_vol_w21,21,2,35,123,3.3551185131073,3.466270446777344,3.52359390258789,-0.0317541589015228
C,state_cond_vol_w21,21,3,35,42,3.361150026321411,3.4791970252990723,3.5442922115325928,-0.0110558499568207
C,state_cond_vol_w21,21,3,35,7,3.358007431030273,3.4816641807556152,3.542725086212158,-0.0126229752772553
C,state_cond_vol_w21,21,3,35,123,3.358227014541626,3.4802005290985107,3.5471386909484863,-0.0082093705409271
C,state_cond_vol_w21,21,5,35,42,3.356642246246338,3.479126214981079,3.5270204544067383,-0.0283276070826752
C,state_cond_vol_w21,21,5,35,7,3.3572838306427,3.4812793731689453,3.523857593536377,-0.0314904679530365
C,state_cond_vol_w21,21,5,35,123,3.34939193725586,3.478300809860229,3.5252327919006348,-0.0301152695887787
C,state_cond_vol_w21,21,1,45,42,3.566925287246704,3.684347867965698,3.7706258296966553,-0.0360366600736643
C,state_cond_vol_w21,21,1,45,7,3.5774569511413574,3.683150768280029,3.774115800857544,-0.0325466889127756
C,state_cond_vol_w21,21,1,45,123,3.5820019245147705,3.679372549057007,3.7669193744659424,-0.0397431153043772
C,state_cond_vol_w21,21,2,45,42,3.599515914916992,3.721222400665283,3.779025077819824,-0.0276374119504954
C,state_cond_vol_w21,21,2,45,7,3.588747501373291,3.72445559501648,3.781540632247925,-0.0251218575223948
C,state_cond_vol_w21,21,2,45,123,3.613714218139648,3.715433120727539,3.780700206756592,-0.0259622830137278
C,state_cond_vol_w21,21,3,45,42,3.5818450450897217,3.738856792449951,3.797637701034546,-0.0090247887357737
C,state_cond_vol_w21,21,3,45,7,3.5676989555358887,3.7560317516326895,3.807504892349243,0.0008424025789235
C,state_cond_vol_w21,21,3,45,123,3.604822158813477,3.7347354888916016,3.801149845123291,-0.0055126446470286
C,state_cond_vol_w21,21,5,45,42,3.605936050415039,3.733058452606201,3.7787399291992183,-0.0279225605711008
C,state_cond_vol_w21,21,5,45,7,3.5950417518615723,3.748779058456421,3.775591135025024,-0.0310713547452952
C,state_cond_vol_w21,21,5,45,123,3.603835105895996,3.7334280014038086,3.7815215587615967,-0.0251409310087229
C,state_cond_vol_w21,21,1,55,42,3.7967002391815186,3.883387327194214,3.9636216163635254,-0.04371156886894578
C,state_cond_vol_w21,21,1,55,7,3.7798428535461426,3.887014627456665,3.963810443878174,-0.043522741354297345
C,state_cond_vol_w21,21,1,55,123,3.7712039947509766,3.882378101348877,3.970318555831909,-0.037014629400561994
C,state_cond_vol_w21,21,2,55,42,3.7987406253814697,3.9153902530670166,3.9810757637023926,-0.026257421530078595
C,state_cond_vol_w21,21,2,55,7,3.793764352798462,3.918182134628296,3.974257707595825,-0.03307547763664598
C,state_cond_vol_w21,21,2,55,123,3.773746967315674,3.922414541244507,3.9846677780151367,-0.022665407217334455
C,state_cond_vol_w21,21,3,55,42,3.791374921798706,3.9452273845672607,3.9974172115325928,-0.0099159736998784
C,state_cond_vol_w21,21,3,55,7,3.7850441932678223,3.9500198364257812,3.9975945949554443,-0.009738590277026837
C,state_cond_vol_w21,21,3,55,123,3.7858774662017822,3.939124345779419,3.997704267501831,-0.009628917730640119
C,state_cond_vol_w21,21,5,55,42,3.793344736099243,3.9332737922668457,3.9769582748413086,-0.03037491039116258
C,state_cond_vol_w21,21,5,55,7,3.7812726497650146,3.951167345046997,3.9802262783050537,-0.027106906927417462
C,state_cond_vol_w21,21,5,55,123,3.7702724933624268,3.944795608520508,3.9824042320251465,-0.02492895320732469
