timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.019886018708348274,3.8255484,0.07722233,2020-03-26
1,0.031181199476122856,3.9234073,0.12324491,2020-03-27
2,0.030443308874964714,3.8379006,0.11780561,2020-03-30
3,0.03536813333630562,3.929687,0.1410156,2020-03-31
4,0.025715572759509087,3.8477669,0.10467487,2020-04-01
5,0.024864692240953445,3.841255,0.096814215,2020-04-02
6,0.023971455171704292,3.8029222,0.1019031,2020-04-03
7,0.03125697001814842,3.893472,0.128251,2020-04-06
8,0.019993683323264122,3.8278177,0.082530856,2020-04-07
9,0.03274116665124893,3.8852434,0.13021912,2020-04-08
10,0.0336613729596138,3.9212844,0.13512535,2020-04-09
11,0.03096752054989338,3.912843,0.12713481,2020-04-13
12,0.027987413108348846,3.823058,0.10945451,2020-04-14
13,0.03439842164516449,3.7117088,0.14026687,2020-04-15
14,0.026094889268279076,3.8502896,0.103326924,2020-04-16
15,0.03428272157907486,3.937467,0.14780107,2020-04-17
16,0.03347555175423622,3.9111636,0.12491623,2020-04-20
17,0.026232432574033737,3.7623591,0.10404184,2020-04-21
18,0.027764037251472473,3.833479,0.10246991,2020-04-22
19,0.027104482054710388,3.810186,0.11512998,2020-04-23
20,0.04648300260305405,3.9634025,0.18842527,2020-04-24
21,0.01945761777460575,3.8552516,0.0802401,2020-04-27
22,0.03166760876774788,3.776919,0.1262871,2020-04-28
23,0.02152065746486187,3.7266932,0.08426677,2020-04-29
24,0.02404771000146866,3.8348243,0.09572807,2020-04-30
25,0.041403744369745255,3.954252,0.16489124,2020-05-01
26,0.029037535190582275,3.9178884,0.12388148,2020-05-04
27,0.03706972673535347,3.9522352,0.15038192,2020-05-05
28,0.036681801080703735,3.891681,0.14581458,2020-05-06
29,0.05237291008234024,3.9685385,0.19968306,2020-05-07
30,0.03508869931101799,3.9101229,0.14110568,2020-05-08
31,0.03703859820961952,3.9280753,0.15239012,2020-05-11
32,0.025062380358576775,3.8472764,0.10061245,2020-05-12
33,0.028683273121714592,3.3657174,0.11471195,2020-05-13
34,0.027570780366659164,3.511791,0.10950479,2020-05-14
35,0.022762412205338478,3.8125267,0.09553768,2020-05-15
36,0.035916268825531006,3.8863344,0.14199087,2020-05-18
37,0.033262331038713455,3.886976,0.13200529,2020-05-19
38,0.0331515371799469,3.492413,0.12891532,2020-05-20
39,0.02602626197040081,3.863398,0.109837785,2020-05-21
40,0.04279099777340889,3.958705,0.17744552,2020-05-22
41,0.0421045646071434,3.9572623,0.17295319,2020-05-26
42,0.030298825353384018,3.8657534,0.12696292,2020-05-27
43,0.031038427725434303,3.9238029,0.12616742,2020-05-28
44,0.02756044827401638,3.7693377,0.11072091,2020-05-29
45,0.02622656337916851,3.8040974,0.102499895,2020-06-01
46,0.028548426926136017,3.8846247,0.11826632,2020-06-02
47,0.03811969980597496,3.9229407,0.15167114,2020-06-03
48,0.0315263569355011,3.937459,0.12813635,2020-06-04
49,0.03433855250477791,3.8523254,0.13737796,2020-06-05
50,0.036101315170526505,3.94497,0.14888635,2020-06-08
51,0.03232135996222496,3.9290943,0.13120353,2020-06-09
52,0.03869970887899399,3.9310575,0.15734449,2020-06-10
53,0.03677860274910927,3.9278882,0.14663664,2020-06-11
54,0.04860677942633629,3.9792857,0.19717637,2020-06-12
55,0.03556815907359123,3.9088757,0.1391405,2020-06-15
56,0.04411454126238823,3.9677796,0.17391366,2020-06-16
57,0.05279048904776573,3.979473,0.20895013,2020-06-17
58,0.02764374203979969,3.8917089,0.11038929,2020-06-18
59,0.04880177229642868,3.9726312,0.19987842,2020-06-19
60,0.04765439033508301,3.9727695,0.18761393,2020-06-22
61,0.0418052114546299,3.9673734,0.18064782,2020-06-23
62,0.05841537564992905,3.987427,0.2361838,2020-06-24
63,0.06560252606868744,3.9776871,0.25253376,2020-06-25
64,0.06906097382307053,3.9794881,0.27349353,2020-06-26
65,0.05787298083305359,3.9890318,0.23924373,2020-06-29
66,0.056432392448186874,3.9858165,0.22488257,2020-06-30
67,0.038439683616161346,3.9384573,0.15820095,2020-07-01
68,0.05428236722946167,3.9857461,0.21938781,2020-07-02
69,0.05572574585676193,3.9851787,0.22042385,2020-07-06
70,0.07216853648424149,3.9824789,0.28171018,2020-07-07
71,0.06692753732204437,3.9640598,0.26148942,2020-07-08
72,0.0641155019402504,3.9826436,0.2497039,2020-07-09
73,0.06905713677406311,3.9443126,0.26051193,2020-07-10
74,0.06408242136240005,3.982507,0.2560277,2020-07-13
75,0.06596112996339798,3.9877906,0.2629178,2020-07-14
76,0.06546362489461899,3.9878182,0.26225755,2020-07-15
77,0.0596374049782753,3.9877753,0.2368577,2020-07-16
78,0.05773863196372986,3.9884028,0.23248678,2020-07-17
79,0.06530817598104477,3.98317,0.26154807,2020-07-20
80,0.0537133626639843,3.980419,0.21420518,2020-07-21
81,0.05869381129741669,3.9849832,0.23002744,2020-07-22
82,0.06132519990205765,3.9875648,0.2396828,2020-07-23
83,0.06116587668657303,3.987637,0.23968048,2020-07-24
84,0.05868668109178543,3.9858956,0.22757164,2020-07-27
85,0.06108875200152397,3.9879808,0.24121527,2020-07-28
86,0.060841288417577744,3.9899817,0.23957461,2020-07-29
87,0.06702647358179092,3.9798021,0.25381604,2020-07-30
88,0.0674695298075676,3.9825845,0.26055333,2020-07-31
89,0.03438388183712959,3.9269326,0.14341357,2020-08-03
90,0.0634474903345108,3.9870968,0.25162464,2020-08-04
91,0.05277031287550926,3.980112,0.20805945,2020-08-05
92,0.04327673092484474,3.950755,0.1808974,2020-08-06
93,0.05097806826233864,3.9782934,0.20944944,2020-08-07
94,0.03269291669130325,3.8994036,0.13558137,2020-08-10
95,0.037193551659584045,3.9382834,0.15102704,2020-08-11
96,0.03730855509638786,3.9300904,0.15692362,2020-08-12
97,0.05941096320748329,3.9867847,0.23769808,2020-08-13
98,0.050420865416526794,3.9803388,0.2054402,2020-08-14
99,0.03453183174133301,3.9169858,0.13586792,2020-08-17
100,0.05176150053739548,3.9885867,0.20433366,2020-08-18
101,0.06035878509283066,3.9890208,0.23216633,2020-08-19
102,0.043122295290231705,3.9570155,0.17842782,2020-08-20
103,0.04545705392956734,3.970964,0.18918817,2020-08-21
104,0.03726530820131302,3.9353259,0.14812766,2020-08-24
105,0.03602232784032822,3.9102168,0.14820279,2020-08-25
106,0.03682265803217888,3.9216564,0.14960915,2020-08-26
107,0.05536487326025963,3.9867892,0.21705571,2020-08-27
108,0.05080968141555786,3.9692404,0.1976923,2020-08-28
109,0.046421848237514496,3.9597003,0.1822188,2020-08-31
110,0.05032379552721977,3.9756925,0.19751914,2020-09-01
111,0.047151774168014526,3.9733307,0.1873336,2020-09-02
112,0.055511221289634705,3.9860723,0.2291286,2020-09-03
