timestep,ck_kl,ck_tv,date
0,0.014877396651970493,0.06445288950535477,2020-03-26
1,0.030343728330381296,0.09494100537519863,2020-03-27
2,0.020619466216945225,0.07647212291826397,2020-03-30
3,0.04127009716925692,0.11303491863752785,2020-03-31
4,0.032578782537692155,0.10335859307765521,2020-04-01
5,0.06000800253277501,0.1308446280068088,2020-04-02
6,0.03174921815479314,0.09736658577450222,2020-04-03
7,0.012318614584339424,0.05972479617832986,2020-04-06
8,0.17127187717025408,0.2225389579360364,2020-04-07
9,0.0926543650357343,0.15560258062872223,2020-04-08
10,0.09463715658409316,0.18065323551412382,2020-04-09
11,0.21355464590635978,0.27309535587865313,2020-04-13
12,0.012756634442158216,0.05513667437710526,2020-04-14
13,0.4186064727964045,0.3205419855551747,2020-04-15
14,0.02390439340323826,0.09120419702604995,2020-04-16
15,0.021775618476254577,0.08053107679897792,2020-04-17
16,0.11109163878497483,0.18625518980634742,2020-04-20
17,0.026054232707738066,0.0888040019014674,2020-04-21
18,0.15662257138176813,0.21759291082753768,2020-04-22
19,0.10367576170687069,0.18986158979482365,2020-04-23
20,0.049687760670290654,0.13040510638196168,2020-04-24
21,0.07199633003485525,0.15512903810839357,2020-04-27
22,0.04330385117108385,0.11277883120581539,2020-04-28
23,0.03568637880002029,0.09997025393084594,2020-04-29
24,0.4455311198080393,0.3146809245441702,2020-04-30
25,0.009896113656376028,0.05407022639061109,2020-05-01
26,0.01366905751634725,0.06352582740867617,2020-05-04
27,0.00758809169430726,0.047733111168000344,2020-05-05
28,0.008316422174808973,0.051104512398947664,2020-05-06
29,0.08854243628989952,0.14422939928379108,2020-05-07
30,0.03511332599599926,0.09737886405092769,2020-05-08
31,0.8983468559378351,0.5472040701174423,2020-05-11
32,0.20790560160683058,0.26891931555867166,2020-05-12
33,0.32444080997782015,0.3248720301419788,2020-05-13
34,0.3027720079652428,0.3026568317850287,2020-05-14
35,0.15972323671596564,0.21052415376618444,2020-05-15
36,0.18074286209487228,0.25244253596619576,2020-05-18
37,0.02786310761016014,0.09180670031659205,2020-05-19
38,0.31191939290458853,0.2922664736624297,2020-05-20
39,0.09387282733504654,0.15038210721268974,2020-05-21
40,0.008395802662197414,0.05033874241279549,2020-05-22
41,0.049965430435254025,0.13428236045024072,2020-05-26
42,0.01910475742195475,0.07809918273468275,2020-05-27
43,0.020352126653490805,0.07815040605344446,2020-05-28
44,0.08406417187920705,0.15501717770509418,2020-05-29
45,0.09024343843508212,0.16240007391115627,2020-06-01
46,0.01889189874157612,0.07716215401200652,2020-06-02
47,0.06862277011870403,0.15556356202056945,2020-06-03
48,0.06949504037110266,0.12209826599336022,2020-06-04
49,0.03693140081043396,0.10142904308529427,2020-06-05
50,0.011794254350789613,0.05898876983743397,2020-06-08
51,0.009333477251979621,0.05097086723570589,2020-06-09
52,0.0955481841398887,0.14268101987233067,2020-06-10
53,0.08377010443610505,0.1509993787758741,2020-06-11
54,0.011341256083536769,0.05934411443902713,2020-06-12
55,0.02117295067047728,0.07548969144017771,2020-06-15
56,0.051711605226961936,0.1017174946801233,2020-06-16
57,0.020922392848207464,0.06749688450182935,2020-06-17
58,0.01657670037178352,0.0749818720378554,2020-06-18
59,0.16377056386336147,0.19005707524778195,2020-06-19
60,0.010747442018540165,0.057414575440811855,2020-06-22
61,0.01350386261754132,0.05609973543181522,2020-06-23
62,0.016994716680787315,0.05583383040038588,2020-06-24
63,0.02994698257341214,0.06867691353880055,2020-06-25
64,0.008051698563176155,0.05112866630083538,2020-06-26
65,0.06205824345761371,0.11458994397189583,2020-06-29
66,0.013182159182547986,0.05367606704169377,2020-06-30
67,0.006571025143279913,0.04337133996891919,2020-07-01
68,0.028628682761281162,0.07571118409952197,2020-07-02
69,0.14177868645749286,0.1754696554813605,2020-07-06
70,0.009117065197281327,0.0444211675203969,2020-07-07
71,0.006177790796353568,0.038363301481592796,2020-07-08
72,0.016579544554149565,0.05596589750560498,2020-07-09
73,0.04649848499229512,0.13409915424454502,2020-07-10
74,0.18822741755484312,0.21215341876365496,2020-07-13
75,0.00983610531226671,0.05382316837445177,2020-07-14
76,0.013826004871613425,0.06553400671628895,2020-07-15
77,0.23811280751028324,0.2343386615203408,2020-07-16
78,0.012484108613885419,0.061718585016428025,2020-07-17
79,0.10324859704157209,0.1989928873226574,2020-07-20
80,0.017074839090051995,0.05546736736368175,2020-07-21
81,0.06831516699425214,0.12895215925023895,2020-07-22
82,0.08412045377319287,0.1789355297144797,2020-07-23
83,0.009413846587588075,0.05578101314588299,2020-07-24
84,0.09901971874426538,0.154133698265922,2020-07-27
85,0.040969930528151115,0.12497236112217913,2020-07-28
86,0.02336542221492449,0.06272355603246696,2020-07-29
87,0.018407365535446567,0.07258857287479317,2020-07-30
88,0.009222113039197254,0.053151433699197254,2020-07-31
89,0.0070956839569132355,0.044793616984236194,2020-08-03
90,0.1591247305937915,0.2440718161008396,2020-08-04
91,0.012082911824767319,0.06478571992959041,2020-08-05
92,0.024504841123927524,0.0889828089273621,2020-08-06
93,0.009298038124283536,0.04959222064816786,2020-08-07
94,0.012442004692838994,0.06193939889280077,2020-08-10
