ticker,model,vol_window,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
C,state_free,,1,35,42,3.3315086364746094,3.449103593826294,3.5258076190948486,-0.0295404423945648
C,state_free,,1,35,7,3.3410115242004395,3.4382994174957275,3.526296138763428,-0.0290519227259857
C,state_free,,1,35,123,3.356395721435547,3.437833070755005,3.514910221099853,-0.04043784038956
C,state_free,,2,35,42,3.3640801906585693,3.466888904571533,3.523234844207764,-0.0321132172816498
C,state_free,,2,35,7,3.381754875183105,3.4538731575012207,3.521540880203247,-0.0338071812861664
C,state_free,,2,35,123,3.363146543502808,3.4600729942321777,3.5227770805358887,-0.0325709809535248
C,state_free,,3,35,42,3.346893548965454,3.488287210464477,3.54001522064209,-0.0153328408473236
C,state_free,,3,35,7,3.337646007537842,3.4799797534942627,3.547635316848755,-0.0077127446406586
C,state_free,,3,35,123,3.332651138305664,3.4835801124572754,3.545339822769165,-0.0100082387202484
C,state_free,,5,35,42,3.33135986328125,3.4993035793304443,3.5154178142547607,-0.0399302472346527
C,state_free,,5,35,7,3.3492653369903564,3.48164963722229,3.516499280929565,-0.038848780559848
C,state_free,,5,35,123,3.358555793762207,3.477034330368042,3.520202875137329,-0.0351451863520844
C,state_free,,1,45,42,3.563681125640869,3.697582721710205,3.7778685092926025,-0.028793980477717
C,state_free,,1,45,7,3.5723886489868164,3.685444593429565,3.7772293090820312,-0.0294331806882883
C,state_free,,1,45,123,3.582014560699463,3.684437990188599,3.767124176025391,-0.039538313744929
C,state_free,,2,45,42,3.591326236724853,3.7250218391418457,3.776556253433228,-0.030106236337092
C,state_free,,2,45,7,3.614938974380493,3.7098264694213863,3.773716449737549,-0.0329460400327707
C,state_free,,2,45,123,3.597735643386841,3.717383861541748,3.775614976882935,-0.031047512887385
C,state_free,,3,45,42,3.623125076293945,3.733121633529663,3.8000006675720215,-0.0066618221982981
C,state_free,,3,45,7,3.620514392852783,3.7265219688415527,3.7961814403533936,-0.010481049416926
C,state_free,,3,45,123,3.61168360710144,3.7319295406341553,3.791826248168945,-0.0148362416013743
C,state_free,,5,45,42,3.6079721450805664,3.746459484100342,3.774669647216797,-0.0319928425535227
C,state_free,,5,45,7,3.616601228713989,3.728173732757568,3.777387142181397,-0.0292753475889231
C,state_free,,5,45,123,3.576894760131836,3.744562149047852,3.76857852935791,-0.0380839604124094
C,state_free,,1,55,42,3.7794744968414307,3.896554708480835,3.9707398414611816,-0.03659334377128953
C,state_free,,1,55,7,3.7888200283050537,3.8800971508026123,3.96655011177063,-0.04078307346184129
C,state_free,,1,55,123,3.802171468734741,3.8816535472869873,3.958557367324829,-0.04877581790764207
C,state_free,,2,55,42,3.792860507965088,3.917264938354492,3.9793221950531006,-0.028010990179370587
C,state_free,,2,55,7,3.7887566089630127,3.918576955795288,3.974623918533325,-0.03270926669914598
C,state_free,,2,55,123,3.8008310794830322,3.9116384983062744,3.9745237827301025,-0.032809402502368634
C,state_free,,3,55,42,3.805450201034546,3.933006763458252,3.994339942932129,-0.012993242300342267
C,state_free,,3,55,7,3.81787371635437,3.9271976947784424,3.996558666229248,-0.010774519003223126
C,state_free,,3,55,123,3.802440881729126,3.928670883178711,3.9906113147735596,-0.016721870458911603
C,state_free,,5,55,42,3.8228166103363037,3.936432123184204,3.9817450046539307,-0.02558818057854051
C,state_free,,5,55,7,3.7914297580718994,3.934638023376465,3.967825174331665,-0.039508010900806134
C,state_free,,5,55,123,3.780128002166748,3.9550464153289795,3.975994110107422,-0.0313390751250493
