timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.3778434,0.0,2020-03-27
1,0.0,3.434879,0.0,2020-03-30
2,0.0,3.4638178,0.0,2020-03-31
3,0.0,3.5016773,0.0,2020-04-01
4,0.0,3.3559108,0.0,2020-04-02
5,0.0,3.1121328,0.0,2020-04-03
6,0.0,3.4512696,0.0,2020-04-06
7,0.0,3.0191479,0.0,2020-04-07
8,0.0,3.3754973,0.0,2020-04-08
9,0.0,3.4983244,0.0,2020-04-09
10,0.0,3.4555798,0.0,2020-04-13
11,0.0,3.1729975,0.0,2020-04-14
12,0.0,3.0420074,0.0,2020-04-15
13,0.0,3.13759,0.0,2020-04-16
14,0.0,3.4876196,0.0,2020-04-17
15,0.0,3.1543171,0.0,2020-04-20
16,0.0,3.3997147,0.0,2020-04-21
17,0.0,3.348902,0.0,2020-04-22
18,0.0,3.466187,0.0,2020-04-23
19,0.0,3.4481962,0.0,2020-04-24
20,0.0,3.0671575,0.0,2020-04-27
21,0.0,3.2564635,0.0,2020-04-28
22,0.0,3.3722806,0.0,2020-04-29
23,0.0,3.4097786,0.0,2020-04-30
24,0.0,3.3798392,0.0,2020-05-01
25,0.0,3.5137038,0.0,2020-05-04
26,0.0,3.3904753,0.0,2020-05-05
27,0.0,3.4125724,0.0,2020-05-06
28,0.0,3.4746394,0.0,2020-05-07
29,0.0,3.456662,0.0,2020-05-08
30,0.0,3.508316,0.0,2020-05-11
31,0.0,3.4485993,0.0,2020-05-12
32,0.0,2.2821105,0.0,2020-05-13
33,0.0,2.7979853,0.0,2020-05-14
34,0.0,3.4101076,0.0,2020-05-15
35,0.0,3.4443142,0.0,2020-05-18
36,0.0,3.4386616,0.0,2020-05-19
37,0.0,3.0671957,0.0,2020-05-20
38,0.0,3.3655765,0.0,2020-05-21
39,0.0,3.4846478,0.0,2020-05-22
40,0.0,3.5114565,0.0,2020-05-26
41,0.0,3.446735,0.0,2020-05-27
42,0.0,3.2842386,0.0,2020-05-28
43,0.0,3.4205716,0.0,2020-05-29
44,0.0,3.393217,0.0,2020-06-01
45,0.0,3.4435158,0.0,2020-06-02
46,0.0,3.4679654,0.0,2020-06-03
47,0.0,3.2900429,0.0,2020-06-04
48,0.0,3.3935595,0.0,2020-06-05
49,0.0,3.500353,0.0,2020-06-08
50,0.0,3.415048,0.0,2020-06-09
51,0.0,3.4581974,0.0,2020-06-10
52,0.0,3.4346786,0.0,2020-06-11
53,0.0,3.4910393,0.0,2020-06-12
54,0.0,3.5192757,0.0,2020-06-15
55,0.0,3.2745907,0.0,2020-06-16
56,0.0,3.464279,0.0,2020-06-17
57,0.0,3.4985642,0.0,2020-06-18
58,0.0,3.52289,0.0,2020-06-19
59,0.0,3.366499,0.0,2020-06-22
60,0.0,3.497899,0.0,2020-06-23
61,0.0,3.4742122,0.0,2020-06-24
62,0.0,3.4842134,0.0,2020-06-25
63,0.0,3.524212,0.0,2020-06-26
64,0.0,3.5170121,0.0,2020-06-29
65,0.0,3.5214756,0.0,2020-06-30
66,0.0,3.5213196,0.0,2020-07-01
67,0.0,3.5229812,0.0,2020-07-02
68,0.0,3.4912596,0.0,2020-07-06
69,0.0,3.5168574,0.0,2020-07-07
70,0.0,3.5008364,0.0,2020-07-08
71,0.0,3.5237617,0.0,2020-07-09
72,0.0,3.5340338,0.0,2020-07-10
73,0.0,3.5254319,0.0,2020-07-13
74,0.0,3.495534,0.0,2020-07-14
75,0.0,3.5042942,0.0,2020-07-15
76,0.0,3.508069,0.0,2020-07-16
77,0.0,3.5250893,0.0,2020-07-17
78,0.0,3.4884605,0.0,2020-07-20
79,0.0,3.5236342,0.0,2020-07-21
80,0.0,3.4579146,0.0,2020-07-22
81,0.0,3.525275,0.0,2020-07-23
82,0.0,3.5174813,0.0,2020-07-24
83,0.0,3.466542,0.0,2020-07-27
84,0.0,3.5166302,0.0,2020-07-28
85,0.0,3.50465,0.0,2020-07-29
86,0.0,3.5206792,0.0,2020-07-30
87,0.0,3.5188634,0.0,2020-07-31
88,0.0,3.4882019,0.0,2020-08-03
89,0.0,3.5302105,0.0,2020-08-04
90,0.0,3.4902363,0.0,2020-08-05
91,0.0,3.3846908,0.0,2020-08-06
92,0.0,3.4916112,0.0,2020-08-07
93,0.0,3.4146826,0.0,2020-08-10
94,0.0,3.5004613,0.0,2020-08-11
95,0.0,3.3846846,0.0,2020-08-12
96,0.0,3.5216458,0.0,2020-08-13
97,0.0,3.5194497,0.0,2020-08-14
98,0.0,3.44536,0.0,2020-08-17
99,0.0,3.4304185,0.0,2020-08-18
100,0.0,3.5164325,0.0,2020-08-19
101,0.0,3.4992433,0.0,2020-08-20
102,0.0,3.4927397,0.0,2020-08-21
103,0.0,3.464233,0.0,2020-08-24
104,0.0,3.3774326,0.0,2020-08-25
105,0.0,3.4111154,0.0,2020-08-26
106,0.0,3.5251062,0.0,2020-08-27
107,0.0,3.505386,0.0,2020-08-28
108,0.0,3.4975886,0.0,2020-08-31
109,0.0,3.470285,0.0,2020-09-01
110,0.0,3.5181425,0.0,2020-09-02
111,0.0,3.4602368,0.0,2020-09-03
112,0.0,3.5194275,0.0,2020-09-04
113,0.0,3.4275973,0.0,2020-09-08
114,0.0,3.5068305,0.0,2020-09-09
115,0.0,3.5176818,0.0,2020-09-10
116,0.0,3.5184126,0.0,2020-09-11
117,0.0,3.5286684,0.0,2020-09-14
118,0.0,3.521997,0.0,2020-09-15
119,0.0,3.4836338,0.0,2020-09-16
120,0.0,3.468241,0.0,2020-09-17
121,0.0,3.4991436,0.0,2020-09-18
122,0.0,3.47314,0.0,2020-09-21
123,0.0,3.424818,0.0,2020-09-22
124,0.0,3.5101967,0.0,2020-09-23
125,0.0,3.4500258,0.0,2020-09-24
126,0.0,3.5086617,0.0,2020-09-25
127,0.0,3.396936,0.0,2020-09-28
128,0.0,3.4374526,0.0,2020-09-29
129,0.0,2.968909,0.0,2020-09-30
130,0.0,3.400999,0.0,2020-10-01
131,0.0,3.2990863,0.0,2020-10-02
132,0.0,3.3900912,0.0,2020-10-05
133,0.0,3.4388947,0.0,2020-10-06
134,0.0,3.4853477,0.0,2020-10-07
135,0.0,3.2732239,0.0,2020-10-08
136,0.0,3.513453,0.0,2020-10-09
137,0.0,3.0859663,0.0,2020-10-12
138,0.0,3.3204749,0.0,2020-10-13
139,0.0,3.3076782,0.0,2020-10-14
140,0.0,3.5043519,0.0,2020-10-15
141,0.0,3.52764,0.0,2020-10-16
142,0.0,3.4149675,0.0,2020-10-19
143,0.0,3.5228393,0.0,2020-10-20
144,0.0,3.525018,0.0,2020-10-21
145,0.0,3.5305223,0.0,2020-10-22
146,0.0,3.5070176,0.0,2020-10-23
147,0.0,3.5216799,0.0,2020-10-26
148,0.0,3.531282,0.0,2020-10-27
149,0.0,3.5076296,0.0,2020-10-28
150,0.0,3.4719386,0.0,2020-10-29
151,0.0,3.5294592,0.0,2020-10-30
152,0.0,3.5331554,0.0,2020-11-02
153,0.0,3.5249646,0.0,2020-11-03
154,0.0,3.4406862,0.0,2020-11-04
155,0.0,3.5223231,0.0,2020-11-05
156,0.0,3.4316661,0.0,2020-11-06
157,0.0,3.4726956,0.0,2020-11-09
158,0.0,3.3208027,0.0,2020-11-10
159,0.0,3.4504817,0.0,2020-11-11
160,0.0,3.4693208,0.0,2020-11-12
161,0.0,3.533032,0.0,2020-11-13
162,0.0,3.5230803,0.0,2020-11-16
163,0.0,3.4519892,0.0,2020-11-17
164,0.0,3.399073,0.0,2020-11-18
165,0.0,3.5284836,0.0,2020-11-19
166,0.0,3.49058,0.0,2020-11-20
167,0.0,3.4464736,0.0,2020-11-23
168,0.0,3.5079007,0.0,2020-11-24
169,0.0,3.50719,0.0,2020-11-25
170,0.0,3.5113878,0.0,2020-11-27
171,0.0,3.495448,0.0,2020-11-30
172,0.0,3.5331535,0.0,2020-12-01
173,0.0,3.5173,0.0,2020-12-02
174,0.0,3.5267043,0.0,2020-12-03
175,0.0,3.529621,0.0,2020-12-04
176,0.0,3.5046358,0.0,2020-12-07
177,0.0,3.536228,0.0,2020-12-08
178,0.0,3.5067563,0.0,2020-12-09
179,0.0,3.5405936,0.0,2020-12-10
180,0.0,3.4906445,0.0,2020-12-11
181,0.0,3.5018258,0.0,2020-12-14
182,0.0,3.521435,0.0,2020-12-15
183,0.0,3.5009065,0.0,2020-12-16
184,0.0,3.492798,0.0,2020-12-17
185,0.0,3.4617703,0.0,2020-12-18
186,0.0,3.5067482,0.0,2020-12-21
187,0.0,3.5126753,0.0,2020-12-22
188,0.0,3.509259,0.0,2020-12-23
189,0.0,3.521978,0.0,2020-12-24
190,0.0,3.4601576,0.0,2020-12-28
191,0.0,3.5082226,0.0,2020-12-29
192,0.0,3.4339705,0.0,2020-12-30
193,0.0,3.5328708,0.0,2020-12-31
194,0.0,3.5267386,0.0,2021-01-04
195,0.0,3.5158079,0.0,2021-01-05
196,0.0,3.5301695,0.0,2021-01-06
197,0.0,3.4861846,0.0,2021-01-07
198,0.0,3.537454,0.0,2021-01-08
199,0.0,3.4947236,0.0,2021-01-11
200,0.0,3.4867659,0.0,2021-01-12
201,0.0,3.4627736,0.0,2021-01-13
202,0.0,3.5266438,0.0,2021-01-14
203,0.0,3.5199215,0.0,2021-01-15
204,0.0,3.509678,0.0,2021-01-19
205,0.0,3.5181491,0.0,2021-01-20
206,0.0,3.4859622,0.0,2021-01-21
207,0.0,3.513368,0.0,2021-01-22
208,0.0,3.5077052,0.0,2021-01-25
209,0.0,3.5320177,0.0,2021-01-26
210,0.0,3.5000825,0.0,2021-01-27
211,0.0,3.5116549,0.0,2021-01-28
212,0.0,3.5259113,0.0,2021-01-29
213,0.0,3.4982908,0.0,2021-02-01
214,0.0,3.4991915,0.0,2021-02-02
215,0.0,3.5140378,0.0,2021-02-03
216,0.0,3.5335844,0.0,2021-02-04
217,0.0,3.450504,0.0,2021-02-05
218,0.0,3.4020047,0.0,2021-02-08
219,0.0,3.5241294,0.0,2021-02-09
220,0.0,3.4235048,0.0,2021-02-10
221,0.0,3.5331562,0.0,2021-02-11
222,0.0,3.289673,0.0,2021-02-12
223,0.0,3.5254946,0.0,2021-02-16
224,0.0,3.5053506,0.0,2021-02-17
225,0.0,3.5316753,0.0,2021-02-18
226,0.0,3.4140253,0.0,2021-02-19
227,0.0,3.5235837,0.0,2021-02-22
228,0.0,3.52814,0.0,2021-02-23
229,0.0,3.4452043,0.0,2021-02-24
230,0.0,3.4622447,0.0,2021-02-25
231,0.0,3.513208,0.0,2021-02-26
232,0.0,3.525741,0.0,2021-03-01
233,0.0,3.4401124,0.0,2021-03-02
234,0.0,3.3488832,0.0,2021-03-03
235,0.0,3.455414,0.0,2021-03-04
236,0.0,3.2546425,0.0,2021-03-05
237,0.0,3.4962664,0.0,2021-03-08
238,0.0,3.3200986,0.0,2021-03-09
239,0.0,3.4722922,0.0,2021-03-10
240,0.0,3.3783064,0.0,2021-03-11
241,0.0,3.4115176,0.0,2021-03-12
242,0.0,3.286391,0.0,2021-03-15
243,0.0,3.5054283,0.0,2021-03-16
244,0.0,3.3337145,0.0,2021-03-17
245,0.0,3.4721658,0.0,2021-03-18
246,0.0,3.2563643,0.0,2021-03-19
247,0.0,3.4550478,0.0,2021-03-22
248,0.0,3.4961128,0.0,2021-03-23
249,0.0,3.4375863,0.0,2021-03-24
250,0.0,3.3856518,0.0,2021-03-25
251,0.0,3.4262328,0.0,2021-03-26
252,0.0,3.4574244,0.0,2021-03-29
253,0.0,3.3474932,0.0,2021-03-30
254,0.0,3.4545884,0.0,2021-03-31
255,0.0,3.3538613,0.0,2021-04-01
256,0.0,3.4517488,0.0,2021-04-05
257,0.0,3.4169326,0.0,2021-04-06
258,0.0,3.4259384,0.0,2021-04-07
259,0.0,3.4759483,0.0,2021-04-08
260,0.0,3.3719044,0.0,2021-04-09
261,0.0,3.4654977,0.0,2021-04-12
262,0.0,3.48111,0.0,2021-04-13
263,0.0,3.4974232,0.0,2021-04-14
264,0.0,3.5205507,0.0,2021-04-15
265,0.0,3.4385958,0.0,2021-04-16
266,0.0,3.4447634,0.0,2021-04-19
267,0.0,3.4814706,0.0,2021-04-20
268,0.0,3.532523,0.0,2021-04-21
269,0.0,3.4311655,0.0,2021-04-22
270,0.0,3.4607327,0.0,2021-04-23
271,0.0,3.297468,0.0,2021-04-26
272,0.0,3.484456,0.0,2021-04-27
273,0.0,3.355808,0.0,2021-04-28
274,0.0,3.4059038,0.0,2021-04-29
275,0.0,3.3154788,0.0,2021-04-30
276,0.0,3.4884167,0.0,2021-05-03
277,0.0,3.346787,0.0,2021-05-04
278,0.0,3.4087358,0.0,2021-05-05
279,0.0,3.338199,0.0,2021-05-06
280,0.0,3.3648558,0.0,2021-05-07
281,0.0,3.254908,0.0,2021-05-10
282,0.0,3.3943908,0.0,2021-05-11
283,0.0,3.4220564,0.0,2021-05-12
284,0.0,3.4601707,0.0,2021-05-13
285,0.0,3.3331633,0.0,2021-05-14
286,0.0,3.390986,0.0,2021-05-17
287,0.0,3.5124092,0.0,2021-05-18
288,0.0,3.5314927,0.0,2021-05-19
289,0.0,3.428543,0.0,2021-05-20
290,0.0,3.537981,0.0,2021-05-21
291,0.0,3.365594,0.0,2021-05-24
292,0.0,3.375159,0.0,2021-05-25
293,0.0,3.5308962,0.0,2021-05-26
294,0.0,3.3213854,0.0,2021-05-27
295,0.0,3.3371022,0.0,2021-05-28
296,0.0,3.38151,0.0,2021-06-01
297,0.0,3.4325929,0.0,2021-06-02
298,0.0,3.2871428,0.0,2021-06-03
299,0.0,3.2558854,0.0,2021-06-04
300,0.0,3.461931,0.0,2021-06-07
301,0.0,3.5056896,0.0,2021-06-08
302,0.0,3.4556272,0.0,2021-06-09
303,0.0,3.4694417,0.0,2021-06-10
304,0.0,3.4191608,0.0,2021-06-11
305,0.0,3.4101412,0.0,2021-06-14
306,0.0,3.4728518,0.0,2021-06-15
307,0.0,3.4832158,0.0,2021-06-16
308,0.0,3.3748934,0.0,2021-06-17
309,0.0,3.5234108,0.0,2021-06-18
310,0.0,3.518115,0.0,2021-06-21
311,0.0,3.4678397,0.0,2021-06-22
312,0.0,3.2423735,0.0,2021-06-23
313,0.0,3.418471,0.0,2021-06-24
314,0.0,3.5002866,0.0,2021-06-25
315,0.0,3.5060074,0.0,2021-06-28
316,0.0,3.485825,0.0,2021-06-29
317,0.0,3.4997683,0.0,2021-06-30
318,0.0,3.3595953,0.0,2021-07-01
319,0.0,3.4505248,0.0,2021-07-02
320,0.0,3.318073,0.0,2021-07-06
321,0.0,3.4231732,0.0,2021-07-07
322,0.0,3.4256136,0.0,2021-07-08
323,0.0,3.504101,0.0,2021-07-09
324,0.0,3.1983747,0.0,2021-07-12
325,0.0,3.427127,0.0,2021-07-13
326,0.0,3.4338076,0.0,2021-07-14
327,0.0,3.2884622,0.0,2021-07-15
328,0.0,3.35013,0.0,2021-07-16
329,0.0,3.3431053,0.0,2021-07-19
330,0.0,3.3856444,0.0,2021-07-20
331,0.0,3.504591,0.0,2021-07-21
332,0.0,3.5006728,0.0,2021-07-22
333,0.0,3.5180051,0.0,2021-07-23
334,0.0,3.3753319,0.0,2021-07-26
335,0.0,3.4404163,0.0,2021-07-27
336,0.0,3.3497436,0.0,2021-07-28
337,0.0,3.4496868,0.0,2021-07-29
338,0.0,3.3822002,0.0,2021-07-30
339,0.0,3.3004596,0.0,2021-08-02
340,0.0,3.4392633,0.0,2021-08-03
341,0.0,3.3481393,0.0,2021-08-04
342,0.0,3.541974,0.0,2021-08-05
343,0.0,3.3492708,0.0,2021-08-06
344,0.0,3.3600552,0.0,2021-08-09
345,0.0,3.3932307,0.0,2021-08-10
346,0.0,3.5097215,0.0,2021-08-11
347,0.0,3.4586906,0.0,2021-08-12
348,0.0,3.4721372,0.0,2021-08-13
349,0.0,3.451303,0.0,2021-08-16
350,0.0,3.4877572,0.0,2021-08-17
351,0.0,3.2656608,0.0,2021-08-18
352,0.0,3.522609,0.0,2021-08-19
353,0.0,3.5139742,0.0,2021-08-20
354,0.0,3.5343285,0.0,2021-08-23
355,0.0,3.4580626,0.0,2021-08-24
356,0.0,3.2987974,0.0,2021-08-25
357,0.0,3.361093,0.0,2021-08-26
358,0.0,3.5312037,0.0,2021-08-27
359,0.0,3.532312,0.0,2021-08-30
360,0.0,3.4706688,0.0,2021-08-31
361,0.0,3.5046558,0.0,2021-09-01
362,0.0,3.4634066,0.0,2021-09-02
363,0.0,3.5189261,0.0,2021-09-03
364,0.0,3.5152454,0.0,2021-09-07
365,0.0,3.4385133,0.0,2021-09-08
366,0.0,3.4000652,0.0,2021-09-09
367,0.0,3.4285562,0.0,2021-09-10
368,0.0,3.4459198,0.0,2021-09-13
369,0.0,3.4722192,0.0,2021-09-14
370,0.0,3.4276545,0.0,2021-09-15
371,0.0,3.354657,0.0,2021-09-16
372,0.0,3.5432625,0.0,2021-09-17
373,0.0,3.4520006,0.0,2021-09-20
374,0.0,3.1511014,0.0,2021-09-21
375,0.0,3.3020015,0.0,2021-09-22
376,0.0,3.5218494,0.0,2021-09-23
377,0.0,3.5256379,0.0,2021-09-24
378,0.0,3.161504,0.0,2021-09-27
379,0.0,3.4368644,0.0,2021-09-28
380,0.0,3.2912593,0.0,2021-09-29
381,0.0,3.3849473,0.0,2021-09-30
382,0.0,3.3033323,0.0,2021-10-01
383,0.0,3.3305361,0.0,2021-10-04
384,0.0,3.4543862,0.0,2021-10-05
385,0.0,3.3270755,0.0,2021-10-06
386,0.0,3.368761,0.0,2021-10-07
387,0.0,3.4755874,0.0,2021-10-08
388,0.0,3.252212,0.0,2021-10-11
389,0.0,3.2930636,0.0,2021-10-12
390,0.0,3.4505737,0.0,2021-10-13
391,0.0,3.5166607,0.0,2021-10-14
392,0.0,3.3125036,0.0,2021-10-15
393,0.0,3.327978,0.0,2021-10-18
394,0.0,3.257823,0.0,2021-10-19
395,0.0,3.3808565,0.0,2021-10-20
396,0.0,3.4531264,0.0,2021-10-21
397,0.0,3.327679,0.0,2021-10-22
398,0.0,3.461337,0.0,2021-10-25
399,0.0,3.4698355,0.0,2021-10-26
400,0.0,3.321186,0.0,2021-10-27
401,0.0,3.4992495,0.0,2021-10-28
402,0.0,3.5388656,0.0,2021-10-29
403,0.0,3.5157948,0.0,2021-11-01
404,0.0,3.4966586,0.0,2021-11-02
405,0.0,3.5194347,0.0,2021-11-03
406,0.0,3.4738603,0.0,2021-11-04
407,0.0,3.5174851,0.0,2021-11-05
408,0.0,3.5262704,0.0,2021-11-08
409,0.0,3.3792744,0.0,2021-11-09
410,0.0,3.5207481,0.0,2021-11-10
411,0.0,3.4568121,0.0,2021-11-11
412,0.0,3.4972672,0.0,2021-11-12
413,0.0,3.5177312,0.0,2021-11-15
414,0.0,3.3769407,0.0,2021-11-16
415,0.0,3.5404005,0.0,2021-11-17
416,0.0,3.488407,0.0,2021-11-18
417,0.0,3.4971638,0.0,2021-11-19
418,0.0,3.5279882,0.0,2021-11-22
419,0.0,3.4641907,0.0,2021-11-23
420,0.0,3.3763835,0.0,2021-11-24
421,0.0,3.4366508,0.0,2021-11-26
422,0.0,3.5268457,0.0,2021-11-29
423,0.0,3.3916757,0.0,2021-11-30
424,0.0,3.4557443,0.0,2021-12-01
425,0.0,3.3824093,0.0,2021-12-02
426,0.0,3.4989474,0.0,2021-12-03
427,0.0,3.4063132,0.0,2021-12-06
428,0.0,3.516646,0.0,2021-12-07
429,0.0,3.5137029,0.0,2021-12-08
430,0.0,3.4742143,0.0,2021-12-09
431,0.0,3.5245194,0.0,2021-12-10
432,0.0,3.4812589,0.0,2021-12-13
433,0.0,3.3469286,0.0,2021-12-14
434,0.0,3.5221121,0.0,2021-12-15
435,0.0,3.4785738,0.0,2021-12-16
436,0.0,3.50734,0.0,2021-12-17
437,0.0,3.524789,0.0,2021-12-20
438,0.0,3.4199696,0.0,2021-12-21
439,0.0,3.5032089,0.0,2021-12-22
440,0.0,3.4963734,0.0,2021-12-23
441,0.0,3.4469895,0.0,2021-12-27
442,0.0,3.4852479,0.0,2021-12-28
443,0.0,3.5096617,0.0,2021-12-29
444,0.0,3.5365198,0.0,2021-12-30
445,0.0,3.5310824,0.0,2021-12-31
446,0.0,3.5442915,0.0,2022-01-03
447,0.0,3.3891327,0.0,2022-01-04
448,0.0,3.5294495,0.0,2022-01-05
449,0.0,3.538983,0.0,2022-01-06
450,0.0,3.5212145,0.0,2022-01-07
451,0.0,3.517581,0.0,2022-01-10
452,0.0,3.4546905,0.0,2022-01-11
453,0.0,3.5395489,0.0,2022-01-12
454,0.0,3.48155,0.0,2022-01-13
455,0.0,3.4669466,0.0,2022-01-14
456,0.0,3.5308044,0.0,2022-01-18
457,0.0,3.5256953,0.0,2022-01-19
458,0.0,3.4089205,0.0,2022-01-20
459,0.0,3.3804286,0.0,2022-01-21
460,0.0,3.411794,0.0,2022-01-24
461,0.0,3.4565248,0.0,2022-01-25
462,0.0,3.4855688,0.0,2022-01-26
463,0.0,3.4800994,0.0,2022-01-27
464,0.0,3.4372978,0.0,2022-01-28
465,0.0,3.2794557,0.0,2022-01-31
466,0.0,3.259325,0.0,2022-02-01
467,0.0,3.4029799,0.0,2022-02-02
468,0.0,3.179872,0.0,2022-02-03
469,0.0,2.7497573,0.0,2022-02-04
470,0.0,3.08774,0.0,2022-02-07
471,0.0,3.3692307,0.0,2022-02-08
472,0.0,3.3704627,0.0,2022-02-09
473,0.0,3.3872795,0.0,2022-02-10
474,0.0,3.2650888,0.0,2022-02-11
475,0.0,3.4918942,0.0,2022-02-14
476,0.0,3.4546714,0.0,2022-02-15
477,0.0,3.5363162,0.0,2022-02-16
478,0.0,3.5398436,0.0,2022-02-17
479,0.0,3.5036361,0.0,2022-02-18
480,0.0,3.5350966,0.0,2022-02-22
481,0.0,3.5087328,0.0,2022-02-23
482,0.0,3.5344293,0.0,2022-02-24
483,0.0,3.5319185,0.0,2022-02-25
484,0.0,3.345078,0.0,2022-02-28
485,0.0,3.5251226,0.0,2022-03-01
486,0.0,3.4856162,0.0,2022-03-02
487,0.0,3.5334325,0.0,2022-03-03
488,0.0,3.5287778,0.0,2022-03-04
489,0.0,3.5310264,0.0,2022-03-07
490,0.0,3.5187697,0.0,2022-03-08
491,0.0,3.5171099,0.0,2022-03-09
492,0.0,3.5296223,0.0,2022-03-10
493,0.0,3.5374599,0.0,2022-03-11
494,0.0,3.5331368,0.0,2022-03-14
495,0.0,3.5344257,0.0,2022-03-15
496,0.0,3.5366256,0.0,2022-03-16
497,0.0,3.5303173,0.0,2022-03-17
498,0.0,3.5178542,0.0,2022-03-18
499,0.0,3.4832368,0.0,2022-03-21
500,0.0,3.5369413,0.0,2022-03-22
501,0.0,3.4939675,0.0,2022-03-23
502,0.0,3.197495,0.0,2022-03-24
503,0.0,3.4743514,0.0,2022-03-25
504,0.0,3.1762357,0.0,2022-03-28
505,0.0,3.3913682,0.0,2022-03-29
506,0.0,3.4772048,0.0,2022-03-30
507,0.0,3.105088,0.0,2022-03-31
508,0.0,3.3960905,0.0,2022-04-01
509,0.0,3.4537833,0.0,2022-04-04
510,0.0,3.5464003,0.0,2022-04-05
511,0.0,3.2822604,0.0,2022-04-06
512,0.0,3.366135,0.0,2022-04-07
513,0.0,3.1389906,0.0,2022-04-08
514,0.0,3.418362,0.0,2022-04-11
515,0.0,3.2074494,0.0,2022-04-12
516,0.0,3.3218963,0.0,2022-04-13
517,0.0,3.484846,0.0,2022-04-14
518,0.0,3.4232178,0.0,2022-04-18
519,0.0,3.5466921,0.0,2022-04-19
520,0.0,3.395711,0.0,2022-04-20
521,0.0,3.2793982,0.0,2022-04-21
522,0.0,3.4519312,0.0,2022-04-22
523,0.0,3.4380794,0.0,2022-04-25
524,0.0,3.451206,0.0,2022-04-26
525,0.0,3.3944502,0.0,2022-04-27
526,0.0,3.5167997,0.0,2022-04-28
527,0.0,3.544798,0.0,2022-04-29
528,0.0,3.3859522,0.0,2022-05-02
529,0.0,3.5229964,0.0,2022-05-03
530,0.0,3.5177183,0.0,2022-05-04
531,0.0,3.4636946,0.0,2022-05-05
532,0.0,3.479463,0.0,2022-05-06
533,0.0,3.5309958,0.0,2022-05-09
534,0.0,3.458603,0.0,2022-05-10
535,0.0,3.3892517,0.0,2022-05-11
536,0.0,2.887303,0.0,2022-05-12
537,0.0,2.866282,0.0,2022-05-13
538,0.0,3.2571766,0.0,2022-05-16
539,0.0,3.3582897,0.0,2022-05-17
540,0.0,3.3632932,0.0,2022-05-18
541,0.0,3.0743055,0.0,2022-05-19
542,0.0,3.4612732,0.0,2022-05-20
543,0.0,3.4773667,0.0,2022-05-23
544,0.0,3.514783,0.0,2022-05-24
545,0.0,3.4067905,0.0,2022-05-25
546,0.0,3.5285232,0.0,2022-05-26
547,0.0,3.3791568,0.0,2022-05-27
548,0.0,3.4952085,0.0,2022-05-31
549,0.0,3.3250103,0.0,2022-06-01
550,0.0,3.4761052,0.0,2022-06-02
551,0.0,3.511425,0.0,2022-06-03
552,0.0,3.4843261,0.0,2022-06-06
553,0.0,3.5254817,0.0,2022-06-07
554,0.0,3.5302534,0.0,2022-06-08
555,0.0,3.4216495,0.0,2022-06-09
556,0.0,3.4290571,0.0,2022-06-10
557,0.0,3.4694417,0.0,2022-06-13
558,0.0,3.4929929,0.0,2022-06-14
559,0.0,3.454275,0.0,2022-06-15
560,0.0,3.5341206,0.0,2022-06-16
561,0.0,3.53831,0.0,2022-06-17
562,0.0,3.5187697,0.0,2022-06-21
563,0.0,3.543147,0.0,2022-06-22
564,0.0,3.4610531,0.0,2022-06-23
565,0.0,3.5325015,0.0,2022-06-24
566,0.0,3.4573689,0.0,2022-06-27
567,0.0,3.5309687,0.0,2022-06-28
568,0.0,3.5339003,0.0,2022-06-29
569,0.0,3.5460036,0.0,2022-06-30
570,0.0,3.5027485,0.0,2022-07-01
571,0.0,3.5365126,0.0,2022-07-05
572,0.0,3.5289268,0.0,2022-07-06
573,0.0,3.529237,0.0,2022-07-07
574,0.0,3.5255258,0.0,2022-07-08
575,0.0,3.5325348,0.0,2022-07-11
576,0.0,3.5177422,0.0,2022-07-12
577,0.0,3.5274045,0.0,2022-07-13
578,0.0,3.5346541,0.0,2022-07-14
579,0.0,3.5292463,0.0,2022-07-15
580,0.0,3.5341122,0.0,2022-07-18
581,0.0,3.5297747,0.0,2022-07-19
582,0.0,3.5298262,0.0,2022-07-20
583,0.0,3.5283625,0.0,2022-07-21
584,0.0,3.5182102,0.0,2022-07-22
585,0.0,3.4677432,0.0,2022-07-25
586,0.0,3.4484673,0.0,2022-07-26
587,0.0,3.5193925,0.0,2022-07-27
588,0.0,3.5130196,0.0,2022-07-28
589,0.0,3.4515977,0.0,2022-07-29
590,0.0,3.4852512,0.0,2022-08-01
591,0.0,3.4202538,0.0,2022-08-02
592,0.0,3.5061696,0.0,2022-08-03
593,0.0,3.5094695,0.0,2022-08-04
594,0.0,3.4626403,0.0,2022-08-05
595,0.0,3.5017512,0.0,2022-08-08
596,0.0,3.5364716,0.0,2022-08-09
597,0.0,3.5356796,0.0,2022-08-10
598,0.0,3.516051,0.0,2022-08-11
599,0.0,3.5369995,0.0,2022-08-12
600,0.0,3.4232242,0.0,2022-08-15
601,0.0,3.394971,0.0,2022-08-16
602,0.0,3.398907,0.0,2022-08-17
603,0.0,3.5138571,0.0,2022-08-18
604,0.0,3.4967003,0.0,2022-08-19
605,0.0,3.3957057,0.0,2022-08-22
606,0.0,3.4199238,0.0,2022-08-23
607,0.0,3.3583338,0.0,2022-08-24
