timestep,ck_kl,ck_tv,ck_unavailable_reason,date
0,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-03-24
1,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-03-25
2,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-03-26
3,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-03-27
4,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-03-30
5,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-03-31
6,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-01
7,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-02
8,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-03
9,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-06
10,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-07
11,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-08
12,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-09
13,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-13
14,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-14
15,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-15
16,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-16
17,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-17
18,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-20
19,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-21
20,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-22
21,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-23
22,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-24
23,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-27
24,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-28
25,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-29
26,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-30
27,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-01
28,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-04
29,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-05
30,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-06
31,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-07
32,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-08
33,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-11
34,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-12
35,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-13
36,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-14
37,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-15
38,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-18
39,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-19
40,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-20
41,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-21
42,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-22
43,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-26
44,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-27
45,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-28
46,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-29
47,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-01
48,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-02
49,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-03
50,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-04
51,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-05
52,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-08
53,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-09
54,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-10
55,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-11
56,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-12
57,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-15
58,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-16
59,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-17
60,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-18
61,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-19
62,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-22
63,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-23
64,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-24
65,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-25
66,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-26
67,,,N_out=45 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-29
