timestep,ck_kl,ck_tv,date
0,0.265489375262643,0.2906176122304787,2020-03-24
1,0.3345401404115739,0.3331245360371858,2020-03-25
2,0.014872465693862556,0.06653031786587696,2020-03-26
3,0.055457939228307135,0.13320954920393066,2020-03-27
4,0.4174368066702775,0.39461248258419473,2020-03-30
5,0.044569147408940205,0.11735257645103647,2020-03-31
6,0.38693387767111487,0.3777883113170269,2020-04-01
7,0.02211336073018937,0.08286299545974428,2020-04-02
8,0.13989595935250534,0.19211175871628489,2020-04-03
9,0.08359932496259138,0.15661100375114329,2020-04-06
10,0.01692652802631786,0.06900871641259697,2020-04-07
11,0.1133357592551278,0.1992741054202456,2020-04-08
12,0.09070757565025389,0.17164052717805237,2020-04-09
13,0.03727534631737942,0.10102844561655999,2020-04-13
14,0.05401790979141869,0.13362271222163016,2020-04-14
15,0.33349413194046645,0.322720806295477,2020-04-15
16,0.08862261102244509,0.16512685099911784,2020-04-16
17,0.023657828856377343,0.08083158128322245,2020-04-17
18,0.2325540870367051,0.2753898985075879,2020-04-20
19,0.030010637988768425,0.09549852611964879,2020-04-21
20,0.018827919110473344,0.07549567406546721,2020-04-22
21,0.03378242099326821,0.101233432704345,2020-04-23
22,0.15148997902128822,0.22643479624284538,2020-04-24
23,0.0696739390949912,0.15447401206934486,2020-04-27
24,0.12035579934054008,0.18485120592114476,2020-04-28
25,0.051855179383631995,0.11486849150245186,2020-04-29
26,0.02225461590788831,0.08554641143419,2020-04-30
27,0.01647363299946454,0.07329524175513724,2020-05-01
28,0.044510462495428144,0.11853168908178358,2020-05-04
29,0.02202467044195972,0.07795937497627572,2020-05-05
30,0.3453631583362286,0.3601453298442289,2020-05-06
31,0.4351964112005766,0.4007999813053149,2020-05-07
32,0.3292341498585964,0.3486892648983302,2020-05-08
33,0.1547675410052278,0.2316924488495914,2020-05-11
34,0.047540826081942884,0.12014713644673189,2020-05-12
35,0.16525852002815195,0.22671291200299,2020-05-13
36,0.07898592406800463,0.16561844587800967,2020-05-14
37,0.02711320116714451,0.09519249401547104,2020-05-15
38,0.016961171612663573,0.06985368921440836,2020-05-18
39,0.422725440641236,0.35498508481666247,2020-05-19
40,0.02000709846328238,0.08262976543149547,2020-05-20
41,0.01851933694928467,0.07371309687153502,2020-05-21
42,0.02168230324093614,0.07886026603869388,2020-05-22
43,0.08017881127393921,0.15874240024175143,2020-05-26
44,0.08188707989408696,0.15179259607683138,2020-05-27
45,0.0617366309381812,0.14486552333109695,2020-05-28
46,0.023080868316546554,0.08435101212697443,2020-05-29
47,0.08485505962266335,0.1545909900150383,2020-06-01
48,0.03703942909287047,0.1065831617027115,2020-06-02
49,0.047791653085697355,0.119510565953849,2020-06-03
50,0.025717010137642698,0.08836337200293251,2020-06-04
51,0.03486461486569071,0.10035544610412957,2020-06-05
52,0.017811100949416098,0.07213070027987815,2020-06-08
53,0.01793156952933002,0.07228376082978771,2020-06-09
54,0.02175120425880594,0.07947715516682627,2020-06-10
55,0.10343493925253788,0.17465671585344844,2020-06-11
56,0.05237275134462659,0.11800366356165572,2020-06-12
57,0.12814880556361027,0.20308359335689086,2020-06-15
58,0.039215978185979765,0.11049204751702245,2020-06-16
59,0.020306696540773914,0.07661084637804731,2020-06-17
60,0.014939030006546667,0.06504923635201722,2020-06-18
61,0.020028662441241008,0.07558052226915155,2020-06-19
62,0.026103546398108628,0.08224257515226242,2020-06-22
63,0.1225039060536199,0.19910192874074867,2020-06-23
64,0.09761016669552554,0.17447845597289066,2020-06-24
65,0.05419840556881895,0.11835582173173843,2020-06-25
66,0.01990426061690058,0.07634704225592226,2020-06-26
67,0.1116865397181371,0.17706340283639696,2020-06-29
68,0.04537731798954436,0.10207365778909783,2020-06-30
69,0.03608004095036162,0.0922845039500004,2020-07-01
70,0.08189604997510894,0.1364386857638332,2020-07-02
71,0.027354137093963834,0.08723159119971204,2020-07-06
72,0.07670237988214366,0.1496825554322204,2020-07-07
73,0.062096237768314605,0.13384937032464683,2020-07-08
74,0.038744084583937625,0.09212620697841228,2020-07-09
75,0.13778576293647707,0.21445401064366687,2020-07-10
76,0.03283693761213783,0.09732589309980734,2020-07-13
77,0.033875766266225925,0.09907938147156053,2020-07-14
78,0.06176285262036277,0.1146196533980545,2020-07-15
79,0.09192451583034114,0.16907305519002466,2020-07-16
80,0.031655940869273494,0.0881400747401727,2020-07-17
81,0.0259900144688043,0.08736816816532249,2020-07-20
82,0.022393628390409735,0.08030275262146663,2020-07-21
83,0.048150136845583585,0.11709838297610889,2020-07-22
84,0.1090804159475702,0.17883271254286828,2020-07-23
85,0.04546652953616339,0.11597456966811495,2020-07-24
86,0.023607008060691846,0.07453568782282786,2020-07-27
87,0.0394881406268722,0.10168765490774749,2020-07-28
88,0.05179045784162605,0.12334870844009621,2020-07-29
89,0.025214187005888938,0.08549572417423797,2020-07-30
90,0.213637869097882,0.26887872442252553,2020-07-31
91,0.021693586372199206,0.07937672275594207,2020-08-03
92,0.08250540228842543,0.15905512801042657,2020-08-04
93,0.046668714563096333,0.11657679948268336,2020-08-05
94,0.241854997612839,0.29488763956740116,2020-08-06
95,0.061727814780595754,0.11880846596016353,2020-08-07
96,0.19481859492006945,0.2550403834853098,2020-08-10
97,0.10588265625073764,0.1811833812032039,2020-08-11
98,0.013562249590255315,0.062499750476690596,2020-08-12
99,0.054570241702646294,0.11260355325795411,2020-08-13
100,0.05571433844645289,0.1258230489717454,2020-08-14
101,0.028063742265349686,0.08731611820332764,2020-08-17
102,0.022443307905634514,0.07970245675445187,2020-08-18
