timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.016817931085824966,3.7174923,0.0666735,2020-03-26
1,0.03988650068640709,3.8486779,0.15609355,2020-03-27
2,0.06125307083129883,3.9758859,0.23834804,2020-03-30
3,0.05797509104013443,3.8888004,0.22135147,2020-03-31
4,0.05613243952393532,3.8297372,0.23043437,2020-04-01
5,0.03104875050485134,3.6893682,0.12266828,2020-04-02
6,0.027430742979049683,3.634722,0.106443286,2020-04-03
7,0.03437233343720436,3.6802573,0.1340653,2020-04-06
8,0.022097349166870117,3.6610546,0.08415352,2020-04-07
9,0.06675057113170624,3.9093616,0.2715388,2020-04-08
10,0.05234486609697342,3.882187,0.20719345,2020-04-09
11,0.028605420142412186,3.7216012,0.11022651,2020-04-13
12,0.048552561551332474,3.7769642,0.19874386,2020-04-14
13,0.041594598442316055,3.4406404,0.17506382,2020-04-15
14,0.02342984825372696,3.6427166,0.09140575,2020-04-16
15,0.07899878174066544,3.943397,0.30779174,2020-04-17
16,0.028052808716893196,3.7302139,0.10736595,2020-04-20
17,0.055636610835790634,3.875421,0.22650094,2020-04-21
18,0.02648618072271347,3.744258,0.10366813,2020-04-22
19,0.037098560482263565,3.8038495,0.1461861,2020-04-23
20,0.07130812108516693,3.9740417,0.2656825,2020-04-24
21,0.01701432280242443,3.6995935,0.06528942,2020-04-27
22,0.03429609537124634,3.8071694,0.12633267,2020-04-28
23,0.030758418142795563,3.802102,0.11703446,2020-04-29
24,0.04012994468212128,3.806114,0.16130179,2020-04-30
25,0.06541051715612411,3.8883145,0.25868577,2020-05-01
26,0.02779669128358364,3.7683022,0.10615026,2020-05-04
27,0.033786218613386154,3.8422852,0.12937923,2020-05-05
28,0.06688424199819565,3.9485435,0.263957,2020-05-06
29,0.06151082366704941,3.9674687,0.22752641,2020-05-07
30,0.04636261239647865,3.895421,0.1789449,2020-05-08
31,0.0628800243139267,3.9577599,0.23796687,2020-05-11
32,0.0319160632789135,3.6527555,0.1278127,2020-05-12
33,0.03545282408595085,3.128086,0.14202672,2020-05-13
34,0.02824895642697811,3.4142272,0.10996901,2020-05-14
35,0.021384013816714287,3.6150186,0.07985602,2020-05-15
36,0.061832014471292496,3.9192233,0.23673229,2020-05-18
37,0.028190428391098976,3.5959637,0.10866171,2020-05-19
38,0.03134889900684357,3.7140317,0.13894929,2020-05-20
39,0.03014892339706421,3.6889694,0.12091513,2020-05-21
40,0.06715792417526245,3.9123726,0.26263985,2020-05-22
41,0.0640883594751358,3.8835566,0.2508276,2020-05-26
42,0.028109801933169365,3.556678,0.110238746,2020-05-27
43,0.038731787353754044,3.8049219,0.15673706,2020-05-28
44,0.04511609673500061,3.656525,0.18736827,2020-05-29
45,0.036257609724998474,3.7348993,0.14572975,2020-06-01
46,0.03437785431742668,3.7694814,0.1341375,2020-06-02
47,0.07521266490221024,3.9439065,0.29097125,2020-06-03
48,0.04460633546113968,3.8724673,0.17486432,2020-06-04
49,0.060561008751392365,3.931896,0.2407465,2020-06-05
50,0.054872769862413406,3.891775,0.21456514,2020-06-08
51,0.05889173969626427,3.9047027,0.23102947,2020-06-09
52,0.08061980456113815,3.9174345,0.31858397,2020-06-10
