timestep,ck_kl,ck_tv,ck_unavailable_reason,date
0,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-03-26
1,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-03-27
2,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-03-30
3,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-03-31
4,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-01
5,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-02
6,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-03
7,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-06
8,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-07
9,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-08
10,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-09
11,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-13
12,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-14
13,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-15
14,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-16
15,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-17
16,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-20
17,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-21
18,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-22
19,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-23
20,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-24
21,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-27
22,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-28
23,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-29
24,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-04-30
25,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-01
26,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-04
27,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-05
28,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-06
29,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-07
30,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-08
31,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-11
32,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-12
33,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-13
34,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-14
35,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-15
36,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-18
37,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-19
38,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-20
39,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-21
40,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-22
41,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-26
42,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-27
43,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-28
44,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-05-29
45,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-01
46,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-02
47,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-03
48,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-04
49,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-05
50,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-08
51,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-09
52,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-10
53,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-11
54,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-12
55,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-15
56,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-16
57,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-17
58,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-18
59,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-19
60,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-22
61,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-23
62,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-24
63,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-25
64,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-26
65,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-29
66,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-06-30
67,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-01
68,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-02
69,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-06
70,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-07
71,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-08
72,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-09
73,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-10
74,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-13
75,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-14
76,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-15
77,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-16
78,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-17
79,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-20
80,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-21
81,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-22
82,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-23
83,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-24
84,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-27
85,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-28
86,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-29
87,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-30
88,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-07-31
89,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-03
90,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-04
91,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-05
92,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-06
93,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-07
94,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-10
95,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-11
96,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-12
97,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-13
98,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-14
99,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-17
100,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-18
101,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-19
102,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-20
103,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-21
104,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-24
105,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-25
106,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-26
107,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-27
108,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-28
109,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-08-31
110,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-01
111,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-02
112,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-03
113,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-04
114,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-08
115,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-09
116,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-10
117,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-11
118,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-14
119,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-15
120,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-16
121,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-17
122,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-18
123,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-21
124,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-22
125,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-23
126,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-24
127,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-25
128,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-28
129,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-29
130,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-09-30
131,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-01
132,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-02
133,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-05
134,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-06
135,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-07
136,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-08
137,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-09
138,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-12
139,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-13
140,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-14
141,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-15
142,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-16
143,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-19
144,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-20
145,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-21
146,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-22
147,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-23
148,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-26
149,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-27
150,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-28
151,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-29
152,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-10-30
153,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-02
154,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-03
155,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-04
156,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-05
157,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-06
158,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-09
159,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-10
160,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-11
161,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-12
162,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-13
163,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-16
164,,,N_out=35 â‰  N_XT=55 (non-square operator; CK composition undefined),2020-11-17
