timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.5052505,0.0,2020-03-24
1,0.0,3.2995656,0.0,2020-03-25
2,0.0,3.7906497,0.0,2020-03-26
3,0.0,3.9367673,0.0,2020-03-27
4,0.0,3.9993408,0.0,2020-03-30
5,0.0,3.8489177,0.0,2020-03-31
6,0.0,3.9336762,0.0,2020-04-01
7,0.0,3.8329298,0.0,2020-04-02
8,0.0,3.76334,0.0,2020-04-03
9,0.0,3.759427,0.0,2020-04-06
10,0.0,3.7136345,0.0,2020-04-07
11,0.0,3.8288012,0.0,2020-04-08
12,0.0,3.899667,0.0,2020-04-09
13,0.0,3.8043487,0.0,2020-04-13
14,0.0,3.7858,0.0,2020-04-14
15,0.0,3.5489337,0.0,2020-04-15
16,0.0,3.627894,0.0,2020-04-16
17,0.0,3.8236642,0.0,2020-04-17
18,0.0,3.8609807,0.0,2020-04-20
19,0.0,3.82195,0.0,2020-04-21
20,0.0,3.788495,0.0,2020-04-22
21,0.0,3.84138,0.0,2020-04-23
22,0.0,3.9912658,0.0,2020-04-24
23,0.0,3.753757,0.0,2020-04-27
24,0.0,3.8355083,0.0,2020-04-28
25,0.0,3.7740939,0.0,2020-04-29
26,0.0,3.7864368,0.0,2020-04-30
27,0.0,3.8074226,0.0,2020-05-01
28,0.0,3.8710737,0.0,2020-05-04
29,0.0,3.8751068,0.0,2020-05-05
30,0.0,3.8900084,0.0,2020-05-06
31,0.0,3.9199576,0.0,2020-05-07
32,0.0,4.000868,0.0,2020-05-08
33,0.0,3.969601,0.0,2020-05-11
34,0.0,3.8392432,0.0,2020-05-12
35,0.0,3.4406075,0.0,2020-05-13
36,0.0,3.5216832,0.0,2020-05-14
37,0.0,3.6895156,0.0,2020-05-15
38,0.0,3.9477286,0.0,2020-05-18
39,0.0,3.6081986,0.0,2020-05-19
40,0.0,3.661823,0.0,2020-05-20
41,0.0,3.7549467,0.0,2020-05-21
42,0.0,3.8704734,0.0,2020-05-22
43,0.0,3.883331,0.0,2020-05-26
44,0.0,3.6469555,0.0,2020-05-27
45,0.0,3.7953596,0.0,2020-05-28
46,0.0,3.6943867,0.0,2020-05-29
47,0.0,3.7528276,0.0,2020-06-01
48,0.0,3.8427773,0.0,2020-06-02
49,0.0,3.9212987,0.0,2020-06-03
50,0.0,3.9086087,0.0,2020-06-04
51,0.0,3.7826629,0.0,2020-06-05
52,0.0,3.8784914,0.0,2020-06-08
53,0.0,3.8745472,0.0,2020-06-09
54,0.0,3.8259144,0.0,2020-06-10
55,0.0,3.7558098,0.0,2020-06-11
56,0.0,3.9165857,0.0,2020-06-12
57,0.0,3.7212017,0.0,2020-06-15
58,0.0,3.964601,0.0,2020-06-16
59,0.0,3.9430845,0.0,2020-06-17
