timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.05538243427872658,3.2976272,0.29416937,2020-03-26
1,0.059237655252218246,3.375924,0.30945444,2020-03-27
2,0.05885685235261917,3.3667684,0.30781123,2020-03-30
3,0.061103399842977524,3.4165273,0.31680158,2020-03-31
4,0.058199066668748856,3.346288,0.30508107,2020-04-01
5,0.04974759742617607,3.2703242,0.26954746,2020-04-02
6,0.05131002515554428,3.2954123,0.27634478,2020-04-03
7,0.0543975792825222,3.3455577,0.28958708,2020-04-06
8,0.05386360362172127,3.3423457,0.28639144,2020-04-07
9,0.05642843618988991,3.3912568,0.2991086,2020-04-08
10,0.05875851586461067,3.4562469,0.30302563,2020-04-09
11,0.05869107320904732,3.4631062,0.30134836,2020-04-13
12,0.05443407595157623,3.3492332,0.2895869,2020-04-14
13,0.051114246249198914,3.2894976,0.27556017,2020-04-15
14,0.05469488352537155,3.3484457,0.29149076,2020-04-16
15,0.05553307756781578,3.362491,0.29565528,2020-04-17
16,0.058221545070409775,3.424622,0.30494523,2020-04-20
17,0.05762001499533653,3.4055674,0.3036037,2020-04-21
18,0.05966871976852417,3.4570851,0.3059619,2020-04-22
19,0.05907037481665611,3.4331381,0.30712283,2020-04-23
20,0.059850312769412994,3.4570427,0.30665308,2020-04-24
21,0.06005493924021721,3.4636896,0.3058744,2020-04-27
22,0.06017174944281578,3.4728208,0.30646104,2020-04-28
23,0.059836067259311676,3.4604073,0.30505097,2020-04-29
24,0.060464661568403244,3.4744496,0.30753142,2020-04-30
25,0.060113582760095596,3.463662,0.30583897,2020-05-01
26,0.06055745482444763,3.4845645,0.30748996,2020-05-04
27,0.059946078807115555,3.5077364,0.30355665,2020-05-05
28,0.05964577570557594,3.510435,0.3015663,2020-05-06
29,0.058517780154943466,3.5280535,0.29472926,2020-05-07
30,0.059254445135593414,3.5204382,0.29843834,2020-05-08
31,0.060240741819143295,3.5018942,0.3029871,2020-05-11
32,0.06067128852009773,3.4933798,0.30548653,2020-05-12
33,0.04614913463592529,3.1994464,0.25268012,2020-05-13
34,0.053792357444763184,3.319363,0.28631395,2020-05-14
35,0.05584084242582321,3.3542159,0.2952397,2020-05-15
36,0.057025182992219925,3.3761156,0.30027536,2020-05-18
37,0.05738885700702667,3.3846035,0.3015298,2020-05-19
38,0.05797244980931282,3.3924828,0.304186,2020-05-20
39,0.055312421172857285,3.3395607,0.29256707,2020-05-21
40,0.05913032591342926,3.4149776,0.3077721,2020-05-22
41,0.059408627450466156,3.4243143,0.30781323,2020-05-26
42,0.05676351115107536,3.3684194,0.29961753,2020-05-27
43,0.05830718204379082,3.4003031,0.30564624,2020-05-28
44,0.05533571541309357,3.3395405,0.29328814,2020-05-29
45,0.058603450655937195,3.4024925,0.30726513,2020-06-01
46,0.05980296432971954,3.4336011,0.3090024,2020-06-02
47,0.060874857008457184,3.4708097,0.30806157,2020-06-03
48,0.06109265610575676,3.4859445,0.30835432,2020-06-04
49,0.06108412891626358,3.4861672,0.3079748,2020-06-05
50,0.06097722053527832,3.461217,0.3084763,2020-06-08
51,0.06128549948334694,3.487234,0.308551,2020-06-09
52,0.06130991131067276,3.4699616,0.30966166,2020-06-10
53,0.06126490980386734,3.4990516,0.30822393,2020-06-11
54,0.05943071097135544,3.415999,0.3087903,2020-06-12
55,0.06123770400881767,3.4693503,0.3089574,2020-06-15
56,0.06149710714817047,3.493844,0.30904195,2020-06-16
57,0.06160074844956398,3.4911537,0.30948794,2020-06-17
58,0.060456354171037674,3.5200038,0.3037715,2020-06-18
59,0.060026124119758606,3.5280273,0.30115417,2020-06-19
60,0.060238730162382126,3.5267375,0.30183032,2020-06-22
61,0.05990225449204445,3.5301938,0.29981261,2020-06-23
62,0.061069294810295105,3.5184953,0.30621177,2020-06-24
63,0.060811612755060196,3.5212026,0.30479974,2020-06-25
64,0.05995120108127594,3.5297587,0.2997067,2020-06-26
65,0.06052868440747261,3.5246742,0.30305424,2020-06-29
66,0.05966191738843918,3.531351,0.29854038,2020-06-30
67,0.06011402979493141,3.52802,0.30126113,2020-07-01
68,0.05993666127324104,3.5296454,0.30023542,2020-07-02
69,0.05990111827850342,3.5297456,0.3001903,2020-07-06
70,0.059916120022535324,3.531477,0.299862,2020-07-07
71,0.0589376725256443,3.5349984,0.29350248,2020-07-08
72,0.058453574776649475,3.5357983,0.29097,2020-07-09
73,0.05785513296723366,3.536141,0.28797475,2020-07-10
74,0.057715244591236115,3.536151,0.28699127,2020-07-13
75,0.05942261591553688,3.5324552,0.29683912,2020-07-14
76,0.05714667588472366,3.5361977,0.28379843,2020-07-15
77,0.056951604783535004,3.5362308,0.28323054,2020-07-16
78,0.056744158267974854,3.5362346,0.28236577,2020-07-17
79,0.05636214092373848,3.5357714,0.28033572,2020-07-20
80,0.056738924235105515,3.536016,0.28240576,2020-07-21
81,0.05789865925908089,3.535977,0.28866482,2020-07-22
82,0.05823107808828354,3.535606,0.29038253,2020-07-23
83,0.05832890421152115,3.5356839,0.29088455,2020-07-24
84,0.05783255398273468,3.5361085,0.28824013,2020-07-27
85,0.05725684389472008,3.5362723,0.28510275,2020-07-28
86,0.05878840386867523,3.5342658,0.29336333,2020-07-29
87,0.05942091345787048,3.5291052,0.29796302,2020-07-30
88,0.05804973095655441,3.5352132,0.28974736,2020-07-31
89,0.06048499792814255,3.516411,0.30318013,2020-08-03
90,0.06057220697402954,3.517705,0.30378333,2020-08-04
91,0.060968756675720215,3.5137637,0.30540687,2020-08-05
92,0.05876225605607033,3.3985023,0.30660313,2020-08-06
93,0.06057576835155487,3.4596553,0.3051856,2020-08-07
94,0.06015323847532272,3.4483297,0.30603647,2020-08-10
95,0.06082063913345337,3.489621,0.30546468,2020-08-11
96,0.060831468552351,3.4748318,0.30652285,2020-08-12
97,0.0604020357131958,3.5116968,0.30340552,2020-08-13
98,0.05981209874153137,3.5223885,0.30062577,2020-08-14
99,0.059827446937561035,3.523107,0.30070195,2020-08-17
100,0.06021696701645851,3.5195746,0.30236316,2020-08-18
