timestep,ck_kl,ck_tv,date
0,0.0657839572742104,0.16020682356166896,2020-03-26
1,0.11998487880519462,0.20672138976740678,2020-03-27
2,0.07618461514427899,0.15848021600651874,2020-03-30
3,0.014409147918764164,0.0667118034736038,2020-03-31
4,0.014439803303695271,0.06013320749008125,2020-04-01
5,0.022560905130520743,0.08242958686354046,2020-04-02
6,0.18230197228131334,0.25148155143068734,2020-04-03
7,0.038092563790783684,0.11398228409113377,2020-04-06
8,0.18790893167569564,0.255775117700369,2020-04-07
9,0.020814567403004646,0.08788840817552931,2020-04-08
10,0.11787624086018295,0.2031897303424379,2020-04-09
11,0.008116426894245425,0.049158555805212695,2020-04-13
12,0.009104019644915428,0.050987448818990797,2020-04-14
13,0.07808135638290854,0.15131026863943375,2020-04-15
14,0.12741095649662618,0.20121495320762334,2020-04-16
15,0.018045990410979856,0.0788267674728558,2020-04-17
16,0.016268109575997173,0.06963374053962053,2020-04-20
17,0.11522700926837834,0.1941531543613246,2020-04-21
18,0.0065646734616600765,0.04675998093500185,2020-04-22
19,0.09024439191634051,0.17848864438769355,2020-04-23
20,0.10877880759806492,0.19274275704161525,2020-04-24
21,0.02251669680248346,0.08139266141018552,2020-04-27
22,0.03213618235667199,0.0992798494463635,2020-04-28
23,0.15441686477618355,0.2224881118492622,2020-04-29
24,0.03248888265200991,0.0901202285961266,2020-04-30
25,0.01549928767087606,0.07114298727654694,2020-05-01
26,0.014465822103121981,0.06886442181745499,2020-05-04
27,0.014054227714181073,0.06217206391493007,2020-05-05
28,0.036577961929175354,0.10715869629232012,2020-05-06
29,0.04273845251550854,0.11798142581278943,2020-05-07
30,0.009620907349813934,0.05416744451415435,2020-05-08
31,0.2441396124074852,0.29446678133335435,2020-05-11
32,0.11559311400798954,0.19620492324174674,2020-05-12
33,0.026116606030308277,0.09494388432216572,2020-05-13
34,0.6206838076268886,0.452078286909335,2020-05-14
35,0.31713234740729956,0.32681921339735565,2020-05-15
