timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.041888970881700516,3.045113,0.19599846,2020-03-26
1,0.0375996008515358,3.483887,0.1721055,2020-03-27
2,0.0290400218218565,3.3884351,0.1336873,2020-03-30
3,0.06252925097942352,3.505835,0.29638842,2020-03-31
4,0.04420623183250427,3.2452254,0.20400533,2020-04-01
5,0.035705916583538055,3.4448135,0.16490082,2020-04-02
6,0.04113469645380974,3.2404788,0.20025477,2020-04-03
7,0.05146642029285431,3.4122164,0.22024404,2020-04-06
8,0.03750152513384819,3.4619331,0.17403533,2020-04-07
9,0.0397932305932045,3.5039551,0.18697482,2020-04-08
10,0.04894885793328285,3.512657,0.21977971,2020-04-09
11,0.04415161535143852,3.3988135,0.19157186,2020-04-13
12,0.048900555819272995,3.4020371,0.23037967,2020-04-14
13,0.05249926075339317,3.2889578,0.25328276,2020-04-15
14,0.028669537976384163,3.4438946,0.1307919,2020-04-16
15,0.054947350174188614,3.3430514,0.24536689,2020-04-17
16,0.032552000135183334,3.506375,0.14540142,2020-04-20
17,0.023956404998898506,3.0727232,0.11474651,2020-04-21
18,0.021148445084691048,3.4240804,0.09374626,2020-04-22
19,0.05707402154803276,3.3780165,0.2534191,2020-04-23
20,0.05767391622066498,3.4971225,0.26078394,2020-04-24
21,0.04317944124341011,3.3797169,0.20725289,2020-04-27
22,0.046273499727249146,3.5149653,0.19654655,2020-04-28
23,0.03161215782165527,3.2205706,0.14322926,2020-04-29
24,0.044337499886751175,3.4018908,0.19917038,2020-04-30
25,0.03683006763458252,3.4712675,0.17076108,2020-05-01
26,0.06072128191590309,3.4278846,0.2514045,2020-05-04
27,0.05611809715628624,3.5315077,0.25154307,2020-05-05
28,0.05372835323214531,3.4941888,0.2408066,2020-05-06
29,0.050183869898319244,3.544567,0.22664906,2020-05-07
30,0.05891450494527817,3.532086,0.2524622,2020-05-08
31,0.05958706513047218,3.5376127,0.2418289,2020-05-11
32,0.05602360889315605,3.338842,0.25421187,2020-05-12
33,0.04263881966471672,3.3486435,0.19147849,2020-05-13
34,0.03281722962856293,3.0093873,0.16399713,2020-05-14
35,0.03973408043384552,3.4014668,0.1723318,2020-05-15
36,0.059070467948913574,3.4622273,0.2739036,2020-05-18
37,0.04398297145962715,3.3499143,0.19983876,2020-05-19
38,0.025136271491646767,3.4641736,0.11520711,2020-05-20
39,0.04525944963097572,3.4324515,0.20217755,2020-05-21
40,0.07067663967609406,3.487663,0.29121917,2020-05-22
41,0.06112741306424141,3.5220048,0.26644477,2020-05-26
42,0.0477672778069973,3.396242,0.21490048,2020-05-27
43,0.04188186675310135,3.3802383,0.20155019,2020-05-28
44,0.02970827743411064,3.1608243,0.13486506,2020-05-29
45,0.04077960178256035,3.3475091,0.19697618,2020-06-01
46,0.03997758775949478,3.487411,0.17279504,2020-06-02
47,0.06087946891784668,3.458418,0.26875895,2020-06-03
48,0.0470682829618454,3.5129304,0.20302379,2020-06-04
49,0.040469102561473846,3.509315,0.1801452,2020-06-05
50,0.055228251963853836,3.4936676,0.22805455,2020-06-08
51,0.05299748480319977,3.4061646,0.23907635,2020-06-09
52,0.05424881353974342,3.4891489,0.22511569,2020-06-10
53,0.030522946268320084,3.518866,0.14465843,2020-06-11
54,0.026920180767774582,3.4860244,0.11587,2020-06-12
55,0.054608821868896484,3.473183,0.2365435,2020-06-15
56,0.047278936952352524,3.5367126,0.21597722,2020-06-16
57,0.05640919506549835,3.5180445,0.24415644,2020-06-17
58,0.06801890581846237,3.450279,0.27929088,2020-06-18
59,0.060729172080755234,3.525596,0.25896147,2020-06-19
60,0.04854126647114754,3.5109859,0.20566319,2020-06-22
61,0.05970601364970207,3.4974816,0.25790173,2020-06-23
62,0.05769268423318863,3.5281656,0.25076494,2020-06-24
63,0.04505256190896034,3.5230334,0.19716376,2020-06-25
64,0.059623122215270996,3.5326476,0.257548,2020-06-26
65,0.052885930985212326,3.512615,0.2236259,2020-06-29
66,0.045012421905994415,3.5177479,0.20725684,2020-06-30
67,0.06428783386945724,3.5154924,0.26613688,2020-07-01
68,0.06759246438741684,3.535228,0.29736012,2020-07-02
69,0.05814103037118912,3.5271366,0.24541871,2020-07-06
70,0.059309206902980804,3.5240135,0.2615527,2020-07-07
71,0.0590166412293911,3.5139484,0.25646362,2020-07-08
72,0.06099848449230194,3.5271096,0.25770095,2020-07-09
73,0.05522257089614868,3.5364487,0.24502373,2020-07-10
74,0.04549837484955788,3.5073094,0.19413811,2020-07-13
75,0.05014130473136902,3.517342,0.2208821,2020-07-14
