timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.02791627310216427,3.481186,0.09563175,2020-03-27
1,0.030291225761175156,3.5008855,0.09845881,2020-03-30
2,0.033419419080019,3.4628701,0.12717457,2020-03-31
3,0.03575994446873665,3.529826,0.12257511,2020-04-01
4,0.04304080829024315,3.4911232,0.16068688,2020-04-02
5,0.02880856767296791,3.2600286,0.116013005,2020-04-03
6,0.033302079886198044,3.482844,0.11994403,2020-04-06
7,0.030748775228857994,3.460031,0.109464966,2020-04-07
8,0.0379217192530632,3.4232268,0.12685806,2020-04-08
9,0.036819349974393845,3.5394766,0.12112889,2020-04-09
10,0.04762795567512512,3.5430422,0.16098434,2020-04-13
11,0.03041762113571167,3.3700023,0.10969042,2020-04-14
12,0.02460656501352787,3.2855217,0.09330097,2020-04-15
13,0.03891333192586899,3.5201087,0.13173999,2020-04-16
14,0.03337445482611656,3.525763,0.11646265,2020-04-17
15,0.03530362620949745,3.4458375,0.12316066,2020-04-20
16,0.03143806383013725,3.4867594,0.10934371,2020-04-21
17,0.04259181395173073,3.5330822,0.15550007,2020-04-22
18,0.02806272730231285,3.4206853,0.09336089,2020-04-23
19,0.043755535036325455,3.443825,0.15297642,2020-04-24
20,0.027653271332383156,3.1445267,0.09299356,2020-04-27
21,0.022924907505512238,3.3683527,0.07856853,2020-04-28
22,0.030811486765742302,3.2603083,0.101220004,2020-04-29
23,0.04193416237831116,3.4656844,0.14830591,2020-04-30
24,0.033970631659030914,3.5012736,0.11381106,2020-05-01
25,0.04364914819598198,3.519295,0.14904855,2020-05-04
26,0.04303862154483795,3.4941654,0.1470798,2020-05-05
27,0.03166072443127632,3.4846344,0.1038958,2020-05-06
28,0.038441795855760574,3.518392,0.1414116,2020-05-07
29,0.032055120915174484,3.3792384,0.10325729,2020-05-08
30,0.046690985560417175,3.5045612,0.15510878,2020-05-11
31,0.043659742921590805,3.5242276,0.1516109,2020-05-12
32,0.022919563576579094,3.0745091,0.09583395,2020-05-13
33,0.030660664662718773,3.1639645,0.12272577,2020-05-14
34,0.017932407557964325,3.355627,0.06687739,2020-05-15
35,0.037742823362350464,3.520294,0.1399788,2020-05-18
36,0.039569880813360214,3.510454,0.14146975,2020-05-19
37,0.03346714377403259,3.549377,0.10704925,2020-05-20
38,0.031495604664087296,3.3872678,0.10783827,2020-05-21
39,0.042887263000011444,3.4634745,0.14653027,2020-05-22
40,0.041895195841789246,3.4677901,0.14003724,2020-05-26
41,0.04203673452138901,3.5481048,0.15142478,2020-05-27
42,0.04103061184287071,3.4341986,0.13270973,2020-05-28
43,0.026129674166440964,3.4686308,0.089319475,2020-05-29
44,0.04691401496529579,3.495918,0.16082837,2020-06-01
45,0.026540420949459076,3.3831062,0.08772026,2020-06-02
46,0.03865166753530502,3.5222225,0.128084,2020-06-03
47,0.04063981771469116,3.4209747,0.13392155,2020-06-04
48,0.04300425201654434,3.5436215,0.14035574,2020-06-05
49,0.04289815574884415,3.540658,0.14021951,2020-06-08
50,0.04671749100089073,3.4463031,0.15955307,2020-06-09
51,0.03225257620215416,3.526978,0.11047837,2020-06-10
52,0.04034421965479851,3.5275962,0.14632145,2020-06-11
53,0.038369596004486084,3.534498,0.13129023,2020-06-12
54,0.05010988563299179,3.532484,0.17049548,2020-06-15
55,0.034093357622623444,3.4284244,0.11264871,2020-06-16
56,0.04109165072441101,3.5221848,0.13544962,2020-06-17
57,0.04704347252845764,3.5279403,0.16022934,2020-06-18
58,0.04446054622530937,3.5218754,0.150081,2020-06-19
59,0.03280835971236229,3.49195,0.10865663,2020-06-22
60,0.03855466470122337,3.504934,0.12836854,2020-06-23
61,0.04963170737028122,3.5399845,0.16447519,2020-06-24
62,0.03717237338423729,3.5416603,0.12529038,2020-06-25
63,0.049003083258867264,3.5398538,0.15367913,2020-06-26
64,0.04429829493165016,3.5140104,0.15945734,2020-06-29
65,0.0431315116584301,3.5121026,0.1414815,2020-06-30
66,0.04290807619690895,3.5389442,0.13827439,2020-07-01
67,0.050919678062200546,3.5305917,0.17388567,2020-07-02
68,0.03792228922247887,3.5358605,0.12358801,2020-07-06
69,0.044883690774440765,3.5378642,0.14536153,2020-07-07
70,0.04171547666192055,3.490215,0.14183041,2020-07-08
71,0.03833344951272011,3.5088835,0.12441158,2020-07-09
72,0.04157238081097603,3.5292406,0.14889805,2020-07-10
73,0.043645963072776794,3.5168283,0.13882515,2020-07-13
74,0.046843599528074265,3.517337,0.15822311,2020-07-14
75,0.040628086775541306,3.526989,0.13268514,2020-07-15
76,0.0507047213613987,3.540951,0.1651575,2020-07-16
77,0.04416690021753311,3.5186272,0.14984548,2020-07-17
78,0.0363314151763916,3.5231266,0.1232711,2020-07-20
