timestep,ck_kl,ck_tv,date
0,0.12179347248187632,0.2131177480591287,2020-03-26
1,0.051842295083719264,0.12634706250006927,2020-03-27
2,0.011154745177727533,0.056310077097298614,2020-03-30
3,0.005645133284196695,0.04494806449934621,2020-03-31
4,0.010798247860044526,0.059584090044321254,2020-04-01
5,0.12377412140510223,0.209755254482436,2020-04-02
6,0.09852653535587588,0.17777249095215228,2020-04-03
7,0.008257949954763642,0.050949286073741606,2020-04-06
8,0.030369708203036576,0.09886410108816851,2020-04-07
9,0.12406897951189161,0.21387627963883582,2020-04-08
10,0.05696484417621421,0.12532082013051635,2020-04-09
11,0.035934251792779405,0.10934641917705383,2020-04-13
12,0.10104948655273835,0.18206361200332288,2020-04-14
13,0.04804855682375189,0.10940821636404754,2020-04-15
14,0.054046976287903344,0.1298982573653596,2020-04-16
15,0.03534802207233532,0.12202147840579858,2020-04-17
16,0.06308296718883391,0.14539005913610592,2020-04-20
17,0.07381566157148826,0.16144779286702834,2020-04-21
18,0.08799701108364602,0.17694127486391445,2020-04-22
19,0.043708144175507634,0.11565867634046445,2020-04-23
20,0.4007156277895426,0.37194635368139073,2020-04-24
21,0.02562369862598876,0.09476890687352521,2020-04-27
22,0.16273826007161105,0.23837167720799773,2020-04-28
23,0.01729314692268044,0.06953813602527421,2020-04-29
24,0.032656424665170034,0.09241420050074567,2020-04-30
25,0.013160131943515618,0.06754926602392927,2020-05-01
26,0.05494280219132133,0.13987635906334253,2020-05-04
27,0.0053524532228579206,0.041100269623388745,2020-05-05
28,0.009632161542050528,0.056404811517952076,2020-05-06
29,0.21006566798865442,0.27441302734027834,2020-05-07
30,0.012799801788159744,0.06560945833735485,2020-05-08
31,0.027411603119359203,0.07758086042298745,2020-05-11
32,0.12749855154690237,0.1952119716329168,2020-05-12
33,0.06588929672268407,0.13125936034740793,2020-05-13
34,0.061606701472717615,0.1549918849595121,2020-05-14
35,0.0908081313825494,0.18472514556503566,2020-05-15
36,0.05089659485438295,0.14295727949622614,2020-05-18
37,0.009772803469743335,0.05403174927597298,2020-05-19
38,0.022410153938469613,0.08712119547261367,2020-05-20
39,0.009837345405688808,0.05390784345166601,2020-05-21
40,0.011794466873380706,0.06039568947243326,2020-05-22
41,0.016571492683959226,0.07357304971709183,2020-05-26
42,0.01635195025739975,0.07587441066647965,2020-05-27
43,0.008324910197933874,0.04624381501091986,2020-05-28
44,0.05546515572086106,0.1223554099423195,2020-05-29
45,0.01858100760394999,0.07634584778141928,2020-06-01
46,0.13856760418577937,0.23246971942131353,2020-06-02
47,0.056345169443747636,0.13775395322012396,2020-06-03
48,0.06757963296527185,0.156998765954496,2020-06-04
49,0.011634240739271265,0.061494190032217975,2020-06-05
50,0.07637406288530918,0.15938457357158142,2020-06-08
51,0.024831310553704133,0.08842415453503422,2020-06-09
52,0.026348729571842526,0.09689648621121873,2020-06-10
53,0.059190583933900996,0.1473114530322398,2020-06-11
54,0.010248683699736551,0.0637019127646166,2020-06-12
55,0.024216749455186794,0.0902828899050078,2020-06-15
56,0.027978060977191705,0.09289121294430296,2020-06-16
57,0.0061988306482515035,0.04331764591961357,2020-06-17
58,0.08883745855107764,0.16210872815723357,2020-06-18
59,0.010717003030220681,0.06254798700152044,2020-06-19
60,0.014187880293759477,0.06757925263862752,2020-06-22
61,0.0572942825290993,0.1443823732397111,2020-06-23
62,0.011141094625551982,0.06073944270101799,2020-06-24
63,0.005027991009823729,0.03813221516495198,2020-06-25
64,0.004029408072959139,0.0349028791307977,2020-06-26
65,0.005809843259528101,0.04380375805024899,2020-06-29
