timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.4189847,0.0,2020-03-24
1,0.0,3.3704684,0.0,2020-03-25
2,0.0,3.244556,0.0,2020-03-26
3,0.0,3.4232516,0.0,2020-03-27
4,0.0,3.3597007,0.0,2020-03-30
5,0.0,3.5395036,0.0,2020-03-31
6,0.0,3.38505,0.0,2020-04-01
7,0.0,3.526971,0.0,2020-04-02
8,0.0,3.4762723,0.0,2020-04-03
9,0.0,3.4377778,0.0,2020-04-06
10,0.0,3.4690924,0.0,2020-04-07
11,0.0,3.4724832,0.0,2020-04-08
12,0.0,3.4868875,0.0,2020-04-09
13,0.0,3.3742614,0.0,2020-04-13
14,0.0,3.5289183,0.0,2020-04-14
15,0.0,3.306888,0.0,2020-04-15
16,0.0,3.4335053,0.0,2020-04-16
17,0.0,3.3684983,0.0,2020-04-17
18,0.0,3.3438752,0.0,2020-04-20
19,0.0,3.4225068,0.0,2020-04-21
20,0.0,3.5070848,0.0,2020-04-22
21,0.0,3.5403686,0.0,2020-04-23
22,0.0,3.5390742,0.0,2020-04-24
23,0.0,3.4849536,0.0,2020-04-27
24,0.0,3.4142427,0.0,2020-04-28
25,0.0,3.4232638,0.0,2020-04-29
26,0.0,3.4493015,0.0,2020-04-30
27,0.0,3.4637012,0.0,2020-05-01
28,0.0,3.3797035,0.0,2020-05-04
29,0.0,3.4912825,0.0,2020-05-05
30,0.0,3.474262,0.0,2020-05-06
31,0.0,3.5348117,0.0,2020-05-07
32,0.0,3.531284,0.0,2020-05-08
33,0.0,3.5294445,0.0,2020-05-11
34,0.0,3.5280304,0.0,2020-05-12
35,0.0,3.414113,0.0,2020-05-13
36,0.0,3.3605816,0.0,2020-05-14
37,0.0,3.510052,0.0,2020-05-15
38,0.0,3.4824238,0.0,2020-05-18
39,0.0,3.3459272,0.0,2020-05-19
40,0.0,3.4996507,0.0,2020-05-20
41,0.0,3.535834,0.0,2020-05-21
42,0.0,3.4933336,0.0,2020-05-22
43,0.0,3.5197468,0.0,2020-05-26
44,0.0,3.43426,0.0,2020-05-27
45,0.0,3.4293218,0.0,2020-05-28
46,0.0,3.4101684,0.0,2020-05-29
47,0.0,3.510157,0.0,2020-06-01
48,0.0,3.544937,0.0,2020-06-02
49,0.0,3.510614,0.0,2020-06-03
50,0.0,3.4962616,0.0,2020-06-04
51,0.0,3.497162,0.0,2020-06-05
52,0.0,3.503677,0.0,2020-06-08
53,0.0,3.4992692,0.0,2020-06-09
54,0.0,3.5405693,0.0,2020-06-10
55,0.0,3.523634,0.0,2020-06-11
56,0.0,3.3980236,0.0,2020-06-12
57,0.0,3.4330072,0.0,2020-06-15
58,0.0,3.5099058,0.0,2020-06-16
59,0.0,3.5056462,0.0,2020-06-17
60,0.0,3.5403337,0.0,2020-06-18
61,0.0,3.5416749,0.0,2020-06-19
62,0.0,3.544529,0.0,2020-06-22
63,0.0,3.5444155,0.0,2020-06-23
64,0.0,3.5395055,0.0,2020-06-24
65,0.0,3.5373268,0.0,2020-06-25
66,0.0,3.5402007,0.0,2020-06-26
67,0.0,3.5182652,0.0,2020-06-29
68,0.0,3.5233016,0.0,2020-06-30
69,0.0,3.5413694,0.0,2020-07-01
70,0.0,3.5363903,0.0,2020-07-02
71,0.0,3.537523,0.0,2020-07-06
72,0.0,3.5404482,0.0,2020-07-07
73,0.0,3.544551,0.0,2020-07-08
74,0.0,3.5289814,0.0,2020-07-09
75,0.0,3.5150807,0.0,2020-07-10
76,0.0,3.5370905,0.0,2020-07-13
77,0.0,3.5408,0.0,2020-07-14
78,0.0,3.508231,0.0,2020-07-15
79,0.0,3.5395613,0.0,2020-07-16
80,0.0,3.5466464,0.0,2020-07-17
81,0.0,3.5053897,0.0,2020-07-20
82,0.0,3.5338266,0.0,2020-07-21
83,0.0,3.5452487,0.0,2020-07-22
84,0.0,3.540741,0.0,2020-07-23
85,0.0,3.5424073,0.0,2020-07-24
86,0.0,3.5464716,0.0,2020-07-27
87,0.0,3.475328,0.0,2020-07-28
88,0.0,3.5390384,0.0,2020-07-29
89,0.0,3.5400524,0.0,2020-07-30
90,0.0,3.5170293,0.0,2020-07-31
91,0.0,3.542123,0.0,2020-08-03
92,0.0,3.5436735,0.0,2020-08-04
93,0.0,3.5454717,0.0,2020-08-05
94,0.0,3.5130374,0.0,2020-08-06
95,0.0,3.5436287,0.0,2020-08-07
96,0.0,3.4779036,0.0,2020-08-10
97,0.0,3.5244865,0.0,2020-08-11
98,0.0,3.5252485,0.0,2020-08-12
99,0.0,3.5306349,0.0,2020-08-13
100,0.0,3.4908123,0.0,2020-08-14
101,0.0,3.4907207,0.0,2020-08-17
102,0.0,3.5426955,0.0,2020-08-18
103,0.0,3.5408788,0.0,2020-08-19
104,0.0,3.543737,0.0,2020-08-20
105,0.0,3.5034149,0.0,2020-08-21
106,0.0,3.5201566,0.0,2020-08-24
107,0.0,3.5392258,0.0,2020-08-25
108,0.0,3.5343678,0.0,2020-08-26
109,0.0,3.5148027,0.0,2020-08-27
110,0.0,3.4855087,0.0,2020-08-28
111,0.0,3.533185,0.0,2020-08-31
112,0.0,3.535983,0.0,2020-09-01
113,0.0,3.5384862,0.0,2020-09-02
114,0.0,3.5430665,0.0,2020-09-03
115,0.0,3.498759,0.0,2020-09-04
116,0.0,3.496096,0.0,2020-09-08
117,0.0,3.5064938,0.0,2020-09-09
118,0.0,3.5433083,0.0,2020-09-10
119,0.0,3.5289984,0.0,2020-09-11
120,0.0,3.5420816,0.0,2020-09-14
121,0.0,3.538655,0.0,2020-09-15
122,0.0,3.5353093,0.0,2020-09-16
123,0.0,3.5476985,0.0,2020-09-17
124,0.0,3.5455065,0.0,2020-09-18
125,0.0,3.5388908,0.0,2020-09-21
126,0.0,3.5363326,0.0,2020-09-22
127,0.0,3.538934,0.0,2020-09-23
128,0.0,3.5360959,0.0,2020-09-24
129,0.0,3.5408492,0.0,2020-09-25
130,0.0,3.5111234,0.0,2020-09-28
131,0.0,3.5151691,0.0,2020-09-29
132,0.0,3.4524355,0.0,2020-09-30
133,0.0,3.3991256,0.0,2020-10-01
134,0.0,3.5010557,0.0,2020-10-02
135,0.0,3.421483,0.0,2020-10-05
136,0.0,3.4974806,0.0,2020-10-06
137,0.0,3.4393644,0.0,2020-10-07
138,0.0,3.42631,0.0,2020-10-08
139,0.0,3.467127,0.0,2020-10-09
140,0.0,3.4435897,0.0,2020-10-12
141,0.0,3.4634364,0.0,2020-10-13
142,0.0,3.5277622,0.0,2020-10-14
143,0.0,3.5417774,0.0,2020-10-15
144,0.0,3.5416112,0.0,2020-10-16
145,0.0,3.4365678,0.0,2020-10-19
146,0.0,3.5200684,0.0,2020-10-20
147,0.0,3.5159473,0.0,2020-10-21
148,0.0,3.5430758,0.0,2020-10-22
