timestep,ck_kl,ck_tv,date
0,0.032577472397655405,0.10983227927003551,2020-03-26
1,0.013436450564159742,0.06466930903299929,2020-03-27
2,0.06488594651858563,0.15310640340008613,2020-03-30
3,0.0077162941798698545,0.04741747707758197,2020-03-31
4,0.07699669984193461,0.1588926992588349,2020-04-01
5,0.0393595999683898,0.1108454586692747,2020-04-02
6,0.21914042161405675,0.28118822204581667,2020-04-03
7,0.085109444922264,0.1681388161291345,2020-04-06
8,0.02978361483300626,0.10089035319006551,2020-04-07
9,0.03394334397586506,0.09773338271325678,2020-04-08
10,0.01234998012146248,0.05903591149980588,2020-04-09
11,0.023581503134147034,0.08500915249893,2020-04-13
12,0.04346896940795946,0.11741563392845596,2020-04-14
13,0.007314710784865954,0.045373044784707016,2020-04-15
14,0.14788127874579454,0.22983338497247932,2020-04-16
15,0.22752948963487765,0.27848520494907975,2020-04-17
16,0.0351790592517794,0.1032746612749369,2020-04-20
17,0.011651320456315164,0.05505654109784105,2020-04-21
18,0.015327709338859418,0.06606333947359733,2020-04-22
19,0.06416498873789395,0.15119554850414388,2020-04-23
20,0.22720436797766214,0.2834515545111049,2020-04-24
21,0.09351497081488484,0.19446321509004483,2020-04-27
22,0.012369211181585335,0.05895227376675482,2020-04-28
23,0.05749723839069642,0.14401738775436035,2020-04-29
24,0.044575612668324174,0.12540242938758359,2020-04-30
25,0.11065182906773437,0.18295381746792438,2020-05-01
26,0.06718941506063038,0.14563517026011805,2020-05-04
27,0.011841186984921908,0.060102422985228346,2020-05-05
28,0.008820513528536838,0.04859085483065078,2020-05-06
29,0.16683771501534467,0.24136370509367125,2020-05-07
30,0.06886026318669998,0.15697347948612067,2020-05-08
31,0.007286287992167088,0.045654624001614796,2020-05-11
32,0.2181014804278451,0.2762195988767537,2020-05-12
33,0.033822023320219795,0.10966482416242275,2020-05-13
34,0.19016544313761632,0.2721070219799815,2020-05-14
35,0.1130189540827175,0.1984380198617181,2020-05-15
36,0.029530782694867582,0.10006544200707614,2020-05-18
37,0.028424839105316967,0.0938068066370986,2020-05-19
38,0.024464559225556605,0.09237503918798373,2020-05-20
39,0.03664768215806413,0.11316491524272411,2020-05-21
40,0.007352876386064329,0.04477021913000321,2020-05-22
41,0.0592535146727156,0.13643510075242335,2020-05-26
42,0.02235073619809611,0.08076455464579252,2020-05-27
43,0.010011183985440689,0.054911664004427894,2020-05-28
44,0.03748779136844787,0.11027948342222832,2020-05-29
45,0.009946244015586895,0.0553347150306243,2020-06-01
46,0.1002713234955541,0.18502561202262532,2020-06-02
47,0.007641284242549253,0.04622079991510093,2020-06-03
48,0.05323353072852039,0.1279452237361326,2020-06-04
49,0.07616591718792472,0.16370085920194846,2020-06-05
50,0.016395655638330234,0.06551918624848668,2020-06-08
51,0.006508148047495097,0.043676184017117994,2020-06-09
52,0.057750783762430674,0.13186486338132036,2020-06-10
53,0.06928475925315429,0.14534474267705824,2020-06-11
54,0.19304168038692096,0.2508922092367459,2020-06-12
55,0.0074018882051977136,0.04561576836513687,2020-06-15
56,0.011979988538769741,0.054261656724225546,2020-06-16
57,0.03492203312715195,0.09532885735705045,2020-06-17
58,0.18344828706569974,0.24862836489900378,2020-06-18
59,0.06576009592491339,0.14311294390593893,2020-06-19
60,0.00984103631512988,0.04410992553472433,2020-06-22
61,0.07648122434264637,0.1523050008316458,2020-06-23
62,0.043442670357872616,0.11572780664111254,2020-06-24
63,0.06372700483894195,0.13554176513744878,2020-06-25
64,0.012483437626808298,0.05091104660289038,2020-06-26
65,0.050703289367989464,0.11743969180774105,2020-06-29
66,0.03784189102567168,0.0979862578597021,2020-06-30
67,0.028494894681843717,0.08240032407551949,2020-07-01
68,0.056009311695270916,0.12373562048236313,2020-07-02
