timestep,ck_kl,ck_tv,date
0,0.045450715631324155,0.12952515176120166,2020-03-26
1,0.013801700478324838,0.06195864294138519,2020-03-27
2,0.026661435216150588,0.0923001321508893,2020-03-30
3,0.021291730887266106,0.07897067793116225,2020-03-31
4,0.06149273467846322,0.14288959417153477,2020-04-01
5,0.06820187379141844,0.15367156956254732,2020-04-02
6,0.44509745488535674,0.3579646742623275,2020-04-03
7,0.07250250576868301,0.14960289059445855,2020-04-06
8,0.00797772168052215,0.046420437220865314,2020-04-07
9,0.017591909253053567,0.07156338301492719,2020-04-08
10,0.029723572473005836,0.08177920283079082,2020-04-09
11,0.11173690366036089,0.19028245527055382,2020-04-13
12,0.08310366693764644,0.1708001576986715,2020-04-14
13,0.011258315123871885,0.05446602339708692,2020-04-15
14,0.27113301900729686,0.2672644357512083,2020-04-16
15,0.14894294070062103,0.221416849247164,2020-04-17
16,0.0231095349104389,0.08081281765430905,2020-04-20
17,0.018902406474206688,0.07128045332468862,2020-04-21
18,0.010040998362946028,0.055800894484913384,2020-04-22
19,0.07805787800156573,0.15663487310439292,2020-04-23
20,0.3950079557999754,0.3878998899156126,2020-04-24
21,0.08846547367848064,0.18218553126081358,2020-04-27
22,0.0389583677688779,0.1015933883322953,2020-04-28
23,0.1459407726300373,0.21130127634689222,2020-04-29
24,0.044489688536896076,0.12399980851179389,2020-04-30
25,0.6316954016446549,0.37158125853450064,2020-05-01
26,0.19999932822632316,0.26063157207742166,2020-05-04
27,0.012770254956627362,0.06224620570017134,2020-05-05
28,0.0113055873810411,0.056242034799190085,2020-05-06
29,0.1420063504665209,0.22592616004868168,2020-05-07
30,0.18535188777273887,0.24042116933886853,2020-05-08
31,0.0358897321754388,0.10788692125460096,2020-05-11
32,0.28264275166377906,0.3252607958946863,2020-05-12
33,0.04160869751298011,0.11148601604619557,2020-05-13
34,0.08031382977729717,0.17552998025842256,2020-05-14
35,0.16373522474912788,0.21997138572082262,2020-05-15
36,0.055820007729753554,0.11494683188836409,2020-05-18
37,0.110985587387599,0.1924116078101539,2020-05-19
38,0.025904456101360586,0.0885730359496837,2020-05-20
39,0.040650221120654084,0.11269205664625352,2020-05-21
40,0.036412135541416216,0.10039168247266327,2020-05-22
41,0.03343526341838426,0.09638718938579524,2020-05-26
42,0.0589655227308101,0.13356517056470765,2020-05-27
43,0.014830721919856273,0.06409894282256226,2020-05-28
44,0.007138822672438921,0.04383196836556635,2020-05-29
45,0.025135345048261967,0.08819031527846996,2020-06-01
46,0.0953841984329427,0.15948950421391844,2020-06-02
47,0.0115036796219282,0.05514330229355267,2020-06-03
48,0.05657886137185064,0.12642260396950308,2020-06-04
49,0.01871963436212033,0.07474534349679525,2020-06-05
50,0.01182077080718639,0.05674159032747166,2020-06-08
51,0.010058103099006723,0.051718483889237936,2020-06-09
52,0.020306024284202303,0.07133563747307585,2020-06-10
53,0.08776407690573118,0.15047948682992518,2020-06-11
54,0.3289045150036882,0.3407959981600411,2020-06-12
55,0.02176651099877674,0.07765798181002424,2020-06-15
56,0.015122130304870968,0.0617086359691343,2020-06-16
57,0.013366381669320433,0.05883252943713057,2020-06-17
58,0.10906819803582955,0.19281768823319345,2020-06-18
59,0.12685237950149647,0.20176407029386248,2020-06-19
60,0.011770827090166552,0.0556849699045358,2020-06-22
61,0.014088738923420753,0.05982966571540381,2020-06-23
62,0.013109088367935307,0.05768876156066712,2020-06-24
63,0.07858297539053496,0.16569916431162654,2020-06-25
64,0.06966849957548109,0.13294693094193197,2020-06-26
65,0.18129086305704392,0.24276361262199297,2020-06-29
66,0.05571679348720522,0.1314511575799012,2020-06-30
67,0.033750307705675234,0.09673980495000166,2020-07-01
68,0.02074792713393608,0.07554037041379982,2020-07-02
69,0.03637139767206977,0.1035041187186907,2020-07-06
70,0.06872001006607531,0.12632922343705402,2020-07-07
71,0.07317603528095071,0.14442739272487842,2020-07-08
72,0.011707861220083432,0.051226498931072964,2020-07-09
73,0.11686016017317141,0.20064601130108742,2020-07-10
74,0.08555637171903839,0.16560983849119562,2020-07-13
