ticker,model,vol_window,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
JPM,state_cond_vol_w21,21,1,35,42,3.3526461124420166,3.387601852416992,3.492891311645508,-0.0624567498439057
JPM,state_cond_vol_w21,21,1,35,7,3.35884952545166,3.3868508338928223,3.497471809387207,-0.0578762521022064
JPM,state_cond_vol_w21,21,1,35,123,3.3543059825897217,3.3876845836639404,3.491886138916016,-0.0634619225733978
JPM,state_cond_vol_w21,21,2,35,42,3.35327696800232,3.4327049255371094,3.529691696166992,-0.0256563653224213
JPM,state_cond_vol_w21,21,2,35,7,3.36946439743042,3.424168109893799,3.528640031814575,-0.0267080296748383
JPM,state_cond_vol_w21,21,2,35,123,3.363554716110229,3.41841983795166,3.522277355194092,-0.0330707062953217
JPM,state_cond_vol_w21,21,3,35,42,3.371276617050171,3.439110517501831,3.539179801940918,-0.0161682595484955
JPM,state_cond_vol_w21,21,3,35,7,3.3692965507507324,3.436502456665039,3.535131454467773,-0.02021660702164
JPM,state_cond_vol_w21,21,3,35,123,3.374460935592652,3.4375457763671875,3.535487651824951,-0.0198604096644623
JPM,state_cond_vol_w21,21,5,35,42,3.37345290184021,3.4470200538635254,3.5282199382781982,-0.0271281232112152
JPM,state_cond_vol_w21,21,5,35,7,3.3741533756256104,3.451498985290528,3.535572052001953,-0.0197760094874603
JPM,state_cond_vol_w21,21,5,35,123,3.3733439445495605,3.4477663040161133,3.5356619358062744,-0.0196861256831391
JPM,state_cond_vol_w21,21,1,45,42,3.612351655960083,3.639194011688232,3.743265151977539,-0.0633973377927805
JPM,state_cond_vol_w21,21,1,45,7,3.5968868732452397,3.64534330368042,3.7509377002716064,-0.0557247894987131
JPM,state_cond_vol_w21,21,1,45,123,3.606110811233521,3.640852212905884,3.7447314262390137,-0.0619310635313059
JPM,state_cond_vol_w21,21,2,45,42,3.615309000015259,3.675985813140869,3.778289318084717,-0.0283731716856028
JPM,state_cond_vol_w21,21,2,45,7,3.615375280380249,3.680354833602905,3.7845494747161865,-0.0221130150541331
JPM,state_cond_vol_w21,21,2,45,123,3.609457015991211,3.679248809814453,3.78398323059082,-0.0226792591794993
JPM,state_cond_vol_w21,21,3,45,42,3.614448308944702,3.6898367404937744,3.783367156982422,-0.0232953327878977
JPM,state_cond_vol_w21,21,3,45,7,3.604358911514282,3.6883139610290527,3.7866525650024414,-0.0200099247678782
JPM,state_cond_vol_w21,21,3,45,123,3.610385417938232,3.684557676315308,3.784386157989502,-0.0222763317808176
JPM,state_cond_vol_w21,21,5,45,42,3.622125387191773,3.700902223587036,3.7782695293426514,-0.0283929604276682
JPM,state_cond_vol_w21,21,5,45,7,3.625977754592896,3.698928117752075,3.786369562149048,-0.0202929276212717
JPM,state_cond_vol_w21,21,5,45,123,3.620818853378296,3.6979880332946777,3.785387277603149,-0.0212752121671702
JPM,state_cond_vol_w21,21,1,55,42,3.818425416946411,3.841628313064575,3.950324058532715,-0.05700912669975633
JPM,state_cond_vol_w21,21,1,55,7,3.795761823654175,3.8436295986175537,3.950352668762207,-0.05698051647026414
JPM,state_cond_vol_w21,21,1,55,123,3.797436475753784,3.845982074737549,3.9485154151916504,-0.05881777004082078
JPM,state_cond_vol_w21,21,2,55,42,3.8076493740081787,3.8809282779693604,3.9798567295074463,-0.027476455725024884
JPM,state_cond_vol_w21,21,2,55,7,3.813962936401367,3.87973690032959,3.9833192825317383,-0.024013902700732892
JPM,state_cond_vol_w21,21,2,55,123,3.80661940574646,3.8757901191711426,3.9740960597991943,-0.03323712543327684
JPM,state_cond_vol_w21,21,3,55,42,3.8106627464294434,3.8873417377471924,3.9882493019104004,-0.019083883322070783
JPM,state_cond_vol_w21,21,3,55,7,3.81469988822937,3.8859455585479736,3.9928057193756104,-0.014527465856860822
JPM,state_cond_vol_w21,21,3,55,123,3.8020834922790527,3.8862645626068115,3.986708402633667,-0.02062478259880418
JPM,state_cond_vol_w21,21,5,55,42,3.8055834770202637,3.9091861248016357,3.983309030532837,-0.02402415469963426
JPM,state_cond_vol_w21,21,5,55,7,3.8188982009887695,3.904486894607544,3.9866936206817627,-0.020639564550708478
JPM,state_cond_vol_w21,21,5,55,123,3.795923948287964,3.9077367782592773,3.993314743041992,-0.014018442190478986
