timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.049528781324625015,3.5054793,0.18574384,2020-03-24
1,0.021126791834831238,3.6768217,0.08302051,2020-03-25
2,0.03504852205514908,3.5752652,0.1482172,2020-03-26
3,0.01229074876755476,3.6192129,0.04308266,2020-03-27
4,0.040897347033023834,3.4465346,0.15202643,2020-03-30
5,0.06724684685468674,3.7674742,0.2305706,2020-03-31
6,0.04911450669169426,3.7207923,0.18863563,2020-04-01
7,0.05436357110738754,3.7641048,0.20660622,2020-04-02
8,0.037651896476745605,3.5450547,0.16662312,2020-04-03
9,0.05756952613592148,3.7327886,0.25247535,2020-04-06
10,0.030514953657984734,3.6152103,0.12778772,2020-04-07
11,0.059539370238780975,3.7153637,0.22213237,2020-04-08
12,0.05796046555042267,3.7445228,0.21463108,2020-04-09
13,0.06138991564512253,3.7803056,0.22414245,2020-04-13
14,0.05406767129898071,3.7836916,0.21123654,2020-04-14
15,0.049388956278562546,3.7868366,0.2019224,2020-04-15
16,0.05275275930762291,3.777082,0.21509314,2020-04-16
17,0.04467540234327316,3.7696257,0.18890035,2020-04-17
18,0.03141042962670326,3.709016,0.11000922,2020-04-20
19,0.05084708705544472,3.6898901,0.19617249,2020-04-21
20,0.06945790350437164,3.7517717,0.25099963,2020-04-22
21,0.04803337901830673,3.6720357,0.20773369,2020-04-23
22,0.06314897537231445,3.7650232,0.21637313,2020-04-24
23,0.030840381979942322,3.5798032,0.12248268,2020-04-27
24,0.054033782333135605,3.7769172,0.19110458,2020-04-28
25,0.06945095211267471,3.755062,0.2559724,2020-04-29
26,0.06537862867116928,3.7815876,0.2340974,2020-04-30
27,0.05866653472185135,3.780047,0.23483355,2020-05-01
28,0.045638661831617355,3.7876008,0.19127679,2020-05-04
29,0.0517532080411911,3.6474893,0.2005522,2020-05-05
30,0.06616425514221191,3.766307,0.22758955,2020-05-06
31,0.06397700309753418,3.7360055,0.21959323,2020-05-07
32,0.07550793886184692,3.7717366,0.2665521,2020-05-08
33,0.05872723087668419,3.7212558,0.20797792,2020-05-11
34,0.051695384085178375,3.780094,0.20807779,2020-05-12
35,0.05260682851076126,3.6899629,0.23746547,2020-05-13
36,0.04279451444745064,3.7953935,0.18053757,2020-05-14
37,0.03031747229397297,3.6357183,0.1343824,2020-05-15
38,0.07305983453989029,3.74488,0.25657734,2020-05-18
39,0.06239788606762886,3.777121,0.22570919,2020-05-19
40,0.05996737629175186,3.6633165,0.2233819,2020-05-20
41,0.049878910183906555,3.7363176,0.21086106,2020-05-21
42,0.05868477001786232,3.7280872,0.22665836,2020-05-22
43,0.06041041389107704,3.7653062,0.23660763,2020-05-26
44,0.06221547722816467,3.7702925,0.23755902,2020-05-27
45,0.03248497098684311,3.5627186,0.1265524,2020-05-28
46,0.05213354527950287,3.7459579,0.22537926,2020-05-29
47,0.06407449394464493,3.7735765,0.23821163,2020-06-01
48,0.05494933947920799,3.7766373,0.21911407,2020-06-02
49,0.06919146329164505,3.7721558,0.24450767,2020-06-03
50,0.05975392833352089,3.7832296,0.23555711,2020-06-04
51,0.0546109639108181,3.7443664,0.19899993,2020-06-05
52,0.06380681693553925,3.7849321,0.2522118,2020-06-08
53,0.06400801241397858,3.7293305,0.24683534,2020-06-09
54,0.05035609006881714,3.7707167,0.20106481,2020-06-10
55,0.04972124844789505,3.6933763,0.17713158,2020-06-11
56,0.0509931743144989,3.7695382,0.19350307,2020-06-12
57,0.06598653644323349,3.7710094,0.22506094,2020-06-15
58,0.06649158895015717,3.7790928,0.25495636,2020-06-16
59,0.058076635003089905,3.7737956,0.22402248,2020-06-17
60,0.05389533191919327,3.7722738,0.2064311,2020-06-18
61,0.05821089819073677,3.783342,0.22512884,2020-06-19
62,0.052674733102321625,3.7533143,0.19598651,2020-06-22
63,0.05076015368103981,3.7855468,0.20052326,2020-06-23
64,0.06696286797523499,3.7732368,0.23322645,2020-06-24
65,0.053745515644550323,3.770698,0.1993586,2020-06-25
66,0.06276147067546844,3.756948,0.22760665,2020-06-26
67,0.041473425924777985,3.7475097,0.17741825,2020-06-29
68,0.06119886785745621,3.7746046,0.2286486,2020-06-30
69,0.06351909041404724,3.7762654,0.24154529,2020-07-01
70,0.054301731288433075,3.7002375,0.20223741,2020-07-02
71,0.054504357278347015,3.739388,0.21289152,2020-07-06
72,0.059095609933137894,3.7283838,0.21937779,2020-07-07
73,0.04455973207950592,3.726413,0.1783109,2020-07-08
74,0.05889609456062317,3.7042136,0.21927147,2020-07-09
