timestep,ck_kl,ck_tv,date
0,0.02045621907917906,0.08020404834168286,2020-03-26
1,0.012454043947460613,0.05746309365000174,2020-03-27
2,0.02795362796925491,0.09826402513543153,2020-03-30
3,0.011153159456821136,0.062449975313527105,2020-03-31
4,0.02227340055422669,0.08096438544688649,2020-04-01
5,0.04265130382865979,0.12398267678382276,2020-04-02
6,0.16664579437932972,0.23478120566961574,2020-04-03
7,0.06075753054878055,0.1461717565512185,2020-04-06
8,0.00854810500708657,0.044740432933126816,2020-04-07
9,0.04370339003076059,0.12516372834516734,2020-04-08
10,0.02842519701194762,0.10136580757465563,2020-04-09
11,0.09216807199747792,0.18020404332672507,2020-04-13
12,0.03845832191452893,0.11487979631756219,2020-04-14
13,0.023455352430575005,0.085242603601048,2020-04-15
14,0.3248044841358896,0.3047879144143373,2020-04-16
15,0.2893762438151655,0.32854339707292995,2020-04-17
16,0.011005046153385717,0.060063226574856105,2020-04-20
17,0.007823724934016717,0.04519676006465294,2020-04-21
18,0.00985142330899515,0.056307901218524546,2020-04-22
19,0.0960787548355241,0.18620883019139658,2020-04-23
20,0.237543261300163,0.2975105952584763,2020-04-24
21,0.12462295760569837,0.21647945745967984,2020-04-27
22,0.08682862277974338,0.1674598960503208,2020-04-28
23,0.18698067889873798,0.2596946515590375,2020-04-29
24,0.027199950113061977,0.09804255531529037,2020-04-30
25,0.35489430817199336,0.2989347028405906,2020-05-01
26,0.08686115008145583,0.1737774888525065,2020-05-04
27,0.016011676177390747,0.07302318921743753,2020-05-05
28,0.007138352490669743,0.04180657995692501,2020-05-06
29,0.20827104736575094,0.2793701258067088,2020-05-07
30,0.2602882536797291,0.295908543090397,2020-05-08
31,0.004575281926876016,0.038013390925924734,2020-05-11
32,0.3496331981013267,0.35841062835975934,2020-05-12
33,0.029625727960115707,0.09333849697722765,2020-05-13
34,0.18440016379379584,0.2720515396142589,2020-05-14
35,0.07672789584401682,0.16623556310727616,2020-05-15
36,0.1657004035247541,0.23707351353725037,2020-05-18
37,0.20732137083752036,0.27850651076696353,2020-05-19
