timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.5722811,0.0,2020-03-26
1,0.0,3.6598153,0.0,2020-03-27
2,0.0,3.4948895,0.0,2020-03-30
3,0.0,3.6525981,0.0,2020-03-31
4,0.0,3.6255987,0.0,2020-04-01
5,0.0,3.6828804,0.0,2020-04-02
6,0.0,3.5215347,0.0,2020-04-03
7,0.0,3.7460988,0.0,2020-04-06
8,0.0,3.659491,0.0,2020-04-07
9,0.0,3.7720368,0.0,2020-04-08
10,0.0,3.778224,0.0,2020-04-09
11,0.0,3.758948,0.0,2020-04-13
12,0.0,3.6768007,0.0,2020-04-14
13,0.0,3.6772122,0.0,2020-04-15
14,0.0,3.6122618,0.0,2020-04-16
15,0.0,3.7910326,0.0,2020-04-17
16,0.0,3.7041595,0.0,2020-04-20
17,0.0,3.5730543,0.0,2020-04-21
18,0.0,3.7189803,0.0,2020-04-22
19,0.0,3.6131475,0.0,2020-04-23
20,0.0,3.7882657,0.0,2020-04-24
21,0.0,3.376111,0.0,2020-04-27
22,0.0,3.6495173,0.0,2020-04-28
23,0.0,3.4990077,0.0,2020-04-29
24,0.0,3.702387,0.0,2020-04-30
25,0.0,3.7442513,0.0,2020-05-01
26,0.0,3.759411,0.0,2020-05-04
27,0.0,3.6437721,0.0,2020-05-05
28,0.0,3.7487943,0.0,2020-05-06
29,0.0,3.797699,0.0,2020-05-07
30,0.0,3.6052003,0.0,2020-05-08
31,0.0,3.7680361,0.0,2020-05-11
32,0.0,3.7048395,0.0,2020-05-12
33,0.0,3.3450675,0.0,2020-05-13
34,0.0,3.2014344,0.0,2020-05-14
35,0.0,3.579722,0.0,2020-05-15
36,0.0,3.674183,0.0,2020-05-18
37,0.0,3.7672572,0.0,2020-05-19
38,0.0,3.4929962,0.0,2020-05-20
39,0.0,3.6516619,0.0,2020-05-21
40,0.0,3.7737632,0.0,2020-05-22
41,0.0,3.7636106,0.0,2020-05-26
42,0.0,3.753714,0.0,2020-05-27
43,0.0,3.6495361,0.0,2020-05-28
44,0.0,3.7250721,0.0,2020-05-29
45,0.0,3.655105,0.0,2020-06-01
46,0.0,3.6913583,0.0,2020-06-02
47,0.0,3.747037,0.0,2020-06-03
48,0.0,3.7734022,0.0,2020-06-04
49,0.0,3.781386,0.0,2020-06-05
50,0.0,3.759995,0.0,2020-06-08
51,0.0,3.740152,0.0,2020-06-09
52,0.0,3.7947967,0.0,2020-06-10
53,0.0,3.7754426,0.0,2020-06-11
54,0.0,3.7757387,0.0,2020-06-12
55,0.0,3.7339325,0.0,2020-06-15
56,0.0,3.7825773,0.0,2020-06-16
57,0.0,3.7801857,0.0,2020-06-17
58,0.0,3.730511,0.0,2020-06-18
59,0.0,3.7872167,0.0,2020-06-19
60,0.0,3.7932982,0.0,2020-06-22
61,0.0,3.786012,0.0,2020-06-23
62,0.0,3.7820551,0.0,2020-06-24
63,0.0,3.7699955,0.0,2020-06-25
64,0.0,3.7545133,0.0,2020-06-26
65,0.0,3.73939,0.0,2020-06-29
66,0.0,3.7917604,0.0,2020-06-30
67,0.0,3.7833662,0.0,2020-07-01
68,0.0,3.7480626,0.0,2020-07-02
69,0.0,3.7792108,0.0,2020-07-06
70,0.0,3.7518408,0.0,2020-07-07
71,0.0,3.7359684,0.0,2020-07-08
72,0.0,3.7490404,0.0,2020-07-09
73,0.0,3.7677245,0.0,2020-07-10
74,0.0,3.7542725,0.0,2020-07-13
75,0.0,3.7767773,0.0,2020-07-14
76,0.0,3.6899583,0.0,2020-07-15
77,0.0,3.7642393,0.0,2020-07-16
78,0.0,3.7845733,0.0,2020-07-17
79,0.0,3.7245522,0.0,2020-07-20
80,0.0,3.7772164,0.0,2020-07-21
81,0.0,3.770871,0.0,2020-07-22
82,0.0,3.7583284,0.0,2020-07-23
83,0.0,3.7804394,0.0,2020-07-24
84,0.0,3.795899,0.0,2020-07-27
85,0.0,3.7715693,0.0,2020-07-28
86,0.0,3.779043,0.0,2020-07-29
87,0.0,3.7436004,0.0,2020-07-30
88,0.0,3.711095,0.0,2020-07-31
89,0.0,3.7660813,0.0,2020-08-03
90,0.0,3.7795696,0.0,2020-08-04
91,0.0,3.7950501,0.0,2020-08-05
92,0.0,3.7170916,0.0,2020-08-06
93,0.0,3.734312,0.0,2020-08-07
94,0.0,3.6975796,0.0,2020-08-10
95,0.0,3.78259,0.0,2020-08-11
96,0.0,3.723221,0.0,2020-08-12
97,0.0,3.791211,0.0,2020-08-13
98,0.0,3.739087,0.0,2020-08-14
99,0.0,3.7784579,0.0,2020-08-17
100,0.0,3.789259,0.0,2020-08-18
101,0.0,3.7910829,0.0,2020-08-19
102,0.0,3.7592013,0.0,2020-08-20
103,0.0,3.7591233,0.0,2020-08-21
104,0.0,3.756877,0.0,2020-08-24
105,0.0,3.7541568,0.0,2020-08-25
106,0.0,3.7390714,0.0,2020-08-26
107,0.0,3.7518654,0.0,2020-08-27
108,0.0,3.7977092,0.0,2020-08-28
109,0.0,3.7632086,0.0,2020-08-31
110,0.0,3.7917511,0.0,2020-09-01
111,0.0,3.7958174,0.0,2020-09-02
112,0.0,3.7578275,0.0,2020-09-03
113,0.0,3.7728114,0.0,2020-09-04
114,0.0,3.7425237,0.0,2020-09-08
115,0.0,3.7871444,0.0,2020-09-09
116,0.0,3.7370875,0.0,2020-09-10
117,0.0,3.769162,0.0,2020-09-11
118,0.0,3.7840693,0.0,2020-09-14
119,0.0,3.7588842,0.0,2020-09-15
120,0.0,3.7781813,0.0,2020-09-16
121,0.0,3.7428572,0.0,2020-09-17
122,0.0,3.7950745,0.0,2020-09-18
123,0.0,3.7708552,0.0,2020-09-21
124,0.0,3.7921429,0.0,2020-09-22
125,0.0,3.786472,0.0,2020-09-23
