timestep,ck_kl,ck_tv,date
0,0.04144691710627983,0.11473927638561598,2020-03-24
1,0.053402928041400226,0.13024861270866692,2020-03-25
2,0.013350703767641123,0.056555024461155665,2020-03-26
3,0.05119663168756214,0.13031832051162162,2020-03-27
4,0.039768946893968975,0.11446396313509057,2020-03-30
5,0.035368706133478485,0.11007644829629708,2020-03-31
6,0.0220180608572574,0.08239213857104416,2020-04-01
7,0.01291177589891717,0.056098765120777334,2020-04-02
8,0.017960439571027473,0.07079635910263686,2020-04-03
9,0.012231912955377346,0.05799059436172784,2020-04-06
10,0.025286155058274185,0.09064037522816551,2020-04-07
11,0.06848674086752393,0.15326321906284238,2020-04-08
12,0.06926713972175404,0.15587635554027196,2020-04-09
13,0.06368462891992102,0.14946961756918897,2020-04-13
14,0.011261700536295396,0.0548528827717333,2020-04-14
15,0.012404428412859825,0.05516228912750624,2020-04-15
16,0.010953877567185591,0.054383412931479885,2020-04-16
17,0.010608880742984206,0.05369802240732974,2020-04-17
18,0.010614325961437715,0.05768230729230546,2020-04-20
19,0.00905066589970975,0.05157405790760568,2020-04-21
20,0.011009109970623081,0.06031666729598188,2020-04-22
21,0.01143774067470425,0.06096866980342393,2020-04-23
22,0.011279948475270413,0.06115463472144366,2020-04-24
23,0.016280666461111315,0.0743421340190858,2020-04-27
24,0.01133844693516411,0.06140637756651907,2020-04-28
25,0.008031398420026084,0.04997493662924624,2020-04-29
26,0.007169667630652211,0.04730876982540049,2020-04-30
27,0.019636493903634856,0.08175831994695859,2020-05-01
28,0.008294562060079128,0.050995722931735085,2020-05-04
29,0.012695199314741237,0.0634709717933316,2020-05-05
30,0.01880011854038384,0.07738551961260001,2020-05-06
31,0.33901193392268464,0.3518006422557111,2020-05-07
32,0.19500502693701113,0.2655579048199979,2020-05-08
33,0.12474046692749924,0.2107512594093282,2020-05-11
34,0.09559619433512631,0.18324123772826365,2020-05-12
35,0.01606832439676358,0.06390802803298316,2020-05-13
36,0.015799002836691153,0.06839998903786275,2020-05-14
37,0.0411802816279886,0.11835368092800506,2020-05-15
38,0.018646672518475342,0.07845864707947217,2020-05-18
39,0.01674831704632369,0.07404259423726563,2020-05-19
40,0.04013361482804886,0.11802000122077863,2020-05-20
41,0.016980906455172726,0.07284794584327807,2020-05-21
42,0.06610624992264305,0.15190672418183823,2020-05-22
43,0.036438247722066074,0.11255429798263969,2020-05-26
44,0.012522733818469314,0.061631227330741147,2020-05-27
45,0.008855536124126968,0.05152343758048466,2020-05-28
46,0.01657237441401917,0.07134037150377169,2020-05-29
47,0.009033854372081544,0.05205701044412958,2020-06-01
48,0.012785895478768494,0.06508328680371864,2020-06-02
49,0.011180285879866044,0.06079240990756843,2020-06-03
50,0.02243191678328823,0.08629660923755084,2020-06-04
51,0.010080350782642477,0.05715343761065911,2020-06-05
52,0.04305069460557751,0.12185749115480408,2020-06-08
53,0.025980679360481925,0.09255816382227391,2020-06-09
54,0.009870056593278538,0.05674954008849174,2020-06-10
55,0.01806909713355729,0.07586576943261464,2020-06-11
56,0.022344678542168518,0.08809467887838936,2020-06-12
57,0.01751608056473193,0.07731084281512769,2020-06-15
58,0.009093321824405748,0.05319940059864975,2020-06-16
59,0.012957717207687777,0.0648461079884803,2020-06-17
60,0.010737576159717911,0.05518382267517349,2020-06-18
61,0.01538293113737597,0.06428587127925313,2020-06-19
62,0.007493791938258007,0.04462379891365078,2020-06-22
63,0.014583920019572512,0.06157802181077441,2020-06-23
64,0.006237364008877354,0.04238333839250125,2020-06-24
65,0.006858095905762626,0.04359220214126515,2020-06-25
66,0.009424060441464715,0.04888246179823712,2020-06-26
67,0.007058551857276276,0.04358262540825415,2020-06-29
68,0.008432371738337352,0.046091389940707224,2020-06-30
69,0.006393106654881378,0.04233410019193802,2020-07-01
70,0.006962992223059004,0.04421207108680827,2020-07-02
71,0.009082602214201372,0.05106374011780039,2020-07-06
72,0.008039762872512105,0.047385661897144396,2020-07-07
73,0.012912899993566394,0.05588482415493041,2020-07-08
74,0.0061302708158544016,0.03914980402616132,2020-07-09
