ticker,model,vol_window,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
MS,state_cond_vol_w21,21,1,35,42,3.387169122695923,3.4213316440582275,3.5223233699798584,-0.0330246915095551
MS,state_cond_vol_w21,21,1,35,7,3.38687515258789,3.423098087310791,3.528004169464112,-0.0273438920253021
MS,state_cond_vol_w21,21,1,35,123,3.386345624923706,3.41929030418396,3.519392251968384,-0.0359558095210297
MS,state_cond_vol_w21,21,2,35,42,3.375859260559082,3.433607578277588,3.552631378173828,-0.0027166833155853
MS,state_cond_vol_w21,21,2,35,7,3.3717079162597656,3.43418836593628,3.5566983222961426,0.001350260806729
MS,state_cond_vol_w21,21,2,35,123,3.387080907821656,3.429455518722534,3.5547988414764404,-0.000549220012973
MS,state_cond_vol_w21,21,3,35,42,3.367022752761841,3.453354597091675,3.568467617034912,0.0131195555454985
MS,state_cond_vol_w21,21,3,35,7,3.3774006366729736,3.442091703414917,3.5620269775390625,0.0066789160496489
MS,state_cond_vol_w21,21,3,35,123,3.36163067817688,3.4468934535980225,3.573447704315185,0.018099642825772
MS,state_cond_vol_w21,21,5,35,42,3.366443157196045,3.4629271030426025,3.5710866451263428,0.0157385836369292
MS,state_cond_vol_w21,21,5,35,7,3.356592893600464,3.464941501617432,3.575549364089966,0.0202013026005523
MS,state_cond_vol_w21,21,5,35,123,3.353729009628296,3.458394289016724,3.567999839782715,0.0126517782933013
MS,state_cond_vol_w21,21,1,45,42,3.604440450668335,3.674222230911255,3.7783548831939697,-0.0283076065763498
MS,state_cond_vol_w21,21,1,45,7,3.632113218307495,3.673457622528076,3.78018856048584,-0.0264739292844797
MS,state_cond_vol_w21,21,1,45,123,3.6287436485290527,3.670068264007568,3.773185253143311,-0.033477236627009
MS,state_cond_vol_w21,21,2,45,42,3.628254652023315,3.679573774337769,3.808081865310669,0.0014193755403493
MS,state_cond_vol_w21,21,2,45,7,3.6229324340820312,3.6809351444244394,3.8144044876098633,0.0077419978395436
MS,state_cond_vol_w21,21,2,45,123,3.625635862350464,3.677711009979248,3.813826084136963,0.0071635943666432
MS,state_cond_vol_w21,21,3,45,42,3.614924669265747,3.7050395011901855,3.8222851753234863,0.0156226855531667
MS,state_cond_vol_w21,21,3,45,7,3.608777761459351,3.702360153198242,3.829118251800537,0.0224557620302174
MS,state_cond_vol_w21,21,3,45,123,3.5993573665618896,3.701513767242432,3.833077907562256,0.0264154177919362
MS,state_cond_vol_w21,21,5,45,42,3.612295627593994,3.714698314666748,3.821692705154419,0.0150302153840993
MS,state_cond_vol_w21,21,5,45,7,3.6030526161193848,3.715532302856445,3.8260867595672607,0.0194242697969411
MS,state_cond_vol_w21,21,5,45,123,3.591822385787964,3.715046405792236,3.823923110961914,0.0172606211915944
MS,state_cond_vol_w21,21,1,55,42,3.8265650272369385,3.8731820583343506,3.9731147289276123,-0.03421845630485887
MS,state_cond_vol_w21,21,1,55,7,3.830493450164795,3.8729560375213623,3.9741599559783936,-0.03317322925407762
MS,state_cond_vol_w21,21,1,55,123,3.8269548416137695,3.8705222606658936,3.9722342491149902,-0.03509893611748094
MS,state_cond_vol_w21,21,2,55,42,3.822904348373413,3.8828818798065186,4.018588066101074,0.011254880868603045
MS,state_cond_vol_w21,21,2,55,7,3.805508613586426,3.88797664642334,4.018457412719727,0.01112422748725539
MS,state_cond_vol_w21,21,2,55,123,3.821394681930542,3.8805723190307617,4.0134358406066895,0.00610265537421828
MS,state_cond_vol_w21,21,3,55,42,3.806311845779419,3.9092490673065186,4.02590274810791,0.018569562875438983
MS,state_cond_vol_w21,21,3,55,7,3.8129727840423584,3.8994598388671875,4.022964954376221,0.01563176914374953
MS,state_cond_vol_w21,21,3,55,123,3.808120012283325,3.9031834602355957,4.023087501525879,0.015754316293407733
MS,state_cond_vol_w21,21,5,55,42,3.8224780559539795,3.9150171279907227,4.0194411277771,0.012107942544628436
MS,state_cond_vol_w21,21,5,55,7,3.8136773109436035,3.9157049655914307,4.0170512199401855,0.009718034707714374
MS,state_cond_vol_w21,21,5,55,123,3.81817626953125,3.9102416038513184,4.0169243812561035,0.009591196023632342
