timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.01943834312260151,3.6091397,0.07126181,2020-03-24
1,0.017869768664240837,3.61409,0.06838358,2020-03-25
2,0.015337379649281502,3.7671826,0.057154037,2020-03-26
3,0.011566014029085636,3.8181443,0.044118233,2020-03-27
4,0.01449382770806551,3.8329868,0.056592073,2020-03-30
5,0.025295374915003777,3.8898463,0.10509608,2020-03-31
6,0.02144406922161579,3.8427663,0.08649463,2020-04-01
7,0.018937252461910248,3.7424006,0.07524025,2020-04-02
8,0.021990902721881866,3.705921,0.07785106,2020-04-03
9,0.023054655641317368,3.8376532,0.09342503,2020-04-06
10,0.016814060509204865,3.7099926,0.061777167,2020-04-07
11,0.029492046684026718,3.9402874,0.116732255,2020-04-08
12,0.022482456639409065,3.9147193,0.08300452,2020-04-09
13,0.025716256350278854,3.9155018,0.09886488,2020-04-13
14,0.021796396002173424,3.848752,0.08722473,2020-04-14
15,0.03140585124492645,3.693922,0.11493626,2020-04-15
16,0.015916472300887108,3.7751613,0.064229645,2020-04-16
17,0.029678981751203537,3.937941,0.13729396,2020-04-17
18,0.010305522941052914,3.82098,0.04182418,2020-04-20
19,0.02293236553668976,3.9073677,0.09097154,2020-04-21
20,0.017875056713819504,3.8542092,0.07217383,2020-04-22
21,0.024870309978723526,3.883689,0.10000549,2020-04-23
22,0.03944508731365204,3.9669404,0.15961468,2020-04-24
23,0.012738768011331558,3.7351725,0.04989235,2020-04-27
24,0.02107187546789646,3.912151,0.089056864,2020-04-28
25,0.02590291015803814,3.9111521,0.11311426,2020-04-29
26,0.023303288966417313,3.8994431,0.09833,2020-04-30
27,0.02231946401298046,3.8982215,0.09597807,2020-05-01
28,0.016825217753648758,3.9026394,0.07424116,2020-05-04
29,0.0188456978648901,3.8600824,0.07796047,2020-05-05
30,0.04908013716340065,3.994377,0.20318663,2020-05-06
31,0.04227161034941673,3.9823291,0.18021709,2020-05-07
32,0.053450606763362885,3.9922543,0.22581096,2020-05-08
33,0.04374082013964653,3.9855094,0.18168582,2020-05-11
34,0.01914474368095398,3.8517196,0.07588396,2020-05-12
35,0.023148024454712868,3.3040216,0.08429768,2020-05-13
36,0.01550766360014677,3.669433,0.054384965,2020-05-14
37,0.02345435321331024,3.803306,0.09268736,2020-05-15
38,0.03202948346734047,3.9466267,0.1369116,2020-05-18
39,0.0184702817350626,3.8963504,0.071436614,2020-05-19
40,0.015876859426498413,3.812978,0.05821386,2020-05-20
41,0.021957924589514732,3.8741877,0.08113002,2020-05-21
42,0.030521977692842484,3.934821,0.13043739,2020-05-22
43,0.03147872909903526,3.956138,0.13009343,2020-05-26
44,0.026377292349934578,3.8150005,0.10034391,2020-05-27
45,0.01904062181711197,3.8561208,0.07300259,2020-05-28
46,0.022765589877963066,3.7829762,0.09183799,2020-05-29
47,0.022595122456550598,3.8529148,0.090708956,2020-06-01
48,0.03730069100856781,3.954523,0.15285537,2020-06-02
49,0.028927529230713844,3.94072,0.11453022,2020-06-03
50,0.025017088279128075,3.9259188,0.10140675,2020-06-04
51,0.02931133285164833,3.9667525,0.11230751,2020-06-05
52,0.03256039693951607,3.9517903,0.12626556,2020-06-08
53,0.025104263797402382,3.9272308,0.10381918,2020-06-09
54,0.043422192335128784,3.9717412,0.19033676,2020-06-10
55,0.02307088114321232,3.8988564,0.10216331,2020-06-11
56,0.018343934789299965,3.8770568,0.084441446,2020-06-12
57,0.01878855936229229,3.8791354,0.0738097,2020-06-15
58,0.023926209658384323,3.921066,0.09421751,2020-06-16
59,0.04410349950194359,3.9975393,0.17051865,2020-06-17
60,0.030719060450792313,3.946402,0.13283572,2020-06-18
61,0.048596616834402084,3.9958537,0.19360292,2020-06-19
62,0.0467764288187027,3.9972572,0.19151385,2020-06-22
63,0.04464420676231384,3.9972467,0.17851612,2020-06-23
64,0.05584822967648506,3.9940321,0.22342989,2020-06-24
65,0.05418907850980759,3.9950373,0.23602231,2020-06-25
66,0.05701204389333725,3.99349,0.2230686,2020-06-26
67,0.020789386704564095,3.919491,0.09617691,2020-06-29
68,0.04769783467054367,3.9967976,0.18460955,2020-06-30
69,0.04527211934328079,3.98005,0.18112521,2020-07-01
70,0.04585940018296242,3.9815238,0.19019598,2020-07-02
71,0.05180077254772186,3.9933066,0.21193331,2020-07-06
72,0.05330852046608925,3.9957256,0.20536749,2020-07-07
73,0.03942517936229706,3.9900355,0.17477265,2020-07-08
74,0.05266974866390228,3.9833732,0.21167502,2020-07-09
75,0.053085245192050934,3.988743,0.22670397,2020-07-10
