timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.5276704,0.0,2020-03-26
1,0.0,3.68748,0.0,2020-03-27
2,0.0,3.5658233,0.0,2020-03-30
3,0.0,3.7611783,0.0,2020-03-31
4,0.0,3.6476097,0.0,2020-04-01
5,0.0,3.666885,0.0,2020-04-02
6,0.0,3.6211529,0.0,2020-04-03
7,0.0,3.6606052,0.0,2020-04-06
8,0.0,3.7053204,0.0,2020-04-07
9,0.0,3.73169,0.0,2020-04-08
10,0.0,3.7328005,0.0,2020-04-09
11,0.0,3.703824,0.0,2020-04-13
12,0.0,3.6772735,0.0,2020-04-14
13,0.0,3.5978525,0.0,2020-04-15
14,0.0,3.543047,0.0,2020-04-16
15,0.0,3.7739542,0.0,2020-04-17
16,0.0,3.7081304,0.0,2020-04-20
17,0.0,3.6829007,0.0,2020-04-21
18,0.0,3.7829595,0.0,2020-04-22
19,0.0,3.6991334,0.0,2020-04-23
20,0.0,3.799406,0.0,2020-04-24
21,0.0,3.5986087,0.0,2020-04-27
22,0.0,3.7597568,0.0,2020-04-28
23,0.0,3.58676,0.0,2020-04-29
24,0.0,3.6946685,0.0,2020-04-30
25,0.0,3.7340357,0.0,2020-05-01
26,0.0,3.6434875,0.0,2020-05-04
27,0.0,3.6985326,0.0,2020-05-05
28,0.0,3.796276,0.0,2020-05-06
29,0.0,3.7742524,0.0,2020-05-07
30,0.0,3.7903504,0.0,2020-05-08
31,0.0,3.7603898,0.0,2020-05-11
32,0.0,3.726086,0.0,2020-05-12
33,0.0,3.5507874,0.0,2020-05-13
34,0.0,3.488391,0.0,2020-05-14
35,0.0,3.69624,0.0,2020-05-15
36,0.0,3.775763,0.0,2020-05-18
37,0.0,3.6498685,0.0,2020-05-19
38,0.0,3.6783416,0.0,2020-05-20
39,0.0,3.6433592,0.0,2020-05-21
40,0.0,3.7239316,0.0,2020-05-22
41,0.0,3.7579563,0.0,2020-05-26
42,0.0,3.662715,0.0,2020-05-27
43,0.0,3.6533813,0.0,2020-05-28
44,0.0,3.6387568,0.0,2020-05-29
45,0.0,3.7196345,0.0,2020-06-01
46,0.0,3.7184596,0.0,2020-06-02
47,0.0,3.7498422,0.0,2020-06-03
48,0.0,3.7537193,0.0,2020-06-04
49,0.0,3.7266302,0.0,2020-06-05
50,0.0,3.7616947,0.0,2020-06-08
51,0.0,3.761817,0.0,2020-06-09
52,0.0,3.7672713,0.0,2020-06-10
53,0.0,3.7912765,0.0,2020-06-11
54,0.0,3.6789436,0.0,2020-06-12
55,0.0,3.6693568,0.0,2020-06-15
56,0.0,3.8001063,0.0,2020-06-16
57,0.0,3.7687683,0.0,2020-06-17
58,0.0,3.6780424,0.0,2020-06-18
59,0.0,3.8004746,0.0,2020-06-19
60,0.0,3.7980368,0.0,2020-06-22
61,0.0,3.7804632,0.0,2020-06-23
62,0.0,3.7940724,0.0,2020-06-24
63,0.0,3.7793694,0.0,2020-06-25
64,0.0,3.799282,0.0,2020-06-26
65,0.0,3.761044,0.0,2020-06-29
66,0.0,3.776727,0.0,2020-06-30
67,0.0,3.7879574,0.0,2020-07-01
68,0.0,3.8005536,0.0,2020-07-02
69,0.0,3.8007834,0.0,2020-07-06
70,0.0,3.7999744,0.0,2020-07-07
71,0.0,3.7805686,0.0,2020-07-08
72,0.0,3.779019,0.0,2020-07-09
73,0.0,3.7138813,0.0,2020-07-10
