timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.06780093163251877,3.8345015,0.28148082,2020-03-27
1,0.0671800822019577,3.8259249,0.27829397,2020-03-30
2,0.06951645016670227,3.8525558,0.2926287,2020-03-31
3,0.06255722045898438,3.7743764,0.25805867,2020-04-01
4,0.043888479471206665,3.7122922,0.18225302,2020-04-02
5,0.045631568878889084,3.7283697,0.19173929,2020-04-03
6,0.048576708883047104,3.7570987,0.20974569,2020-04-06
7,0.04827333241701126,3.754747,0.20720614,2020-04-07
8,0.052828121930360794,3.800044,0.23283075,2020-04-08
9,0.05885465443134308,3.8652422,0.2680928,2020-04-09
10,0.059798095375299454,3.8747604,0.2726046,2020-04-13
11,0.049524083733558655,3.7584252,0.21436325,2020-04-14
12,0.045335132628679276,3.711281,0.19133945,2020-04-15
13,0.049658358097076416,3.755843,0.2159185,2020-04-16
14,0.0506141260266304,3.7642486,0.22210597,2020-04-17
15,0.05555051192641258,3.8192081,0.25157616,2020-04-20
16,0.05288313701748848,3.7958581,0.23709777,2020-04-21
17,0.057496652007102966,3.849307,0.2652732,2020-04-22
18,0.05431399494409561,3.8179677,0.24768947,2020-04-23
19,0.05697299912571907,3.8475246,0.26296735,2020-04-24
20,0.05708574131131172,3.8514516,0.26452056,2020-04-27
21,0.05783563852310181,3.8644297,0.26855993,2020-04-28
22,0.056072428822517395,3.8458307,0.25879514,2020-04-29
23,0.05774187669157982,3.861927,0.26927605,2020-04-30
24,0.05652989447116852,3.8480053,0.26205412,2020-05-01
25,0.0589427649974823,3.874201,0.27639514,2020-05-04
26,0.06084355339407921,3.9035003,0.28808537,2020-05-05
27,0.060503579676151276,3.9045134,0.28666008,2020-05-06
28,0.06205043941736221,3.931709,0.29890174,2020-05-07
29,0.059830985963344574,3.912391,0.28525198,2020-05-08
30,0.05688515678048134,3.877511,0.26877853,2020-05-11
31,0.05698569491505623,3.8698308,0.2687742,2020-05-12
32,0.0339498370885849,3.620875,0.13790762,2020-05-13
33,0.04176584258675575,3.702513,0.17988849,2020-05-14
34,0.0445517972111702,3.7295504,0.1954003,2020-05-15
35,0.04572213068604469,3.744273,0.202546,2020-05-18
36,0.046204227954149246,3.751573,0.20527104,2020-05-19
37,0.046883467584848404,3.7576027,0.2096171,2020-05-20
38,0.042635731399059296,3.7106583,0.18632439,2020-05-21
39,0.04876945912837982,3.7757561,0.2209685,2020-05-22
40,0.04965661093592644,3.7854493,0.22578406,2020-05-26
41,0.045283734798431396,3.7388291,0.20012073,2020-05-27
42,0.04822426289319992,3.7673829,0.21666232,2020-05-28
43,0.04336753487586975,3.71493,0.18967637,2020-05-29
44,0.04879254847764969,3.7696755,0.22009444,2020-06-01
45,0.05157971754670143,3.8014066,0.23611803,2020-06-02
46,0.05500585958361626,3.8419743,0.25704515,2020-06-03
47,0.056698258966207504,3.8612726,0.267235,2020-06-04
