ticker,model,vol_window,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
MTB,state_cond_vol_w10,10,1,35,42,3.368879556655884,3.467695713043213,3.4768850803375244,-0.0784629811518891
MTB,state_cond_vol_w10,10,1,35,7,3.374088764190674,3.469080209732056,3.474149703979492,-0.0811983575099213
MTB,state_cond_vol_w10,10,1,35,123,3.3749094009399414,3.4685933589935303,3.478271245956421,-0.0770768155329926
MTB,state_cond_vol_w10,10,2,35,42,3.419025421142578,3.511259317398072,3.5340754985809326,-0.0212725629084808
MTB,state_cond_vol_w10,10,2,35,7,3.3944754600524902,3.510572671890259,3.525200605392456,-0.0301474560969574
MTB,state_cond_vol_w10,10,2,35,123,3.4149460792541504,3.503739595413208,3.5269980430603027,-0.0283500184291107
MTB,state_cond_vol_w10,10,3,35,42,3.413615465164185,3.5052411556243896,3.552018880844116,-0.0033291806452973
MTB,state_cond_vol_w10,10,3,35,7,3.423503398895264,3.5060007572174072,3.5548253059387207,-0.0005227555506928
MTB,state_cond_vol_w10,10,3,35,123,3.3744606971740723,3.500561237335205,3.550414085388184,-0.0049339761012299
MTB,state_cond_vol_w10,10,5,35,42,3.419980525970459,3.528815031051636,3.5556130409240723,0.0002649794346587
MTB,state_cond_vol_w10,10,5,35,7,3.4254701137542725,3.5275251865386963,3.563201427459717,0.0078533659703032
MTB,state_cond_vol_w10,10,5,35,123,3.424113273620605,3.5163445472717285,3.552311897277832,-0.0030361642115814
MTB,state_cond_vol_w10,10,1,45,42,3.617727279663086,3.716083526611328,3.731196880340576,-0.0754656094297434
MTB,state_cond_vol_w10,10,1,45,7,3.6243062019348153,3.7167367935180655,3.738032102584839,-0.0686303871854807
MTB,state_cond_vol_w10,10,1,45,123,3.599564552307129,3.7238962650299072,3.7421491146087646,-0.0645133751615549
MTB,state_cond_vol_w10,10,2,45,42,3.6454710960388175,3.763775825500488,3.779252052307129,-0.0274104374631907
MTB,state_cond_vol_w10,10,2,45,7,3.6327056884765625,3.763587951660156,3.78244948387146,-0.0242130058988596
MTB,state_cond_vol_w10,10,2,45,123,3.66265869140625,3.7611043453216553,3.776454448699951,-0.0302080410703684
MTB,state_cond_vol_w10,10,3,45,42,3.641505479812622,3.75981879234314,3.8135554790496826,0.0068929892793629
MTB,state_cond_vol_w10,10,3,45,7,3.6262590885162354,3.758132219314575,3.823025941848755,0.0163634520784352
MTB,state_cond_vol_w10,10,3,45,123,3.6488776206970215,3.749311685562134,3.80509614944458,-0.0015663403257395
MTB,state_cond_vol_w10,10,5,45,42,3.66936993598938,3.789753437042236,3.814865112304688,0.0082026225343678
MTB,state_cond_vol_w10,10,5,45,7,3.670409440994263,3.788784980773926,3.8336374759674072,0.0269749861970876
MTB,state_cond_vol_w10,10,5,45,123,3.672283887863159,3.776147365570069,3.8119521141052246,0.0052896243349049
MTB,state_cond_vol_w10,10,1,55,42,3.846256971359253,3.9236690998077393,3.944679021835327,-0.06265416339714402
MTB,state_cond_vol_w10,10,1,55,7,3.8159797191619873,3.9210031032562256,3.9351820945739746,-0.07215109065849656
MTB,state_cond_vol_w10,10,1,55,123,3.8140780925750732,3.918596029281616,3.9296064376831055,-0.0777267475493657
MTB,state_cond_vol_w10,10,2,55,42,3.855593204498291,3.9665403366088867,3.9910812377929688,-0.016251947439502423
MTB,state_cond_vol_w10,10,2,55,7,3.86328387260437,3.9662253856658936,3.9864602088928223,-0.020872976339648908
MTB,state_cond_vol_w10,10,2,55,123,3.85302996635437,3.958813428878784,3.980682611465454,-0.02665057376701707
MTB,state_cond_vol_w10,10,3,55,42,3.8490793704986572,3.959634304046631,4.008334636688232,0.0010014514557612486
MTB,state_cond_vol_w10,10,3,55,7,3.8625781536102295,3.958012580871582,4.015030384063721,0.00769719883124953
MTB,state_cond_vol_w10,10,3,55,123,3.8476128578186035,3.9530282020568848,4.006175518035889,-0.0011576671965825014
MTB,state_cond_vol_w10,10,5,55,42,3.852571725845337,3.9911882877349854,4.012908935546875,0.005575750314403827
MTB,state_cond_vol_w10,10,5,55,7,3.871198892593384,3.9866080284118652,4.027288913726807,0.019955728494335467
MTB,state_cond_vol_w10,10,5,55,123,3.855302095413208,3.977647304534912,4.002882957458496,-0.0044502277739750795
