timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.010309003293514252,3.281323,0.039831184,2020-03-24
1,0.0057952674105763435,3.4217694,0.02317715,2020-03-25
2,0.013915442861616611,3.570455,0.058651425,2020-03-26
3,0.009576048702001572,3.4899752,0.03849705,2020-03-27
4,0.023572688922286034,3.6399586,0.08235434,2020-03-30
5,0.027054116129875183,3.6790202,0.102610156,2020-03-31
6,0.028451422229409218,3.6538038,0.10169405,2020-04-01
7,0.015009034425020218,3.4711714,0.06261812,2020-04-02
8,0.013399644754827023,3.5144312,0.052544087,2020-04-03
9,0.02894231677055359,3.6839335,0.10792205,2020-04-06
10,0.008768015541136265,3.478889,0.03681106,2020-04-07
11,0.025662770494818687,3.6799703,0.09386137,2020-04-08
12,0.027595041319727898,3.7217064,0.09891173,2020-04-09
13,0.031236659735441208,3.7274253,0.11439612,2020-04-13
14,0.02096463367342949,3.4949276,0.08554832,2020-04-14
15,0.015350760892033577,3.3523319,0.060515814,2020-04-15
16,0.01825058087706566,3.5806904,0.074061655,2020-04-16
17,0.029303133487701416,3.7163937,0.11300517,2020-04-17
18,0.010544518940150738,3.556089,0.038149957,2020-04-20
19,0.02064656652510166,3.5961623,0.07083814,2020-04-21
20,0.01696041412651539,3.5004041,0.06571059,2020-04-22
21,0.027523469179868698,3.7529664,0.1162203,2020-04-23
22,0.03673894330859184,3.7542236,0.13304342,2020-04-24
23,0.016510359942913055,3.6747956,0.0678645,2020-04-27
24,0.015423043631017208,3.589539,0.05930171,2020-04-28
25,0.025944871827960014,3.6907218,0.09623884,2020-04-29
26,0.03017604537308216,3.6463594,0.111506164,2020-04-30
27,0.030025571584701538,3.721865,0.11566132,2020-05-01
28,0.018496083095669746,3.739005,0.07588269,2020-05-04
29,0.023539474233984947,3.7499096,0.09159137,2020-05-05
30,0.026540879160165787,3.7249274,0.09601554,2020-05-06
31,0.02609388343989849,3.7211993,0.09338238,2020-05-07
32,0.03172525390982628,3.7654307,0.12224561,2020-05-08
33,0.03408532589673996,3.7935252,0.12285056,2020-05-11
34,0.02255149930715561,3.6517787,0.08972764,2020-05-12
35,0.01051637064665556,3.3144796,0.043328106,2020-05-13
36,0.012910113669931889,3.512186,0.05622508,2020-05-14
37,0.01590261235833168,3.5629222,0.06663268,2020-05-15
38,0.028458543121814728,3.7038233,0.1022676,2020-05-18
39,0.016455989331007004,3.572332,0.060375016,2020-05-19
40,0.012134854681789875,3.3741088,0.046105042,2020-05-20
41,0.017121296375989914,3.5730238,0.0710604,2020-05-21
42,0.035525716841220856,3.7853856,0.13172641,2020-05-22
43,0.031949982047080994,3.8023252,0.12808912,2020-05-26
44,0.020697981119155884,3.6020505,0.07877313,2020-05-27
45,0.021606650203466415,3.6528432,0.083807506,2020-05-28
46,0.022288037464022636,3.5351217,0.08429249,2020-05-29
47,0.02405976876616478,3.6090896,0.09508954,2020-06-01
48,0.031330280005931854,3.7476878,0.12460804,2020-06-02
49,0.03498696908354759,3.7546372,0.12181132,2020-06-03
50,0.024080630391836166,3.7025807,0.09694886,2020-06-04
51,0.031489379703998566,3.7697937,0.11174279,2020-06-05
52,0.0312560573220253,3.764053,0.12451989,2020-06-08
53,0.03194797784090042,3.7575667,0.12046424,2020-06-09
54,0.031983159482479095,3.7047713,0.12029754,2020-06-10
55,0.024683505296707153,3.7138927,0.09275411,2020-06-11
56,0.019331376999616623,3.685886,0.07287252,2020-06-12
57,0.035032082349061966,3.7544303,0.1256011,2020-06-15
58,0.03256462141871452,3.7922807,0.12452917,2020-06-16
59,0.03358861058950424,3.7836287,0.11819221,2020-06-17
60,0.028200672939419746,3.771579,0.11020906,2020-06-18
61,0.03808239847421646,3.7996492,0.13798928,2020-06-19
62,0.03092046082019806,3.770599,0.117414005,2020-06-22
