timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.2112389,0.0,2020-03-26
1,0.0,3.231906,0.0,2020-03-27
2,0.0,3.3324142,0.0,2020-03-30
3,0.0,3.3784235,0.0,2020-03-31
4,0.0,3.430957,0.0,2020-04-01
5,0.0,3.2937312,0.0,2020-04-02
6,0.0,3.2867079,0.0,2020-04-03
7,0.0,3.4489784,0.0,2020-04-06
8,0.0,3.2917323,0.0,2020-04-07
9,0.0,3.4270236,0.0,2020-04-08
10,0.0,3.3870947,0.0,2020-04-09
11,0.0,3.4311807,0.0,2020-04-13
12,0.0,3.3118255,0.0,2020-04-14
13,0.0,3.2858129,0.0,2020-04-15
14,0.0,3.2773914,0.0,2020-04-16
15,0.0,3.5127618,0.0,2020-04-17
16,0.0,3.363471,0.0,2020-04-20
17,0.0,3.3096604,0.0,2020-04-21
18,0.0,3.287962,0.0,2020-04-22
19,0.0,3.4867754,0.0,2020-04-23
20,0.0,3.5185206,0.0,2020-04-24
21,0.0,3.2795448,0.0,2020-04-27
22,0.0,3.188048,0.0,2020-04-28
23,0.0,3.1134155,0.0,2020-04-29
24,0.0,3.345059,0.0,2020-04-30
25,0.0,3.4903069,0.0,2020-05-01
26,0.0,3.4750774,0.0,2020-05-04
27,0.0,3.4080489,0.0,2020-05-05
28,0.0,3.434475,0.0,2020-05-06
29,0.0,3.382791,0.0,2020-05-07
30,0.0,3.3363018,0.0,2020-05-08
31,0.0,3.5297213,0.0,2020-05-11
32,0.0,3.2936924,0.0,2020-05-12
33,0.0,2.8989499,0.0,2020-05-13
34,0.0,3.106128,0.0,2020-05-14
35,0.0,3.2730472,0.0,2020-05-15
36,0.0,3.433105,0.0,2020-05-18
37,0.0,3.1863067,0.0,2020-05-19
38,0.0,3.0920677,0.0,2020-05-20
39,0.0,3.3799233,0.0,2020-05-21
40,0.0,3.5472748,0.0,2020-05-22
41,0.0,3.5448976,0.0,2020-05-26
42,0.0,3.4164948,0.0,2020-05-27
43,0.0,3.4275966,0.0,2020-05-28
44,0.0,3.3730166,0.0,2020-05-29
45,0.0,3.2969515,0.0,2020-06-01
46,0.0,3.4182162,0.0,2020-06-02
47,0.0,3.4304788,0.0,2020-06-03
48,0.0,3.4623537,0.0,2020-06-04
49,0.0,3.395362,0.0,2020-06-05
50,0.0,3.4746003,0.0,2020-06-08
51,0.0,3.469925,0.0,2020-06-09
52,0.0,3.5003066,0.0,2020-06-10
53,0.0,3.4808517,0.0,2020-06-11
54,0.0,3.5314624,0.0,2020-06-12
55,0.0,3.3342729,0.0,2020-06-15
56,0.0,3.4939458,0.0,2020-06-16
57,0.0,3.5336654,0.0,2020-06-17
58,0.0,3.4655561,0.0,2020-06-18
59,0.0,3.5296376,0.0,2020-06-19
60,0.0,3.5406847,0.0,2020-06-22
61,0.0,3.5193903,0.0,2020-06-23
62,0.0,3.5012326,0.0,2020-06-24
63,0.0,3.54238,0.0,2020-06-25
64,0.0,3.5513053,0.0,2020-06-26
65,0.0,3.5304458,0.0,2020-06-29
66,0.0,3.533951,0.0,2020-06-30
67,0.0,3.535244,0.0,2020-07-01
68,0.0,3.515174,0.0,2020-07-02
69,0.0,3.549918,0.0,2020-07-06
70,0.0,3.516296,0.0,2020-07-07
71,0.0,3.5465636,0.0,2020-07-08
72,0.0,3.5440154,0.0,2020-07-09
73,0.0,3.535612,0.0,2020-07-10
74,0.0,3.5460327,0.0,2020-07-13
75,0.0,3.551059,0.0,2020-07-14
76,0.0,3.543576,0.0,2020-07-15
77,0.0,3.5436506,0.0,2020-07-16
78,0.0,3.5498135,0.0,2020-07-17
79,0.0,3.5476162,0.0,2020-07-20
80,0.0,3.5492268,0.0,2020-07-21
81,0.0,3.5498452,0.0,2020-07-22
82,0.0,3.5509546,0.0,2020-07-23
83,0.0,3.5457513,0.0,2020-07-24
84,0.0,3.534409,0.0,2020-07-27
85,0.0,3.5506952,0.0,2020-07-28
86,0.0,3.5505877,0.0,2020-07-29
87,0.0,3.5497696,0.0,2020-07-30
88,0.0,3.5183976,0.0,2020-07-31
89,0.0,3.5044136,0.0,2020-08-03
90,0.0,3.5485334,0.0,2020-08-04
91,0.0,3.5471754,0.0,2020-08-05
92,0.0,3.5282724,0.0,2020-08-06
93,0.0,3.5277696,0.0,2020-08-07
94,0.0,3.3929617,0.0,2020-08-10
95,0.0,3.492481,0.0,2020-08-11
96,0.0,3.502835,0.0,2020-08-12
97,0.0,3.5463836,0.0,2020-08-13
98,0.0,3.5350003,0.0,2020-08-14
99,0.0,3.43712,0.0,2020-08-17
100,0.0,3.5370634,0.0,2020-08-18
101,0.0,3.5454981,0.0,2020-08-19
102,0.0,3.5162354,0.0,2020-08-20
103,0.0,3.519925,0.0,2020-08-21
104,0.0,3.425334,0.0,2020-08-24
105,0.0,3.4524508,0.0,2020-08-25
106,0.0,3.5014346,0.0,2020-08-26
107,0.0,3.5407696,0.0,2020-08-27
108,0.0,3.4830716,0.0,2020-08-28
109,0.0,3.535712,0.0,2020-08-31
110,0.0,3.498694,0.0,2020-09-01
111,0.0,3.551671,0.0,2020-09-02
112,0.0,3.5015197,0.0,2020-09-03
113,0.0,3.544252,0.0,2020-09-04
114,0.0,3.469766,0.0,2020-09-08
115,0.0,3.5287206,0.0,2020-09-09
116,0.0,3.5347803,0.0,2020-09-10
117,0.0,3.5508306,0.0,2020-09-11
118,0.0,3.542211,0.0,2020-09-14
119,0.0,3.551051,0.0,2020-09-15
120,0.0,3.4370112,0.0,2020-09-16
121,0.0,3.515911,0.0,2020-09-17
122,0.0,3.5506926,0.0,2020-09-18
123,0.0,3.5504153,0.0,2020-09-21
124,0.0,3.447606,0.0,2020-09-22
125,0.0,3.4662573,0.0,2020-09-23
126,0.0,3.5034957,0.0,2020-09-24
127,0.0,3.4874203,0.0,2020-09-25
128,0.0,3.4708238,0.0,2020-09-28
129,0.0,3.4882674,0.0,2020-09-29
130,0.0,3.2898085,0.0,2020-09-30
131,0.0,3.403112,0.0,2020-10-01
132,0.0,3.3975477,0.0,2020-10-02
133,0.0,3.3966928,0.0,2020-10-05
134,0.0,3.3304558,0.0,2020-10-06
135,0.0,3.451604,0.0,2020-10-07
136,0.0,3.398641,0.0,2020-10-08
137,0.0,3.5280492,0.0,2020-10-09
138,0.0,3.270102,0.0,2020-10-12
139,0.0,3.1542518,0.0,2020-10-13
140,0.0,3.0045185,0.0,2020-10-14
141,0.0,3.5284486,0.0,2020-10-15
142,0.0,3.5447848,0.0,2020-10-16
143,0.0,3.1993914,0.0,2020-10-19
144,0.0,3.5502925,0.0,2020-10-20
145,0.0,3.5508375,0.0,2020-10-21
146,0.0,3.5423598,0.0,2020-10-22
147,0.0,3.5427825,0.0,2020-10-23
148,0.0,3.5040603,0.0,2020-10-26
149,0.0,3.5440052,0.0,2020-10-27
150,0.0,3.5464787,0.0,2020-10-28
151,0.0,3.5396428,0.0,2020-10-29
152,0.0,3.5421903,0.0,2020-10-30
153,0.0,3.5519829,0.0,2020-11-02
154,0.0,3.4985094,0.0,2020-11-03
155,0.0,3.5376632,0.0,2020-11-04
156,0.0,3.5453887,0.0,2020-11-05
157,0.0,3.5446062,0.0,2020-11-06
158,0.0,3.5507321,0.0,2020-11-09
159,0.0,3.435231,0.0,2020-11-10
160,0.0,3.5338187,0.0,2020-11-11
161,0.0,3.546617,0.0,2020-11-12
162,0.0,3.5489178,0.0,2020-11-13
163,0.0,3.5499454,0.0,2020-11-16
164,0.0,3.5515811,0.0,2020-11-17
165,0.0,3.546022,0.0,2020-11-18
166,0.0,3.5509555,0.0,2020-11-19
167,0.0,3.547375,0.0,2020-11-20
168,0.0,3.550513,0.0,2020-11-23
169,0.0,3.550929,0.0,2020-11-24
170,0.0,3.5160568,0.0,2020-11-25
171,0.0,3.537744,0.0,2020-11-27
172,0.0,3.51564,0.0,2020-11-30
173,0.0,3.5398054,0.0,2020-12-01
174,0.0,3.549722,0.0,2020-12-02
175,0.0,3.5510113,0.0,2020-12-03
176,0.0,3.5508614,0.0,2020-12-04
177,0.0,3.4617906,0.0,2020-12-07
178,0.0,3.4548886,0.0,2020-12-08
179,0.0,3.3963504,0.0,2020-12-09
180,0.0,3.546655,0.0,2020-12-10
181,0.0,3.5504422,0.0,2020-12-11
182,0.0,3.4292054,0.0,2020-12-14
183,0.0,3.5484133,0.0,2020-12-15
184,0.0,3.541275,0.0,2020-12-16
185,0.0,3.5164707,0.0,2020-12-17
186,0.0,3.5410917,0.0,2020-12-18
187,0.0,3.5469322,0.0,2020-12-21
188,0.0,3.5514169,0.0,2020-12-22
189,0.0,3.511058,0.0,2020-12-23
190,0.0,3.5516868,0.0,2020-12-24
