timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.026524323970079422,3.5333655,0.11487755,2020-03-24
1,0.026580534875392914,3.5454588,0.115550354,2020-03-25
2,0.027216074988245964,3.6395078,0.12185343,2020-03-26
3,0.027923189103603363,3.6869335,0.12648967,2020-03-27
4,0.02782096527516842,3.6816444,0.12592083,2020-03-30
5,0.028931118547916412,3.7137413,0.1318062,2020-03-31
6,0.02771521732211113,3.6672034,0.12496814,2020-04-01
7,0.027700074017047882,3.6314619,0.12697329,2020-04-02
8,0.028038356453180313,3.6496656,0.1294865,2020-04-03
9,0.028942499309778214,3.6837502,0.13489102,2020-04-06
10,0.028668763116002083,3.67626,0.13324043,2020-04-07
11,0.030077945441007614,3.7151065,0.14127663,2020-04-08
12,0.032697223126888275,3.758875,0.15495221,2020-04-09
13,0.033041052520275116,3.762887,0.15647984,2020-04-13
14,0.029175112023949623,3.6856675,0.13630615,2020-04-14
15,0.02837064117193222,3.6464248,0.13136286,2020-04-15
16,0.029424825683236122,3.689133,0.13777423,2020-04-16
17,0.029811885207891464,3.6983497,0.1398464,2020-04-17
18,0.03149918466806412,3.7363803,0.14901614,2020-04-20
19,0.03069433569908142,3.7222865,0.14441347,2020-04-21
20,0.032806646078825,3.7573147,0.15520209,2020-04-22
21,0.0315353199839592,3.739778,0.14885478,2020-04-23
22,0.03275215998291969,3.7574139,0.15484422,2020-04-24
23,0.03294768184423447,3.7601,0.15552579,2020-04-27
24,0.033440034836530685,3.7666378,0.15774567,2020-04-28
25,0.03243811056017876,3.7558131,0.15306063,2020-04-29
26,0.033590737730264664,3.7671676,0.15835258,2020-04-30
27,0.03278256952762604,3.7586646,0.1546465,2020-05-01
28,0.03430958837270737,3.773395,0.16200125,2020-05-04
29,0.03576947748661041,3.7858195,0.16941439,2020-05-05
30,0.035619255155324936,3.7856796,0.16846745,2020-05-06
31,0.03725815936923027,3.7955987,0.17694065,2020-05-07
32,0.03595300763845444,3.7897332,0.16987479,2020-05-08
33,0.0339699350297451,3.775238,0.15927939,2020-05-11
34,0.03386220708489418,3.7723706,0.15896581,2020-05-12
35,0.027317745611071587,3.5650823,0.12192108,2020-05-13
36,0.028123745694756508,3.6515977,0.12877524,2020-05-14
37,0.028743386268615723,3.6772704,0.1325945,2020-05-15
38,0.02908722124993801,3.6903055,0.13448812,2020-05-18
39,0.029186241328716278,3.6951125,0.13500294,2020-05-19
40,0.029504820704460144,3.7024524,0.13672659,2020-05-20
41,0.028512349352240562,3.6658356,0.13103232,2020-05-21
42,0.030236469581723213,3.7182937,0.14073382,2020-05-22
43,0.030480114743113518,3.7239888,0.1421358,2020-05-26
44,0.02903115563094616,3.687514,0.13422772,2020-05-27
45,0.029899710789322853,3.710187,0.13896705,2020-05-28
46,0.028671035543084145,3.6700768,0.13216358,2020-05-29
47,0.030185021460056305,3.7142525,0.14066137,2020-06-01
48,0.03110646642744541,3.7346122,0.14588574,2020-06-02
49,0.0327095203101635,3.7591074,0.15362164,2020-06-03
50,0.033736079931259155,3.7697155,0.15839982,2020-06-04
51,0.0335276834666729,3.7685435,0.1571892,2020-06-05
52,0.03207916393876076,3.7518036,0.15056399,2020-06-08
53,0.033511724323034286,3.7688427,0.15699422,2020-06-09
54,0.03239646553993225,3.7575712,0.15182263,2020-06-10
55,0.03449004516005516,3.7777042,0.16207348,2020-06-11
56,0.030081098899245262,3.718287,0.1397207,2020-06-12
57,0.03216317668557167,3.7551746,0.15061338,2020-06-15
58,0.034010425209999084,3.773704,0.15953177,2020-06-16
59,0.03379852697253227,3.7720923,0.15843868,2020-06-17
60,0.036484211683273315,3.7916615,0.17259145,2020-06-18
61,0.037869688123464584,3.7973974,0.18018775,2020-06-19
62,0.03752988576889038,3.796244,0.17816967,2020-06-22
63,0.038110166788101196,3.7981787,0.18134378,2020-06-23
64,0.036303259432315826,3.7908473,0.17148648,2020-06-24
65,0.03655903786420822,3.7922993,0.17280327,2020-06-25
66,0.03774617612361908,3.7975106,0.1792636,2020-06-26
67,0.037009939551353455,3.7946267,0.17525038,2020-06-29
68,0.03829740360379219,3.7987542,0.18246055,2020-06-30
69,0.03767022117972374,3.7971907,0.17905782,2020-07-01
70,0.037972331047058105,3.7980726,0.18071344,2020-07-02
71,0.038104649633169174,3.7982013,0.18144064,2020-07-06
72,0.038667455315589905,3.7991557,0.18460101,2020-07-07
73,0.03929723799228668,3.7993555,0.18817978,2020-07-08
74,0.03951700031757355,3.7987268,0.18986382,2020-07-09
75,0.03971121087670326,3.797422,0.19163859,2020-07-10
76,0.039761461317539215,3.7971008,0.19195968,2020-07-13
77,0.03837203606963158,3.7989974,0.18283814,2020-07-14
78,0.03959916904568672,3.7974741,0.19081512,2020-07-15
79,0.03963165357708931,3.7973151,0.19115742,2020-07-16
80,0.039632398635149,3.7971923,0.19125971,2020-07-17
81,0.03994424641132355,3.794649,0.1939,2020-07-20
82,0.03994210809469223,3.7954617,0.19361018,2020-07-21
83,0.039462246000766754,3.7989523,0.18942104,2020-07-22
84,0.03936125710606575,3.7992241,0.18867563,2020-07-23
