timestep,ck_kl,ck_tv,date
0,0.8065322551375529,0.5401446267643952,2020-03-24
1,0.31401112594354336,0.32953439370705984,2020-03-25
2,0.012490185036116331,0.06199962631126297,2020-03-26
3,0.15352799659981542,0.22787384572337177,2020-03-27
4,0.1557975298826743,0.23489661369238088,2020-03-30
5,0.06817495918174422,0.14095323311200023,2020-03-31
6,0.08169391981261323,0.16593591937104396,2020-04-01
7,0.19792827751249376,0.25605111038627737,2020-04-02
8,0.15430137399580413,0.22338070745768906,2020-04-03
9,0.44449352954707017,0.36631206775659647,2020-04-06
10,0.0799788261142689,0.16404750130280582,2020-04-07
11,0.10856525693593555,0.193731864593909,2020-04-08
12,0.08155702759650303,0.15718147449798403,2020-04-09
13,0.0501990931093712,0.13011061072442437,2020-04-13
14,0.039867759760568826,0.1179339338202123,2020-04-14
15,0.10271365376077361,0.17840336435105983,2020-04-15
16,0.33080890742934627,0.3649363017405386,2020-04-16
17,0.031130497285185115,0.09993796701189624,2020-04-17
18,0.18150198668881842,0.2443258053975421,2020-04-20
19,0.12431077436179917,0.20075318382538299,2020-04-21
20,0.09554447499911878,0.17213533055157618,2020-04-22
21,0.022805408733140527,0.08493237905119418,2020-04-23
22,0.03684531380821184,0.10807911470465206,2020-04-24
23,0.040338489987810366,0.1128308109575687,2020-04-27
24,0.10144584397502093,0.17546681240103504,2020-04-28
25,0.037500759214233514,0.11048975962402792,2020-04-29
26,0.05300232174997317,0.13696898982072833,2020-04-30
27,0.031699335534483224,0.09275663994993132,2020-05-01
28,0.0189975502392148,0.08208626626974674,2020-05-04
29,0.1776285439744346,0.24874306537424104,2020-05-05
30,0.2099226542357351,0.27336248717775263,2020-05-06
31,0.8301756836794567,0.5526604893465042,2020-05-07
32,0.2017228597281364,0.27025962975421686,2020-05-08
33,0.26263601217905497,0.3093500804091759,2020-05-11
34,0.16492225110973135,0.2342911794009295,2020-05-12
35,0.33658376418816316,0.3272082901692102,2020-05-13
36,0.1126210460294126,0.20537877539622237,2020-05-14
37,0.0400405165382605,0.11550891637754282,2020-05-15
38,0.027457502785361555,0.09700579611172419,2020-05-18
39,0.18617961989622778,0.24242358556645555,2020-05-19
40,0.02228029897288361,0.08455082943791051,2020-05-20
41,0.02929465823287387,0.0989104005230611,2020-05-21
42,0.03733680119547789,0.11169017503480522,2020-05-22
43,0.03200831066510518,0.1002973987824127,2020-05-26
44,0.017968849561009602,0.07370347716457752,2020-05-27
45,0.12800595768401352,0.21073295600009634,2020-05-28
46,0.07924677562111512,0.1447155196955871,2020-05-29
47,0.009326059649699127,0.050101172285966764,2020-06-01
48,0.05891764221631701,0.13154711152345827,2020-06-02
49,0.01859593932412494,0.07571681149224423,2020-06-03
50,0.012308658624685135,0.060512031861791646,2020-06-04
