timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.022296050563454628,3.1692312,0.10504845,2020-03-24
1,0.01581677980720997,3.5145288,0.08465274,2020-03-25
2,0.01592198573052883,3.8220825,0.07609399,2020-03-26
3,0.010455233976244926,3.818775,0.05473442,2020-03-27
4,0.01787434332072735,3.898334,0.081384555,2020-03-30
5,0.02079831436276436,3.9299057,0.09401449,2020-03-31
6,0.019331125542521477,3.8569682,0.08677193,2020-04-01
7,0.01953796297311783,3.6357744,0.08988382,2020-04-02
8,0.022555554285645485,3.554477,0.107348666,2020-04-03
9,0.03242020681500435,3.7124972,0.14803764,2020-04-06
10,0.01284622959792614,3.7782693,0.064085126,2020-04-07
11,0.025503020733594894,3.8849678,0.12350732,2020-04-08
12,0.02002684772014618,3.8219974,0.0987648,2020-04-09
13,0.01795593649148941,3.9182212,0.08753812,2020-04-13
14,0.021600186824798584,3.7779055,0.10827525,2020-04-14
15,0.03223809972405434,3.6383119,0.15318388,2020-04-15
16,0.027411796152591705,3.4712272,0.12194776,2020-04-16
17,0.02939576469361782,3.814604,0.12993516,2020-04-17
18,0.006270375102758408,3.9117866,0.03199082,2020-04-20
19,0.01625603251159191,3.875912,0.07202124,2020-04-21
20,0.013595419004559517,3.9133608,0.06299293,2020-04-22
21,0.03024137020111084,3.8633072,0.13333626,2020-04-23
22,0.03358403593301773,3.994059,0.15283774,2020-04-24
23,0.021534021943807602,3.8110063,0.09351879,2020-04-27
24,0.01706407032907009,3.8033147,0.077909075,2020-04-28
25,0.015856074169278145,3.8517163,0.07299478,2020-04-29
26,0.013914240524172783,3.948487,0.07279314,2020-04-30
27,0.03893624246120453,3.9594376,0.1673107,2020-05-01
28,0.02599962241947651,3.807715,0.11218715,2020-05-04
29,0.02061314694583416,3.8466122,0.089104354,2020-05-05
30,0.031217072159051895,3.9797862,0.13463953,2020-05-06
31,0.027986209839582443,3.976757,0.12497445,2020-05-07
32,0.026702381670475006,3.9387043,0.1194043,2020-05-08
33,0.025461943820118904,3.9625773,0.11054805,2020-05-11
34,0.018172521144151688,3.7916157,0.08429695,2020-05-12
35,0.023371689021587372,3.2704914,0.11264868,2020-05-13
36,0.023580892011523247,3.18123,0.11406153,2020-05-14
37,0.027778638526797295,3.576449,0.12975834,2020-05-15
38,0.026198161765933037,3.9455884,0.12181093,2020-05-18
39,0.013627083972096443,3.862146,0.073753014,2020-05-19
40,0.016093803569674492,3.790508,0.08352095,2020-05-20
41,0.025078553706407547,3.8317003,0.11402818,2020-05-21
42,0.030398257076740265,3.9300177,0.13535877,2020-05-22
43,0.034968066960573196,3.9715662,0.14867102,2020-05-26
44,0.018202757462859154,3.7599711,0.094284475,2020-05-27
45,0.01205981895327568,3.7981348,0.06664074,2020-05-28
46,0.023942558094859123,3.754984,0.110616446,2020-05-29
47,0.018201490864157677,3.8616672,0.09038843,2020-06-01
