timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.0699272,0.0,2020-03-26
1,0.0,3.2330594,0.0,2020-03-27
2,0.0,3.3288264,0.0,2020-03-30
3,0.0,3.4170077,0.0,2020-03-31
4,0.0,3.4071286,0.0,2020-04-01
5,0.0,3.3903844,0.0,2020-04-02
6,0.0,3.140997,0.0,2020-04-03
7,0.0,3.3106031,0.0,2020-04-06
8,0.0,3.2929282,0.0,2020-04-07
9,0.0,3.3292558,0.0,2020-04-08
10,0.0,3.2745297,0.0,2020-04-09
11,0.0,3.4602385,0.0,2020-04-13
12,0.0,3.3831315,0.0,2020-04-14
13,0.0,3.243488,0.0,2020-04-15
14,0.0,3.2253025,0.0,2020-04-16
15,0.0,3.3679228,0.0,2020-04-17
16,0.0,3.1554694,0.0,2020-04-20
17,0.0,3.289157,0.0,2020-04-21
18,0.0,3.3876736,0.0,2020-04-22
19,0.0,3.3470783,0.0,2020-04-23
20,0.0,3.4888422,0.0,2020-04-24
21,0.0,3.224173,0.0,2020-04-27
22,0.0,3.1340504,0.0,2020-04-28
23,0.0,3.3037581,0.0,2020-04-29
24,0.0,3.436895,0.0,2020-04-30
25,0.0,3.4441936,0.0,2020-05-01
26,0.0,3.2696836,0.0,2020-05-04
27,0.0,3.331614,0.0,2020-05-05
28,0.0,3.5027719,0.0,2020-05-06
29,0.0,3.432949,0.0,2020-05-07
30,0.0,3.4679325,0.0,2020-05-08
31,0.0,3.4633908,0.0,2020-05-11
32,0.0,3.4034853,0.0,2020-05-12
33,0.0,3.133777,0.0,2020-05-13
34,0.0,3.233487,0.0,2020-05-14
35,0.0,3.2196414,0.0,2020-05-15
36,0.0,3.4206495,0.0,2020-05-18
37,0.0,2.9108477,0.0,2020-05-19
38,0.0,3.2926147,0.0,2020-05-20
39,0.0,3.2547302,0.0,2020-05-21
40,0.0,3.4738805,0.0,2020-05-22
41,0.0,3.4885726,0.0,2020-05-26
42,0.0,3.2658424,0.0,2020-05-27
43,0.0,3.3435922,0.0,2020-05-28
44,0.0,3.3212564,0.0,2020-05-29
45,0.0,3.467865,0.0,2020-06-01
46,0.0,3.3635683,0.0,2020-06-02
47,0.0,3.4325206,0.0,2020-06-03
48,0.0,3.5385008,0.0,2020-06-04
49,0.0,3.2009826,0.0,2020-06-05
50,0.0,3.535516,0.0,2020-06-08
51,0.0,3.5300245,0.0,2020-06-09
52,0.0,3.4669847,0.0,2020-06-10
53,0.0,3.4671679,0.0,2020-06-11
54,0.0,3.4003453,0.0,2020-06-12
55,0.0,3.2726505,0.0,2020-06-15
56,0.0,3.4992979,0.0,2020-06-16
57,0.0,3.4925168,0.0,2020-06-17
58,0.0,3.4049377,0.0,2020-06-18
59,0.0,3.5162811,0.0,2020-06-19
60,0.0,3.5063667,0.0,2020-06-22
61,0.0,3.5300407,0.0,2020-06-23
62,0.0,3.5174508,0.0,2020-06-24
63,0.0,3.5175898,0.0,2020-06-25
64,0.0,3.5316877,0.0,2020-06-26
65,0.0,3.4711037,0.0,2020-06-29
66,0.0,3.5395918,0.0,2020-06-30
67,0.0,3.5398393,0.0,2020-07-01
68,0.0,3.5308974,0.0,2020-07-02
69,0.0,3.5402052,0.0,2020-07-06
70,0.0,3.5337768,0.0,2020-07-07
71,0.0,3.5378318,0.0,2020-07-08
72,0.0,3.5389862,0.0,2020-07-09
73,0.0,3.532983,0.0,2020-07-10
74,0.0,3.536647,0.0,2020-07-13
75,0.0,3.532618,0.0,2020-07-14
76,0.0,3.5171351,0.0,2020-07-15
77,0.0,3.5287664,0.0,2020-07-16
78,0.0,3.5356731,0.0,2020-07-17
79,0.0,3.5393865,0.0,2020-07-20
80,0.0,3.540198,0.0,2020-07-21
81,0.0,3.5041692,0.0,2020-07-22
82,0.0,3.5273728,0.0,2020-07-23
83,0.0,3.5199997,0.0,2020-07-24
84,0.0,3.5368056,0.0,2020-07-27
85,0.0,3.537955,0.0,2020-07-28
86,0.0,3.5325837,0.0,2020-07-29
87,0.0,3.5352666,0.0,2020-07-30
88,0.0,3.5029333,0.0,2020-07-31
89,0.0,3.5219765,0.0,2020-08-03
90,0.0,3.5353446,0.0,2020-08-04
91,0.0,3.5392103,0.0,2020-08-05
92,0.0,3.4640312,0.0,2020-08-06
93,0.0,3.5015397,0.0,2020-08-07
94,0.0,3.4600863,0.0,2020-08-10
95,0.0,3.5223286,0.0,2020-08-11
96,0.0,3.4959257,0.0,2020-08-12
97,0.0,3.4683394,0.0,2020-08-13
98,0.0,3.5342445,0.0,2020-08-14
99,0.0,3.485016,0.0,2020-08-17
100,0.0,3.5240128,0.0,2020-08-18
101,0.0,3.5360975,0.0,2020-08-19
102,0.0,3.5146585,0.0,2020-08-20
103,0.0,3.449347,0.0,2020-08-21
104,0.0,3.5215087,0.0,2020-08-24
105,0.0,3.5104864,0.0,2020-08-25
106,0.0,3.4644043,0.0,2020-08-26
107,0.0,3.526578,0.0,2020-08-27
108,0.0,3.4752946,0.0,2020-08-28
109,0.0,3.4868455,0.0,2020-08-31
110,0.0,3.4814422,0.0,2020-09-01
111,0.0,3.5432465,0.0,2020-09-02
112,0.0,3.5380702,0.0,2020-09-03
113,0.0,3.5065217,0.0,2020-09-04
114,0.0,3.460568,0.0,2020-09-08
115,0.0,3.5156093,0.0,2020-09-09
116,0.0,3.5416534,0.0,2020-09-10
117,0.0,3.536096,0.0,2020-09-11
118,0.0,3.5288897,0.0,2020-09-14
119,0.0,3.5373793,0.0,2020-09-15
120,0.0,3.5029566,0.0,2020-09-16
121,0.0,3.511961,0.0,2020-09-17
122,0.0,3.5351958,0.0,2020-09-18
123,0.0,3.5086024,0.0,2020-09-21
124,0.0,3.4785364,0.0,2020-09-22
125,0.0,3.492889,0.0,2020-09-23
126,0.0,3.4814723,0.0,2020-09-24
127,0.0,3.541445,0.0,2020-09-25
