timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.029610609635710716,3.3487132,0.12629883,2020-03-24
1,0.03048604540526867,3.3627434,0.13018863,2020-03-25
2,0.03918033093214035,3.4762948,0.17034262,2020-03-26
3,0.043366335332393646,3.5454385,0.189645,2020-03-27
4,0.042982421815395355,3.5369773,0.18793285,2020-03-30
5,0.04638666287064552,3.5935647,0.20165361,2020-03-31
6,0.0415935255587101,3.5236278,0.18152903,2020-04-01
7,0.031098714098334312,3.543237,0.13617463,2020-04-02
8,0.03228406980633736,3.5612342,0.14234672,2020-04-03
9,0.03423351049423218,3.6002414,0.15232474,2020-04-06
10,0.03375645726919174,3.594957,0.15013513,2020-04-07
11,0.03689960390329361,3.634701,0.16558006,2020-04-08
12,0.042636413127183914,3.6915503,0.1926981,2020-04-09
13,0.04357453063130379,3.6981506,0.19660313,2020-04-13
14,0.035110943019390106,3.6058552,0.15620725,2020-04-14
15,0.0331118069589138,3.5646586,0.14624967,2020-04-15
16,0.035619236528873444,3.609501,0.15832444,2020-04-16
17,0.036346714943647385,3.6217668,0.16175841,2020-04-17
18,0.03984187915921211,3.6687436,0.17957418,2020-04-20
19,0.03757813200354576,3.6510158,0.16913572,2020-04-21
20,0.04190082848072052,3.693197,0.18903075,2020-04-22
21,0.038788966834545135,3.6705422,0.17485322,2020-04-23
22,0.041453152894973755,3.6915312,0.1871224,2020-04-24
23,0.04155221953988075,3.6955009,0.18741412,2020-04-27
24,0.04238441586494446,3.7021072,0.19087343,2020-04-28
25,0.04023393988609314,3.6886353,0.18179403,2020-04-29
26,0.04249555617570877,3.7042134,0.19104195,2020-04-30
27,0.04093509912490845,3.693529,0.18472493,2020-05-01
28,0.04397078976035118,3.7143552,0.19630937,2020-05-04
29,0.04654065892100334,3.7336648,0.20672987,2020-05-05
30,0.045868176966905594,3.733015,0.20387757,2020-05-06
31,0.049002256244421005,3.7512581,0.21473795,2020-05-07
32,0.04532604664564133,3.7366214,0.20121849,2020-05-08
33,0.04109266772866249,3.7133162,0.18402429,2020-05-11
34,0.04146955907344818,3.710448,0.18593082,2020-05-12
35,0.025913281366229057,3.5188663,0.109267294,2020-05-13
36,0.030214432626962662,3.5839982,0.13281515,2020-05-14
37,0.03168640285730362,3.6067393,0.14037085,2020-05-15
38,0.0321546345949173,3.6200614,0.14255422,2020-05-18
39,0.0322783887386322,3.6243172,0.14307712,2020-05-19
40,0.032844480127096176,3.631044,0.14575128,2020-05-20
41,0.030797818675637245,3.5989752,0.13591413,2020-05-21
42,0.034193988889455795,3.6480353,0.15329966,2020-05-22
43,0.03472014516592026,3.6541743,0.15604585,2020-05-26
44,0.03208514675498009,3.616101,0.14222822,2020-05-27
45,0.03388429805636406,3.638723,0.15131283,2020-05-28
46,0.031407397240400314,3.6002805,0.13878797,2020-05-29
47,0.034543391317129135,3.6430905,0.15463269,2020-06-01
48,0.036437973380088806,3.6644084,0.16409278,2020-06-02
49,0.03952277824282646,3.693087,0.17838024,2020-06-03
50,0.04146944358944893,3.707096,0.18618709,2020-06-04
51,0.04076215252280235,3.7046962,0.18333209,2020-06-05
52,0.03785894811153412,3.68275,0.1709226,2020-06-08
53,0.040388014167547226,3.7038941,0.1817357,2020-06-09
54,0.038080282509326935,3.687044,0.17204581,2020-06-10
55,0.04219089448451996,3.7154467,0.1884145,2020-06-11
56,0.033427100628614426,3.645252,0.14962673,2020-06-12
57,0.03744708374142647,3.6847181,0.16915739,2020-06-15
58,0.04108709841966629,3.7092664,0.18431944,2020-06-16
59,0.04057402163743973,3.7060323,0.18242064,2020-06-17
60,0.046214133501052856,3.7384691,0.20464598,2020-06-18
61,0.050080496817827225,3.7529974,0.21910666,2020-06-19
62,0.04885006695985794,3.7491913,0.2142301,2020-06-22
63,0.05053350329399109,3.7553182,0.22062385,2020-06-23
64,0.045274075120687485,3.7345188,0.20098044,2020-06-24
65,0.045863620936870575,3.7378166,0.20313707,2020-06-25
66,0.04906311631202698,3.7514377,0.21486485,2020-06-26
67,0.04700130224227905,3.742901,0.20722406,2020-06-29
68,0.05121047422289848,3.7575803,0.22326866,2020-06-30
69,0.04909650981426239,3.7503955,0.21534452,2020-07-01
70,0.05006328597664833,3.753772,0.21904205,2020-07-02
71,0.05067623034119606,3.7553558,0.22138931,2020-07-06
72,0.05266332998871803,3.760703,0.22861668,2020-07-07
73,0.055121049284935,3.767908,0.23773381,2020-07-08
74,0.05621178075671196,3.7705305,0.24198043,2020-07-09
75,0.05756823718547821,3.77319,0.24721672,2020-07-10
76,0.05784565210342407,3.7736256,0.24809927,2020-07-13
77,0.05134394019842148,3.7586315,0.22356395,2020-07-14
78,0.056940723210573196,3.772692,0.24445015,2020-07-15
79,0.057299528270959854,3.7732344,0.24583685,2020-07-16
80,0.057430338114500046,3.7734895,0.24630901,2020-07-17
81,0.059807758778333664,3.775962,0.25429064,2020-07-20
82,0.059441938996315,3.77561,0.2532569,2020-07-21
83,0.056136395782232285,3.7706242,0.2414475,2020-07-22
84,0.05562880262732506,3.7694335,0.23961604,2020-07-23
85,0.05642038583755493,3.7707639,0.24272615,2020-07-24
86,0.0568033903837204,3.7718444,0.24411711,2020-07-27
87,0.05779946595430374,3.773583,0.24764413,2020-07-28
88,0.053795378655195236,3.765065,0.2326475,2020-07-29
89,0.04960418492555618,3.752929,0.21681577,2020-07-30
90,0.05446956679224968,3.7671812,0.234983,2020-07-31
91,0.043919432908296585,3.7301612,0.19530292,2020-08-03
92,0.044832002371549606,3.7335277,0.19901544,2020-08-04
93,0.04371369257569313,3.727932,0.19445913,2020-08-05
94,0.03146355226635933,3.630593,0.13913202,2020-08-06
95,0.03502235189080238,3.6710432,0.15787219,2020-08-07
96,0.03408098220825195,3.6608348,0.15365048,2020-08-10
97,0.03848935291171074,3.6974633,0.17395177,2020-08-11
98,0.036928337067365646,3.684234,0.16703838,2020-08-12
99,0.04284774139523506,3.7234442,0.19118612,2020-08-13
100,0.04540832340717316,3.7373018,0.20167553,2020-08-14
101,0.04619995132088661,3.7401273,0.20457694,2020-08-17
102,0.04496282711625099,3.7346797,0.19974229,2020-08-18
103,0.04379204288125038,3.729764,0.1949199,2020-08-19
104,0.04550546407699585,3.737586,0.20167032,2020-08-20
105,0.040678154677152634,3.7117028,0.18246199,2020-08-21
106,0.042807187885046005,3.7242498,0.19083633,2020-08-24
107,0.03902092203497887,3.7001023,0.17606366,2020-08-25
108,0.03924631327390671,3.7002857,0.17702316,2020-08-26
109,0.04424110800027847,3.7287068,0.19697872,2020-08-27
110,0.0448320172727108,3.7306314,0.19942221,2020-08-28
111,0.04446122422814369,3.7303717,0.19796751,2020-08-31
112,0.044203706085681915,3.7289135,0.19681239,2020-09-01
113,0.04342040419578552,3.72432,0.19358987,2020-09-02
114,0.041127100586891174,3.7120645,0.18453255,2020-09-03
115,0.0401078462600708,3.7092035,0.18028241,2020-09-04
116,0.03708088770508766,3.688916,0.16760583,2020-09-08
117,0.039735663682222366,3.709207,0.17862971,2020-09-09
118,0.04372600093483925,3.7315621,0.19454868,2020-09-10
119,0.04755619540810585,3.7479756,0.20896812,2020-09-11
120,0.047295745462179184,3.7472467,0.20804061,2020-09-14
121,0.044706858694553375,3.735039,0.19862232,2020-09-15
122,0.04379521682858467,3.7311232,0.19488956,2020-09-16
123,0.042336355894804,3.723677,0.1886704,2020-09-17
124,0.0411846749484539,3.7184317,0.18384402,2020-09-18
125,0.03740464895963669,3.695548,0.16904631,2020-09-21
126,0.03699508681893349,3.6934888,0.16720657,2020-09-22
127,0.03823632374405861,3.7036104,0.17252032,2020-09-23
128,0.03922059386968613,3.7114646,0.17615241,2020-09-24
129,0.04056689143180847,3.7183495,0.1812738,2020-09-25
130,0.032292045652866364,3.6530797,0.14503935,2020-09-28
131,0.03133254125714302,3.6406064,0.13947463,2020-09-29
132,0.02579892799258232,3.5525787,0.10994828,2020-09-30
133,0.02792845480144024,3.5884483,0.122077554,2020-10-01
134,0.027543725445866585,3.5855272,0.12015336,2020-10-02
135,0.028178509324789047,3.595602,0.12358915,2020-10-05
136,0.029180806130170822,3.617132,0.12914467,2020-10-06
137,0.03655914589762688,3.6917493,0.1654328,2020-10-07
138,0.04038120433688164,3.7194564,0.18046907,2020-10-08
139,0.04734945669770241,3.7520595,0.20799331,2020-10-09
140,0.044295575469732285,3.74356,0.19543697,2020-10-12
141,0.047073110938072205,3.7537632,0.20617694,2020-10-13
142,0.05136486887931824,3.7654006,0.22225527,2020-10-14
143,0.04581571742892265,3.7477,0.20148562,2020-10-15
144,0.052775368094444275,3.7679756,0.22799471,2020-10-16
145,0.05496783182024956,3.771769,0.23631574,2020-10-19
146,0.05431976169347763,3.7705157,0.23395842,2020-10-20
147,0.05046210065484047,3.76281,0.2189698,2020-10-21
148,0.05303139612078667,3.7684972,0.22868083,2020-10-22
149,0.05118333548307419,3.76431,0.22165434,2020-10-23
150,0.054515302181243896,3.771101,0.23425114,2020-10-26
151,0.05776510387659073,3.7744448,0.24489136,2020-10-27
152,0.059050194919109344,3.7748249,0.24948749,2020-10-28
153,0.06029495969414711,3.7747197,0.2537302,2020-10-29
154,0.06085259094834328,3.7740467,0.25527105,2020-10-30
155,0.0598503053188324,3.7740939,0.25176737,2020-11-02
156,0.058657675981521606,3.774153,0.24755964,2020-11-03
157,0.058605827391147614,3.774318,0.24748532,2020-11-04
158,0.059608880430459976,3.7734406,0.25028592,2020-11-05
159,0.05829937383532524,3.7740586,0.246205,2020-11-06
160,0.0599566213786602,3.773337,0.25147793,2020-11-09
161,0.05548551306128502,3.7725444,0.2368199,2020-11-10
162,0.054901815950870514,3.771706,0.23472108,2020-11-11
163,0.05220235139131546,3.7675571,0.2245695,2020-11-12
164,0.047663405537605286,3.7565682,0.20737211,2020-11-13
165,0.05361056700348854,3.7697346,0.22997579,2020-11-16
166,0.05505306273698807,3.7716625,0.2352221,2020-11-17
167,0.05678487569093704,3.7733295,0.24072579,2020-11-18
