ticker,model,vol_window,h,N,seed,nll_train,nll_val,nll_test,delta_marginal
USB,state_cond_return,,1,35,42,3.329613447189331,3.382410049438477,3.6404967308044434,0.0851486693150298
USB,state_cond_return,,1,35,7,3.33506441116333,3.3807015419006348,3.633158206939697,0.0778101454502837
USB,state_cond_return,,1,35,123,3.336256265640259,3.383357048034668,3.630761384963989,0.0754133234745757
USB,state_cond_return,,2,35,42,3.360065221786499,3.4269766807556152,3.6473329067230233,0.0919848452336089
USB,state_cond_return,,2,35,7,3.370063066482544,3.4273338317871094,3.639471054077149,0.0841229925877349
USB,state_cond_return,,2,35,123,3.3646392822265625,3.4293041229248047,3.645741224288941,0.0903931627995269
USB,state_cond_return,,3,35,42,3.362664222717285,3.447331666946411,3.634109258651733,0.0787611971623198
USB,state_cond_return,,3,35,7,3.35931396484375,3.449429512023926,3.628350496292114,0.0730024348027007
USB,state_cond_return,,3,35,123,3.378901720046997,3.443857192993164,3.633512258529663,0.0781641970402495
USB,state_cond_return,,5,35,42,3.3862380981445312,3.4749228954315186,3.628258228302002,0.0729101668125884
USB,state_cond_return,,5,35,7,3.378458499908448,3.483482360839844,3.640616178512573,0.0852681170231597
USB,state_cond_return,,5,35,123,3.38633394241333,3.4649863243103027,3.624093770980835,0.0687457094914214
USB,state_cond_return,,1,45,42,3.5906221866607666,3.6320230960845943,3.8802645206451416,0.0736020308748219
USB,state_cond_return,,1,45,7,3.559311628341675,3.63960862159729,3.8995728492736816,0.092910359503362
USB,state_cond_return,,1,45,123,3.560495138168335,3.636824131011963,3.912579774856568,0.1059172850862477
USB,state_cond_return,,2,45,42,3.6071484088897705,3.6771044731140137,3.909192323684693,0.1025298339143727
USB,state_cond_return,,2,45,7,3.6018903255462646,3.6746938228607178,3.8998515605926514,0.0931890708223317
USB,state_cond_return,,2,45,123,3.5770459175109863,3.675058841705322,3.893739938735962,0.0870774489656422
USB,state_cond_return,,3,45,42,3.610817670822144,3.709239006042481,3.9025192260742183,0.0958567363038991
USB,state_cond_return,,3,45,7,3.618274688720703,3.705559253692627,3.895318031311035,0.0886555415407155
USB,state_cond_return,,3,45,123,3.6157381534576416,3.703289270401001,3.886061668395996,0.0793991786256764
USB,state_cond_return,,5,45,42,3.636711597442627,3.724962711334229,3.885664224624634,0.0790017348543141
USB,state_cond_return,,5,45,7,3.6286702156066895,3.724614381790161,3.8947365283966064,0.0880740386262868
USB,state_cond_return,,5,45,123,3.636919736862183,3.714711427688599,3.8762831687927246,0.0696206790224049
USB,state_cond_return,,1,55,42,3.7885704040527344,3.8358817100524902,4.099915504455566,0.09258231922309523
USB,state_cond_return,,1,55,7,3.779435873031616,3.842007637023926,4.1122846603393555,0.1049514751068843
USB,state_cond_return,,1,55,123,3.772510051727295,3.839430809020996,4.086676597595215,0.07934341236274367
USB,state_cond_return,,2,55,42,3.795562982559204,3.871394157409668,4.115021228790283,0.10768804355781203
USB,state_cond_return,,2,55,7,3.7897555828094482,3.876453399658203,4.110875606536865,0.10354242130439406
USB,state_cond_return,,2,55,123,3.7930495738983154,3.875271797180176,4.110918998718262,0.10358581348579055
USB,state_cond_return,,3,55,42,3.8182260990142822,3.899707317352295,4.092967987060547,0.0856348018280757
USB,state_cond_return,,3,55,7,3.8169021606445312,3.9008736610412598,4.084695339202881,0.07736215397040969
USB,state_cond_return,,3,55,123,3.8118245601654053,3.8980612754821777,4.0967230796813965,0.08938989444892531
USB,state_cond_return,,5,55,42,3.8240909576416016,3.9192728996276855,4.091022491455078,0.08368930622260695
USB,state_cond_return,,5,55,7,3.817854166030884,3.9303038120269775,4.109726428985596,0.10239324375312453
USB,state_cond_return,,5,55,123,3.7937123775482178,3.922891616821289,4.096194744110107,0.08886155887763625
