timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.014341599307954311,3.457601,0.08411317,2020-03-26
1,0.0191409382969141,3.6471145,0.10442429,2020-03-27
2,0.02260667458176613,3.646935,0.13100594,2020-03-30
3,0.027652116492390633,3.683077,0.15242873,2020-03-31
4,0.02069861628115177,3.583067,0.12563577,2020-04-01
5,0.021794814616441727,3.5248375,0.12504181,2020-04-02
6,0.01771555468440056,3.4958992,0.09783226,2020-04-03
7,0.021533075720071793,3.6337166,0.12355013,2020-04-06
8,0.015707746148109436,3.6065667,0.083488405,2020-04-07
9,0.025323256850242615,3.6466248,0.14387938,2020-04-08
10,0.023119095712900162,3.6690068,0.13272125,2020-04-09
11,0.021562060341238976,3.6981614,0.1197884,2020-04-13
12,0.02147527225315571,3.5822952,0.12082729,2020-04-14
13,0.020388837903738022,3.4535568,0.11091702,2020-04-15
14,0.017603473737835884,3.6040885,0.10068099,2020-04-16
15,0.020257750526070595,3.5847733,0.12348302,2020-04-17
16,0.020822133868932724,3.6571853,0.10970655,2020-04-20
17,0.01787625253200531,3.4897258,0.10702527,2020-04-21
18,0.022520964965224266,3.5753787,0.12254039,2020-04-22
19,0.0215732604265213,3.6912293,0.12347421,2020-04-23
20,0.03414762392640114,3.735411,0.17939566,2020-04-24
21,0.013401725329458714,3.6102095,0.07294544,2020-04-27
22,0.021785469725728035,3.6423512,0.12575196,2020-04-28
23,0.018062656745314598,3.5661683,0.11109602,2020-04-29
24,0.018040889874100685,3.628915,0.097108625,2020-04-30
25,0.029963329434394836,3.7482235,0.1569415,2020-05-01
26,0.016233736649155617,3.6308794,0.09594979,2020-05-04
27,0.022801082581281662,3.7217982,0.11609267,2020-05-05
28,0.03338523209095001,3.7512805,0.18086556,2020-05-06
29,0.040314190089702606,3.7682457,0.20743652,2020-05-07
30,0.030677536502480507,3.746273,0.1615927,2020-05-08
31,0.029116520658135414,3.745483,0.15544477,2020-05-11
32,0.01899460330605507,3.6543844,0.10857312,2020-05-12
33,0.01995016820728779,3.3710744,0.108286634,2020-05-13
34,0.01669977977871895,3.1558802,0.08871199,2020-05-14
35,0.018165605142712593,3.5897222,0.10669822,2020-05-15
36,0.028084829449653625,3.6884475,0.15593134,2020-05-18
37,0.01774786040186882,3.5449445,0.09887069,2020-05-19
38,0.02082689478993416,3.4111807,0.12023236,2020-05-20
39,0.01942599192261696,3.6130784,0.10580894,2020-05-21
40,0.02906527742743492,3.7401729,0.15709487,2020-05-22
41,0.03732753172516823,3.7765708,0.19062185,2020-05-26
42,0.02055925875902176,3.6304388,0.112945475,2020-05-27
43,0.020882006734609604,3.6425364,0.10996126,2020-05-28
44,0.01925109140574932,3.5472836,0.11439678,2020-05-29
45,0.02173137478530407,3.6366389,0.11762966,2020-06-01
46,0.02268936298787594,3.671095,0.12681355,2020-06-02
47,0.026797041296958923,3.6937678,0.14538555,2020-06-03
48,0.02485489472746849,3.734418,0.12734658,2020-06-04
49,0.024240199476480484,3.6666918,0.13372868,2020-06-05
50,0.032224636524915695,3.7667303,0.17504145,2020-06-08
51,0.022681666538119316,3.7041676,0.1164565,2020-06-09
52,0.026388054713606834,3.6771946,0.14723766,2020-06-10
53,0.045472342520952225,3.781382,0.22389925,2020-06-11
54,0.021435381844639778,3.5979342,0.13029292,2020-06-12
55,0.021398749202489853,3.608164,0.11940468,2020-06-15
56,0.034068137407302856,3.7591164,0.17254579,2020-06-16
57,0.03171934559941292,3.745598,0.17503664,2020-06-17
58,0.0221350509673357,3.6788993,0.12731846,2020-06-18
59,0.033964160829782486,3.7627552,0.17363267,2020-06-19
60,0.035166431218385696,3.7765489,0.17773639,2020-06-22
61,0.037603095173835754,3.785556,0.20180686,2020-06-23
62,0.044836871325969696,3.7853,0.22396243,2020-06-24
63,0.03886796906590462,3.7700934,0.20204474,2020-06-25
64,0.03903255611658096,3.7725933,0.19442824,2020-06-26
65,0.027844009920954704,3.7387357,0.15170553,2020-06-29
66,0.045348796993494034,3.786066,0.23257475,2020-06-30
67,0.038504160940647125,3.7800148,0.20841338,2020-07-01
68,0.04395231604576111,3.783986,0.22292824,2020-07-02
69,0.04365924373269081,3.7859797,0.22079787,2020-07-06
70,0.05015961080789566,3.7796836,0.25578448,2020-07-07
71,0.04075109213590622,3.7854254,0.20501676,2020-07-08
72,0.043219152837991714,3.786874,0.22171183,2020-07-09
73,0.051568083465099335,3.7340314,0.26109293,2020-07-10
74,0.04587939381599426,3.7808158,0.2276664,2020-07-13
75,0.048639655113220215,3.782971,0.2399517,2020-07-14
76,0.0507444404065609,3.7800236,0.26903927,2020-07-15
77,0.03994841128587723,3.7848158,0.207332,2020-07-16
78,0.04096509516239166,3.78605,0.2100031,2020-07-17
79,0.041388075798749924,3.78326,0.22055572,2020-07-20
80,0.04431942477822304,3.7841783,0.22852305,2020-07-21
81,0.04128619283437729,3.7868202,0.20321992,2020-07-22
82,0.046639833599328995,3.7883737,0.24316238,2020-07-23
83,0.046813737601041794,3.779148,0.23805974,2020-07-24
84,0.04976973682641983,3.7745817,0.25560692,2020-07-27
85,0.04360343515872955,3.780036,0.22863656,2020-07-28
86,0.042811471968889236,3.7876115,0.22438842,2020-07-29
87,0.04611905664205551,3.7847424,0.22997214,2020-07-30
88,0.04770325869321823,3.786266,0.25851265,2020-07-31
89,0.02859129011631012,3.740653,0.15628688,2020-08-03
90,0.04553607851266861,3.7858784,0.22836584,2020-08-04
91,0.042374275624752045,3.7822812,0.21267715,2020-08-05
92,0.035140350461006165,3.7718198,0.19063793,2020-08-06
93,0.03909062221646309,3.7735562,0.20157674,2020-08-07
94,0.02150716632604599,3.6383436,0.1229133,2020-08-10
95,0.023176899179816246,3.6894305,0.12131469,2020-08-11
96,0.030275022611021996,3.7464938,0.15410426,2020-08-12
97,0.048882994800806046,3.7755027,0.25029877,2020-08-13
98,0.03474251925945282,3.7712803,0.1829151,2020-08-14
99,0.029772447422146797,3.7388403,0.16329901,2020-08-17
100,0.04824666678905487,3.7843182,0.24526486,2020-08-18
101,0.046980250626802444,3.7880378,0.25164208,2020-08-19
102,0.034071411937475204,3.7677057,0.17618191,2020-08-20
103,0.03805621713399887,3.7765694,0.20383227,2020-08-21
104,0.02862204611301422,3.730691,0.1475131,2020-08-24
105,0.03246932476758957,3.7467997,0.16348128,2020-08-25
106,0.030682682991027832,3.7365024,0.15761924,2020-08-26
107,0.04267335310578346,3.7858734,0.2248913,2020-08-27
108,0.03237200155854225,3.7601945,0.16830052,2020-08-28
109,0.02977781742811203,3.7166564,0.16282073,2020-08-31
110,0.0362897589802742,3.7544198,0.18757239,2020-09-01
111,0.03952285647392273,3.783237,0.21232267,2020-09-02
112,0.0386061891913414,3.7780113,0.1977371,2020-09-03
113,0.03310219198465347,3.7616289,0.17517345,2020-09-04
114,0.030075136572122574,3.7426567,0.16292827,2020-09-08
115,0.0365544930100441,3.7662253,0.1881861,2020-09-09
116,0.04101376235485077,3.77999,0.21056299,2020-09-10
117,0.0490485355257988,3.7710435,0.26282406,2020-09-11
118,0.036937322467565536,3.7827392,0.18311091,2020-09-14
119,0.04414786398410797,3.7754378,0.22748072,2020-09-15
120,0.03608866408467293,3.7762415,0.18877766,2020-09-16
121,0.026665208861231804,3.7184165,0.13788283,2020-09-17
122,0.027791865170001984,3.6789706,0.15872997,2020-09-18
123,0.03426944836974144,3.7641668,0.18294945,2020-09-21
124,0.03128918632864952,3.729802,0.1702584,2020-09-22
125,0.03035096451640129,3.7541263,0.16327466,2020-09-23
