timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.019763456657528877,3.6075594,0.07000293,2020-03-24
1,0.023495221510529518,3.7116663,0.0796879,2020-03-25
2,0.02131652645766735,3.7620995,0.070661694,2020-03-26
3,0.021021921187639236,3.7234225,0.07456113,2020-03-27
4,0.029418593272566795,3.8333452,0.113007054,2020-03-30
5,0.03538549691438675,3.8049276,0.13304017,2020-03-31
6,0.04133392870426178,3.8821611,0.16032948,2020-04-01
7,0.02375807613134384,3.6099825,0.08749918,2020-04-02
8,0.019209282472729683,3.6956737,0.06475585,2020-04-03
9,0.02794128842651844,3.7488713,0.09842837,2020-04-06
10,0.028526604175567627,3.7058873,0.09268177,2020-04-07
11,0.03958943858742714,3.9112892,0.14962085,2020-04-08
12,0.02868480049073696,3.8056703,0.1032147,2020-04-09
13,0.04002248868346214,3.8732092,0.14505549,2020-04-13
14,0.03897608444094658,3.8375802,0.14019889,2020-04-14
15,0.0222392026335001,3.6329334,0.07628983,2020-04-15
16,0.015573744662106037,3.7067587,0.0548703,2020-04-16
17,0.04185652732849121,3.8967721,0.15643056,2020-04-17
18,0.020953236147761345,3.7862334,0.07409921,2020-04-20
19,0.03631027042865753,3.855754,0.13830243,2020-04-21
20,0.042252395302057266,3.9356372,0.1587951,2020-04-22
21,0.05044605955481529,3.9302323,0.1797645,2020-04-23
22,0.05441226065158844,3.9915702,0.19966443,2020-04-24
23,0.01841186359524727,3.731417,0.06358765,2020-04-27
24,0.019636886194348335,3.6864858,0.07310731,2020-04-28
25,0.03502409905195236,3.8356478,0.13125229,2020-04-29
26,0.034898918122053146,3.8501785,0.11834666,2020-04-30
27,0.03372182697057724,3.859521,0.12187344,2020-05-01
28,0.026156064122915268,3.881211,0.09647946,2020-05-04
29,0.02510160021483898,3.8144283,0.08790548,2020-05-05
30,0.038877617567777634,3.9234574,0.15296277,2020-05-06
31,0.04110688343644142,3.9738712,0.16232882,2020-05-07
32,0.049266740679740906,3.9601977,0.1903669,2020-05-08
33,0.05188104882836342,3.9904687,0.19085906,2020-05-11
34,0.025325367227196693,3.793721,0.08821326,2020-05-12
35,0.013832694850862026,3.3592901,0.049064547,2020-05-13
36,0.009842055849730968,3.7119858,0.03524505,2020-05-14
37,0.03583512827754021,3.8102312,0.12654786,2020-05-15
38,0.04015783965587616,3.9019341,0.15850222,2020-05-18
39,0.025805070996284485,3.7852392,0.08830415,2020-05-19
40,0.02202022634446621,3.6972654,0.07938129,2020-05-20
41,0.029814016073942184,3.807598,0.100487754,2020-05-21
42,0.04310848191380501,3.9082408,0.1575626,2020-05-22
43,0.04674296826124191,3.9253588,0.16251566,2020-05-26
44,0.02953740395605564,3.749646,0.10176093,2020-05-27
45,0.0319119468331337,3.83273,0.11226374,2020-05-28
46,0.03088994324207306,3.6976635,0.11281869,2020-05-29
47,0.03610029071569443,3.8500366,0.1263726,2020-06-01
48,0.051511187106370926,3.9417045,0.18856592,2020-06-02
49,0.044201143085956573,3.956748,0.16834982,2020-06-03
50,0.04462503641843796,3.9500737,0.14931753,2020-06-04
51,0.025410741567611694,3.8303082,0.09384962,2020-06-05
52,0.057786162942647934,3.9651847,0.19811878,2020-06-08
53,0.03964187577366829,3.900884,0.13156772,2020-06-09
54,0.04770257696509361,3.8824005,0.17747414,2020-06-10
55,0.04040469974279404,3.9335265,0.14567441,2020-06-11
56,0.03401739522814751,3.7888212,0.13125633,2020-06-12
57,0.03693931922316551,3.8614914,0.13700244,2020-06-15
58,0.049349114298820496,3.9671788,0.17027156,2020-06-16
59,0.04202369228005409,3.9521694,0.15930597,2020-06-17
60,0.03195751830935478,3.8726673,0.11453189,2020-06-18
61,0.05262596532702446,3.9843154,0.17698945,2020-06-19
62,0.040673546493053436,3.9420104,0.14924234,2020-06-22
