timestep,ck_kl,ck_tv,date
0,0.03171559291381522,0.09180490092190514,2020-03-26
1,0.0214280940978429,0.08352024919361338,2020-03-27
2,0.030045729100268044,0.1053049766376372,2020-03-30
3,0.12751082472713976,0.20415821948649157,2020-03-31
4,0.038553143633151266,0.0967944512710358,2020-04-01
5,0.02382507908968629,0.08597142518204069,2020-04-02
6,0.11892882301618533,0.19113669025302404,2020-04-03
7,0.1725076830393362,0.25274297269442697,2020-04-06
8,0.021883783758952852,0.08055825959829646,2020-04-07
9,0.018684702025306955,0.07983336522176653,2020-04-08
10,0.33657909637323274,0.33708680385531326,2020-04-09
11,0.1459554297891002,0.21616886723734974,2020-04-13
12,0.04509842916152441,0.11098472169005015,2020-04-14
13,0.076604398926111,0.16248479090687723,2020-04-15
14,0.08465124679003395,0.15660347589957607,2020-04-16
15,0.07779987420504679,0.15906892797609268,2020-04-17
16,0.009736792725623,0.057114696927661995,2020-04-20
17,0.09655596436838504,0.18854608816845445,2020-04-21
18,0.0797173458165944,0.1580901534407556,2020-04-22
19,0.048981483827786075,0.13164159372453366,2020-04-23
20,0.23289633519490777,0.2937253624016745,2020-04-24
21,0.0520047474330593,0.13043735448485025,2020-04-27
22,0.02102847062143928,0.07889698013766139,2020-04-28
23,0.016084987074578963,0.06869023920125271,2020-04-29
24,0.0729091000765202,0.1475109574586864,2020-04-30
25,0.010632083142522468,0.05804721763624057,2020-05-01
26,0.03292686155389011,0.10715919484105572,2020-05-04
27,0.012407722153468971,0.06103957455791789,2020-05-05
28,0.021217331324777874,0.08434314502579608,2020-05-06
29,0.14032970664284436,0.22566660074174072,2020-05-07
30,0.16137765344801086,0.24171319666865537,2020-05-08
31,0.08646641991456112,0.17201261365519308,2020-05-11
32,0.3826403508535517,0.35043088170044673,2020-05-12
33,0.05270000930396314,0.13317683938158736,2020-05-13
34,0.11599210682170398,0.18749930289848066,2020-05-14
35,0.011620219697216645,0.05675715998923091,2020-05-15
36,0.01523803213063229,0.07082476022619684,2020-05-18
37,0.037836174159055116,0.11053887261247768,2020-05-19
38,0.029539038623674418,0.09572361510005736,2020-05-20
39,0.10302150228132265,0.17491363004870383,2020-05-21
40,0.00703747529281181,0.04704664223005811,2020-05-22
41,0.044617307309115325,0.12492520605683471,2020-05-26
42,0.10704018427649406,0.17038518970784075,2020-05-27
43,0.02095024233795932,0.07699157417803545,2020-05-28
44,0.017626583332016495,0.07283567378375491,2020-05-29
45,0.01129065760855863,0.05904678319607781,2020-06-01
46,0.04308500657827076,0.12506229542581018,2020-06-02
47,0.01306913622894014,0.0667055848674754,2020-06-03
48,0.07829505729383014,0.16802795809726004,2020-06-04
49,0.5115756592279527,0.3835864995432638,2020-06-05
50,0.06562737908813225,0.1455462483295448,2020-06-08
51,0.010834416340535094,0.06138056023694017,2020-06-09
52,0.12200820470795992,0.1782622851586488,2020-06-10
53,0.04225028457630589,0.12447962950113417,2020-06-11
54,0.026908455015982373,0.09715899616908695,2020-06-12
55,0.029565232046361654,0.09874390698565776,2020-06-15
56,0.00951388629441034,0.05517055096258217,2020-06-16
57,0.032944108621825244,0.10177956687142514,2020-06-17
58,0.05455215964344515,0.12691324218394157,2020-06-18
59,0.011364487143610715,0.06169104993957082,2020-06-19
60,0.15168963618850345,0.2116415840600842,2020-06-22
61,0.004169793546103381,0.03747677260885954,2020-06-23
62,0.034788350535316176,0.11470306707752144,2020-06-24
63,0.044260790521751255,0.12505606998614924,2020-06-25
64,0.02362371292458091,0.07759597156826842,2020-06-26
65,0.005943358513367624,0.038655657037537094,2020-06-29
66,0.17677150633762573,0.22649045753407396,2020-06-30
67,0.028928621089998875,0.09997164183406569,2020-07-01
68,0.0024273161990784583,0.027880290412751085,2020-07-02
69,0.07143665584282158,0.15065033474224931,2020-07-06
70,0.0067366771305373396,0.04123938718241764,2020-07-07
71,0.0017796847529438127,0.02384814950540644,2020-07-08
72,0.013041938539432238,0.06313933449161283,2020-07-09
73,0.007162334245520714,0.049553573858532346,2020-07-10
74,0.010037117310654932,0.05286969096936014,2020-07-13
75,0.11068962708349125,0.16959755005122581,2020-07-14
76,0.024880619336218525,0.08610777287475367,2020-07-15
77,0.041118186807048186,0.10362330233097658,2020-07-16
78,0.019172029404158398,0.06461426814110297,2020-07-17
79,0.018453566646852028,0.06806136830802764,2020-07-20
80,0.1194072452496091,0.2081278438379094,2020-07-21
81,0.022649932331422287,0.08122762902991934,2020-07-22
82,0.002887399039469308,0.029222890033825097,2020-07-23
83,0.04902056197336676,0.13159986337832102,2020-07-24
84,0.005189245859119161,0.0408044959922386,2020-07-27
85,0.06326746021521261,0.1516761566296299,2020-07-28
86,0.019566174544098182,0.0795238736808736,2020-07-29
87,0.008384639937330617,0.05002645935460878,2020-07-30
88,0.013842211791009175,0.06724671084301544,2020-07-31
89,0.0688081150641843,0.14458357254760873,2020-08-03
90,0.01459401965791608,0.07099037868216228,2020-08-04
91,0.03776900313143215,0.11557463660095399,2020-08-05
92,0.009589738579341853,0.056635460769361726,2020-08-06
93,0.03387935760713325,0.10772934353085695,2020-08-07
94,0.06166900367476021,0.14322504170210265,2020-08-10
95,0.008672804153885647,0.051425732285483895,2020-08-11
96,0.08986120350059303,0.16385238430752558,2020-08-12
97,0.008213682350648505,0.05311514706837524,2020-08-13
98,0.006971813350694602,0.049018691483063294,2020-08-14
99,0.005682756278087256,0.040691250457693756,2020-08-17
100,0.06568853914821203,0.13819573188646847,2020-08-18
101,0.025388034919426015,0.0947216068743392,2020-08-19
102,0.005391260677455112,0.0426380277546661,2020-08-20
103,0.01204993805330058,0.0670509975975384,2020-08-21
104,0.019369801898970775,0.08431098102793187,2020-08-24
105,0.038075455439587104,0.12040925482630371,2020-08-25
106,0.09011850791780351,0.16239012677705258,2020-08-26
107,0.0610964474761688,0.1452002174090019,2020-08-27
108,0.06086183297163449,0.14676906346282853,2020-08-28
109,0.046435918505611,0.12482773488992904,2020-08-31
110,0.08663719880446578,0.1593963896620151,2020-09-01
111,0.06238943109466704,0.1482473474488424,2020-09-02
112,0.0076872322410809595,0.051471566983248354,2020-09-03
113,0.009879497220379717,0.057756268275388385,2020-09-04
114,0.06662177287049338,0.14902446032799474,2020-09-08
115,0.0031263111362594587,0.03213300050418557,2020-09-09
116,0.08286565222582962,0.17324539324553836,2020-09-10
117,0.10628117609015113,0.1919858758604553,2020-09-11
118,0.37359885977370616,0.30521337776872987,2020-09-14
