timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.1883445,0.0,2020-03-26
1,0.0,3.4266472,0.0,2020-03-27
2,0.0,3.355704,0.0,2020-03-30
3,0.0,3.284436,0.0,2020-03-31
4,0.0,3.2508879,0.0,2020-04-01
5,0.0,3.2485352,0.0,2020-04-02
6,0.0,3.3742707,0.0,2020-04-03
7,0.0,3.4456453,0.0,2020-04-06
8,0.0,3.4705791,0.0,2020-04-07
9,0.0,3.157094,0.0,2020-04-08
10,0.0,3.3135633,0.0,2020-04-09
11,0.0,3.4342766,0.0,2020-04-13
12,0.0,3.2945807,0.0,2020-04-14
13,0.0,3.269492,0.0,2020-04-15
14,0.0,3.3906655,0.0,2020-04-16
15,0.0,3.3332405,0.0,2020-04-17
16,0.0,3.439162,0.0,2020-04-20
17,0.0,3.1248457,0.0,2020-04-21
18,0.0,3.3611302,0.0,2020-04-22
19,0.0,3.4518688,0.0,2020-04-23
20,0.0,3.4506745,0.0,2020-04-24
21,0.0,3.453113,0.0,2020-04-27
22,0.0,3.35858,0.0,2020-04-28
23,0.0,3.3360424,0.0,2020-04-29
24,0.0,3.3475456,0.0,2020-04-30
25,0.0,3.493591,0.0,2020-05-01
26,0.0,3.4352505,0.0,2020-05-04
27,0.0,3.4064653,0.0,2020-05-05
28,0.0,3.3934445,0.0,2020-05-06
29,0.0,3.5121512,0.0,2020-05-07
30,0.0,3.4421349,0.0,2020-05-08
31,0.0,3.4954884,0.0,2020-05-11
32,0.0,3.4325898,0.0,2020-05-12
33,0.0,3.022668,0.0,2020-05-13
34,0.0,3.0141857,0.0,2020-05-14
35,0.0,3.4404445,0.0,2020-05-15
36,0.0,3.4136553,0.0,2020-05-18
37,0.0,3.2210898,0.0,2020-05-19
38,0.0,3.1464393,0.0,2020-05-20
39,0.0,3.4227097,0.0,2020-05-21
40,0.0,3.4546473,0.0,2020-05-22
41,0.0,3.4873962,0.0,2020-05-26
42,0.0,3.3767228,0.0,2020-05-27
43,0.0,3.3723109,0.0,2020-05-28
44,0.0,3.2776554,0.0,2020-05-29
45,0.0,3.4314234,0.0,2020-06-01
46,0.0,3.4295955,0.0,2020-06-02
47,0.0,3.3205922,0.0,2020-06-03
48,0.0,3.439051,0.0,2020-06-04
49,0.0,3.237077,0.0,2020-06-05
50,0.0,3.4604666,0.0,2020-06-08
51,0.0,3.3818574,0.0,2020-06-09
52,0.0,3.3759246,0.0,2020-06-10
53,0.0,3.503386,0.0,2020-06-11
54,0.0,3.422604,0.0,2020-06-12
55,0.0,3.27238,0.0,2020-06-15
56,0.0,3.4280686,0.0,2020-06-16
57,0.0,3.404117,0.0,2020-06-17
58,0.0,3.422635,0.0,2020-06-18
59,0.0,3.4670396,0.0,2020-06-19
60,0.0,3.484445,0.0,2020-06-22
61,0.0,3.48977,0.0,2020-06-23
62,0.0,3.530768,0.0,2020-06-24
63,0.0,3.4654138,0.0,2020-06-25
64,0.0,3.4829972,0.0,2020-06-26
65,0.0,3.5074477,0.0,2020-06-29
66,0.0,3.4863098,0.0,2020-06-30
67,0.0,3.4773066,0.0,2020-07-01
68,0.0,3.500509,0.0,2020-07-02
69,0.0,3.489714,0.0,2020-07-06
70,0.0,3.5208025,0.0,2020-07-07
71,0.0,3.51318,0.0,2020-07-08
72,0.0,3.491426,0.0,2020-07-09
73,0.0,3.5020409,0.0,2020-07-10
74,0.0,3.4799552,0.0,2020-07-13
75,0.0,3.5114403,0.0,2020-07-14
76,0.0,3.5152278,0.0,2020-07-15
77,0.0,3.5129244,0.0,2020-07-16
78,0.0,3.5138538,0.0,2020-07-17
79,0.0,3.50754,0.0,2020-07-20
80,0.0,3.528766,0.0,2020-07-21
81,0.0,3.514141,0.0,2020-07-22
82,0.0,3.5256538,0.0,2020-07-23
83,0.0,3.5387692,0.0,2020-07-24
84,0.0,3.519986,0.0,2020-07-27
85,0.0,3.4607947,0.0,2020-07-28
86,0.0,3.5142756,0.0,2020-07-29
87,0.0,3.5073304,0.0,2020-07-30
88,0.0,3.507887,0.0,2020-07-31
89,0.0,3.4750803,0.0,2020-08-03
90,0.0,3.510161,0.0,2020-08-04
91,0.0,3.4875975,0.0,2020-08-05
92,0.0,3.4921727,0.0,2020-08-06
93,0.0,3.4593077,0.0,2020-08-07
94,0.0,3.3576937,0.0,2020-08-10
95,0.0,3.3888495,0.0,2020-08-11
96,0.0,3.4701965,0.0,2020-08-12
97,0.0,3.5167358,0.0,2020-08-13
98,0.0,3.4945693,0.0,2020-08-14
99,0.0,3.427429,0.0,2020-08-17
100,0.0,3.4840243,0.0,2020-08-18
101,0.0,3.5093422,0.0,2020-08-19
102,0.0,3.4887812,0.0,2020-08-20
103,0.0,3.4784846,0.0,2020-08-21
104,0.0,3.3981988,0.0,2020-08-24
105,0.0,3.5009947,0.0,2020-08-25
106,0.0,3.4781678,0.0,2020-08-26
107,0.0,3.5111861,0.0,2020-08-27
108,0.0,3.4335432,0.0,2020-08-28
