timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.030035855248570442,3.6184528,0.1178804,2020-03-26
1,0.0318300798535347,3.6721127,0.12415956,2020-03-27
2,0.03155053034424782,3.6661005,0.122965336,2020-03-30
3,0.03364836424589157,3.696419,0.13226269,2020-03-31
4,0.03099100850522518,3.6435473,0.120845556,2020-04-01
5,0.02860281802713871,3.6300335,0.11269401,2020-04-02
6,0.029223205521702766,3.645839,0.11391142,2020-04-03
7,0.030904406681656837,3.6748948,0.119603775,2020-04-06
8,0.030476011335849762,3.6691833,0.11805682,2020-04-07
9,0.0329924151301384,3.705702,0.1286987,2020-04-08
10,0.03760448098182678,3.7495735,0.14767097,2020-04-09
11,0.038151323795318604,3.7540832,0.15002131,2020-04-13
12,0.03111441060900688,3.6747391,0.120896325,2020-04-14
13,0.029442807659506798,3.6365883,0.11520551,2020-04-15
14,0.03139226883649826,3.675733,0.12196043,2020-04-16
15,0.03202511742711067,3.6832712,0.12453379,2020-04-17
16,0.03516891226172447,3.721518,0.13774762,2020-04-20
17,0.0338512547314167,3.7075193,0.13227123,2020-04-21
18,0.037678588181734085,3.7440968,0.14789219,2020-04-22
19,0.035568967461586,3.7255695,0.13950832,2020-04-23
20,0.037692103534936905,3.744647,0.14795412,2020-04-24
21,0.038111697882413864,3.7475672,0.14977354,2020-04-27
22,0.03904901444911957,3.755975,0.15383154,2020-04-28
23,0.03747649863362312,3.744307,0.14726213,2020-04-29
24,0.039234332740306854,3.755337,0.15452754,2020-04-30
25,0.03793291002511978,3.7461338,0.14906529,2020-05-01
26,0.04035336524248123,3.7618117,0.15921077,2020-05-04
27,0.043016597628593445,3.7772722,0.17035115,2020-05-05
28,0.042988430708646774,3.7777238,0.17038631,2020-05-06
29,0.046260084956884384,3.7901354,0.18364279,2020-05-07
30,0.04415563866496086,3.7837405,0.17527577,2020-05-08
31,0.040825970470905304,3.7669663,0.16179004,2020-05-11
32,0.040300268679857254,3.762272,0.1593822,2020-05-12
33,0.027983609586954117,3.5591455,0.11330197,2020-05-13
34,0.0296332985162735,3.6403923,0.11560333,2020-05-14
35,0.03079947829246521,3.6640208,0.118963465,2020-05-15
36,0.03155248239636421,3.676678,0.12242661,2020-05-18
37,0.031831804662942886,3.6821656,0.123782,2020-05-19
38,0.03236653655767441,3.6884408,0.12610814,2020-05-20
39,0.0303278099745512,3.6512644,0.11768744,2020-05-21
40,0.03365857154130936,3.7030725,0.13168359,2020-05-22
41,0.034148380160331726,3.7092357,0.13382192,2020-05-26
42,0.03138504549860954,3.673631,0.12159151,2020-05-27
43,0.03295702859759331,3.69537,0.12863728,2020-05-28
44,0.030519230291247368,3.655084,0.11813749,2020-05-29
45,0.03332464396953583,3.6979673,0.1301213,2020-06-01
46,0.035150617361068726,3.7197785,0.13794601,2020-06-02
47,0.03815675899386406,3.7463772,0.15015537,2020-06-03
48,0.039866965264081955,3.7579756,0.15738103,2020-06-04
49,0.03967123106122017,3.7572405,0.15664038,2020-06-05
50,0.03718303516507149,3.7385693,0.1462228,2020-06-08
51,0.039751749485731125,3.7578046,0.15698244,2020-06-09
52,0.0379546619951725,3.7460625,0.14938694,2020-06-10
53,0.0414045974612236,3.7681534,0.16386199,2020-06-11
54,0.03361881524324417,3.704542,0.1315775,2020-06-12
55,0.03763735294342041,3.7436182,0.14808366,2020-06-15
56,0.040652982890605927,3.7634537,0.16075085,2020-06-16
57,0.04034547880291939,3.7618983,0.15947258,2020-06-17
58,0.04494194686412811,3.7851086,0.17807204,2020-06-18
59,0.047363195568323135,3.7921154,0.18801835,2020-06-19
60,0.04681844636797905,3.7905843,0.18566264,2020-06-22
61,0.047945767641067505,3.7931705,0.19044949,2020-06-23
62,0.04475623741745949,3.7842617,0.17727916,2020-06-24
63,0.04523851349949837,3.786039,0.17916809,2020-06-25
64,0.04748634994029999,3.7925658,0.18867698,2020-06-26
65,0.04608098790049553,3.7890043,0.18260652,2020-06-29
66,0.048345986753702164,3.7940617,0.19223052,2020-06-30
67,0.047203145921230316,3.7922144,0.18747552,2020-07-01
68,0.04775521531701088,3.7932858,0.1898015,2020-07-02
69,0.047886986285448074,3.7932673,0.19026826,2020-07-06
70,0.048858534544706345,3.794484,0.19415066,2020-07-07
71,0.05036783963441849,3.7952406,0.2002625,2020-07-08
72,0.05099579319357872,3.794635,0.20264383,2020-07-09
73,0.05159492790699005,3.7931123,0.20532002,2020-07-10
74,0.051772475242614746,3.7927978,0.20603336,2020-07-13
75,0.04860447347164154,3.7944403,0.19335534,2020-07-14
76,0.05162689462304115,3.7930539,0.20559593,2020-07-15
77,0.05164145678281784,3.792911,0.20570959,2020-07-16
78,0.051651764661073685,3.792752,0.20582016,2020-07-17
79,0.05243968963623047,3.790193,0.20921612,2020-07-20
80,0.05227368697524071,3.7911985,0.20833902,2020-07-21
81,0.05080986022949219,3.7949183,0.20205571,2020-07-22
82,0.05051976442337036,3.7951515,0.20093378,2020-07-23
83,0.05084143579006195,3.794901,0.20207842,2020-07-24
84,0.051150981336832047,3.7944145,0.2032898,2020-07-27
85,0.051655229181051254,3.793426,0.20551981,2020-07-28
86,0.04955388978123665,3.7950714,0.19710974,2020-07-29
87,0.04709349945187569,3.7910903,0.18686634,2020-07-30
88,0.04982643947005272,3.795249,0.1983407,2020-07-31
89,0.04356824606657028,3.7789884,0.17280313,2020-08-03
90,0.04409268498420715,3.7809465,0.17480108,2020-08-04
91,0.043384503573179245,3.7777886,0.17196274,2020-08-05
92,0.032339293509721756,3.688393,0.12602517,2020-08-06
93,0.0360063873231411,3.7320418,0.1417876,2020-08-07
94,0.03514304757118225,3.726535,0.13830015,2020-08-10
95,0.03922590613365173,3.7580342,0.1551763,2020-08-11
96,0.03769683465361595,3.747584,0.14866354,2020-08-12
97,0.042793624103069305,3.7782536,0.16985285,2020-08-13
98,0.04494911804795265,3.7871597,0.1783342,2020-08-14
99,0.04526493698358536,3.7876163,0.17949691,2020-08-17
100,0.04438649117946625,3.7836032,0.17605543,2020-08-18
101,0.04367684945464134,3.7804143,0.17328462,2020-08-19
102,0.04482964426279068,3.7849262,0.17776382,2020-08-20
103,0.041169241070747375,3.7689,0.1631814,2020-08-21
104,0.04290403798222542,3.7776766,0.17024554,2020-08-24
105,0.03953785076737404,3.7583604,0.15632091,2020-08-25
106,0.039508942514657974,3.7577276,0.1561412,2020-08-26
107,0.043238475918769836,3.778274,0.17144658,2020-08-27
108,0.04343331977725029,3.7786903,0.17215878,2020-08-28
109,0.04352132976055145,3.7802398,0.1726396,2020-08-31
110,0.04321508854627609,3.778266,0.17138706,2020-09-01
111,0.04264497011899948,3.7763922,0.16913156,2020-09-02
112,0.04097248986363411,3.7689548,0.16244802,2020-09-03
113,0.04045259207487106,3.7651677,0.16035345,2020-09-04
114,0.037917450070381165,3.747214,0.1495803,2020-09-08
115,0.040564071387052536,3.7658234,0.16085944,2020-09-09
116,0.04376886412501335,3.7812588,0.17380662,2020-09-10
