timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.021140964701771736,3.5992968,0.08966395,2020-03-27
1,0.03182769566774368,3.7259467,0.11986482,2020-03-30
2,0.030561551451683044,3.638989,0.11902351,2020-03-31
3,0.02910435199737549,3.5918696,0.10356543,2020-04-01
4,0.022763457149267197,3.4433947,0.083500266,2020-04-02
5,0.02628377079963684,3.4122217,0.09819656,2020-04-03
6,0.0298616960644722,3.509611,0.11141382,2020-04-06
7,0.018239080905914307,3.3514373,0.070227325,2020-04-07
8,0.027993205934762955,3.597659,0.1199675,2020-04-08
9,0.028896141797304153,3.6711361,0.12338625,2020-04-09
10,0.028811031952500343,3.5553858,0.117504954,2020-04-13
11,0.024498146027326584,3.3765695,0.09659232,2020-04-14
12,0.02313392236828804,3.1830277,0.09400667,2020-04-15
13,0.02212250605225563,3.349701,0.08728524,2020-04-16
14,0.029933182522654533,3.5125322,0.10872918,2020-04-17
15,0.019653454422950745,3.4156764,0.085740596,2020-04-20
16,0.0202900730073452,3.5198357,0.0806993,2020-04-21
17,0.02764713577926159,3.5932145,0.10520207,2020-04-22
18,0.0329577811062336,3.5609887,0.12175093,2020-04-23
19,0.05048200488090515,3.7510107,0.18622105,2020-04-24
20,0.020258694887161255,3.2988844,0.08789852,2020-04-27
21,0.01715180277824402,3.4573698,0.0690708,2020-04-28
22,0.023719975724816322,3.4606829,0.09107798,2020-04-29
23,0.03212442621588707,3.563714,0.12850355,2020-04-30
24,0.034552961587905884,3.5962083,0.13178766,2020-05-01
25,0.028746291995048523,3.5502958,0.10943993,2020-05-04
26,0.03432439640164375,3.6614854,0.14474234,2020-05-05
27,0.03051971085369587,3.645837,0.12031671,2020-05-06
28,0.03188246861100197,3.667849,0.11933178,2020-05-07
29,0.028583215549588203,3.4627924,0.116990924,2020-05-08
30,0.039293140172958374,3.6977997,0.14488342,2020-05-11
31,0.030793042853474617,3.4412875,0.11741434,2020-05-12
32,0.018963029608130455,2.7260416,0.07377867,2020-05-13
33,0.01765291951596737,3.3151205,0.07003831,2020-05-14
34,0.016669010743498802,3.3138018,0.06203433,2020-05-15
35,0.03637736290693283,3.697174,0.14017168,2020-05-18
36,0.024957919493317604,3.5846817,0.111411594,2020-05-19
37,0.015502702444791794,3.3899128,0.055136353,2020-05-20
38,0.02586660347878933,3.3737664,0.09843297,2020-05-21
39,0.0453675277531147,3.7038784,0.16489568,2020-05-22
40,0.038208384066820145,3.6521103,0.1502228,2020-05-26
41,0.025698307901620865,3.4908874,0.11099086,2020-05-27
42,0.025288039818406105,3.5876985,0.10426055,2020-05-28
43,0.024396724998950958,3.4534523,0.09569598,2020-05-29
44,0.03425385802984238,3.509695,0.12917052,2020-06-01
45,0.024136662483215332,3.4361436,0.094128385,2020-06-02
46,0.04652800410985947,3.7559369,0.18831892,2020-06-03
47,0.030661681666970253,3.6013947,0.11839415,2020-06-04
48,0.027117624878883362,3.5849884,0.12050542,2020-06-05
49,0.039904169738292694,3.6982784,0.15120478,2020-06-08
50,0.04054449498653412,3.7198777,0.15592895,2020-06-09
51,0.0315459705889225,3.5754461,0.12791334,2020-06-10
52,0.0397317074239254,3.6977792,0.14884546,2020-06-11
53,0.021496813744306564,3.6334414,0.07854134,2020-06-12
54,0.026331506669521332,3.5128045,0.10752806,2020-06-15
55,0.030384467914700508,3.531825,0.12265709,2020-06-16
56,0.037892505526542664,3.697577,0.15438014,2020-06-17
57,0.04451437667012215,3.723005,0.16903187,2020-06-18
58,0.04857584461569786,3.715444,0.19391261,2020-06-19
59,0.030524849891662598,3.6007147,0.12468144,2020-06-22
60,0.05057179182767868,3.7652693,0.19251652,2020-06-23
61,0.05375109240412712,3.7676108,0.20419145,2020-06-24
62,0.043229829519987106,3.7214298,0.15619637,2020-06-25
63,0.04478827118873596,3.7522895,0.17948234,2020-06-26
64,0.05135862156748772,3.7583735,0.18424982,2020-06-29
65,0.0428360253572464,3.7266028,0.1673319,2020-06-30
66,0.05030485615134239,3.7686718,0.18740146,2020-07-01
67,0.05300404876470566,3.7364285,0.19643405,2020-07-02
68,0.04785500466823578,3.760618,0.19207376,2020-07-06
69,0.051557157188653946,3.7886117,0.19986378,2020-07-07
70,0.053336989134550095,3.784627,0.19898297,2020-07-08
71,0.04925352334976196,3.766199,0.20269977,2020-07-09
72,0.0523408018052578,3.7879846,0.19174334,2020-07-10
73,0.035419758409261703,3.7197688,0.13371855,2020-07-13
74,0.04695660248398781,3.7564814,0.17652126,2020-07-14
75,0.05430029705166817,3.7842507,0.1924847,2020-07-15
76,0.04773778095841408,3.7547154,0.1939002,2020-07-16
77,0.05425382778048515,3.7864742,0.20133904,2020-07-17
78,0.052923914045095444,3.7578192,0.19670007,2020-07-20
79,0.05644986778497696,3.778847,0.2100566,2020-07-21
80,0.03353075310587883,3.6497717,0.13979003,2020-07-22
81,0.05144669860601425,3.773034,0.20071776,2020-07-23
82,0.05391722545027733,3.787459,0.20352358,2020-07-24
83,0.04379447549581528,3.7175667,0.18332498,2020-07-27
84,0.05056791380047798,3.7884324,0.19325933,2020-07-28
85,0.05348287895321846,3.782147,0.19592468,2020-07-29
86,0.04090803489089012,3.735121,0.17189413,2020-07-30
87,0.05094918981194496,3.7770653,0.19349764,2020-07-31
88,0.05217010900378227,3.7632372,0.19286059,2020-08-03
89,0.05265878513455391,3.766861,0.19733253,2020-08-04
90,0.042763978242874146,3.7104995,0.18017234,2020-08-05
91,0.038854848593473434,3.6354384,0.14668939,2020-08-06
92,0.045641664415597916,3.7207105,0.17153078,2020-08-07
93,0.03228146210312843,3.5431767,0.13144562,2020-08-10
94,0.043757326900959015,3.698408,0.16619703,2020-08-11
95,0.03362661600112915,3.5475657,0.13115622,2020-08-12
96,0.05623997747898102,3.7852075,0.21195848,2020-08-13
97,0.04748998209834099,3.7384574,0.19109267,2020-08-14
98,0.048089899122714996,3.727775,0.19579108,2020-08-17
99,0.04161931201815605,3.6420555,0.1652173,2020-08-18
100,0.05025577172636986,3.7676117,0.18883522,2020-08-19
101,0.035251811146736145,3.5181713,0.13650213,2020-08-20
