timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.01243826188147068,3.1656568,0.039169855,2020-03-24
1,0.008888217620551586,3.282262,0.029844595,2020-03-25
2,0.013229516334831715,3.3538373,0.048856683,2020-03-26
3,0.009129947051405907,3.2503777,0.031486243,2020-03-27
4,0.01606924831867218,3.3401897,0.053100858,2020-03-30
5,0.014739414677023888,3.3514621,0.052152194,2020-03-31
6,0.018387621268630028,3.3812015,0.06416674,2020-04-01
7,0.012975266203284264,3.325686,0.043086514,2020-04-02
8,0.013952359557151794,3.2947185,0.05071209,2020-04-03
9,0.019084924831986427,3.3114707,0.06888905,2020-04-06
10,0.013306873850524426,3.3550792,0.04838135,2020-04-07
11,0.01942279376089573,3.3493686,0.068884686,2020-04-08
12,0.01959901675581932,3.3768632,0.06887521,2020-04-09
13,0.01723841205239296,3.4193976,0.060297213,2020-04-13
14,0.014377754181623459,3.3198683,0.05002982,2020-04-14
15,0.012841396033763885,3.195959,0.04607165,2020-04-15
16,0.012455545365810394,3.0709283,0.04205165,2020-04-16
17,0.020036926493048668,3.355042,0.072195195,2020-04-17
18,0.0062925866805016994,3.2878819,0.022298096,2020-04-20
19,0.013854634016752243,3.3198106,0.048577566,2020-04-21
20,0.021817807108163834,3.413304,0.07180415,2020-04-22
21,0.03857792913913727,3.5031404,0.13456164,2020-04-23
22,0.046370308846235275,3.5111709,0.15659513,2020-04-24
23,0.011969754472374916,3.2838976,0.042938113,2020-04-27
24,0.01252172701060772,3.3052397,0.041566715,2020-04-28
25,0.010804560035467148,3.295385,0.033039,2020-04-29
26,0.011061582714319229,3.3564227,0.03699717,2020-04-30
27,0.024311762303113937,3.3805034,0.08623241,2020-05-01
28,0.020304519683122635,3.4349868,0.07226914,2020-05-04
29,0.019917508587241173,3.403109,0.067348436,2020-05-05
30,0.028341518715023994,3.4329941,0.09307402,2020-05-06
31,0.017533577978610992,3.372943,0.056325786,2020-05-07
32,0.015082486905157566,3.3629823,0.04865797,2020-05-08
33,0.02086433209478855,3.4375794,0.07187007,2020-05-11
34,0.011378343217074871,3.300196,0.038443662,2020-05-12
35,0.009265460073947906,3.0716267,0.031224169,2020-05-13
36,0.00906712282449007,2.9847069,0.032379672,2020-05-14
37,0.01688600890338421,3.291291,0.061557155,2020-05-15
38,0.020226716995239258,3.399067,0.065539464,2020-05-18
39,0.010574081912636757,3.3300273,0.03575109,2020-05-19
40,0.013943388126790524,3.3138254,0.04366334,2020-05-20
41,0.026463467627763748,3.4368691,0.09666102,2020-05-21
