timestep,row_heterogeneity,row_entropy,dobrushin,date
0,0.0,3.570111,0.0,2020-03-24
1,0.0,3.7799594,0.0,2020-03-25
2,0.0,3.7719781,0.0,2020-03-26
3,0.0,3.8035858,0.0,2020-03-27
4,0.0,3.7991793,0.0,2020-03-30
5,0.0,3.8383641,0.0,2020-03-31
6,0.0,3.8322723,0.0,2020-04-01
7,0.0,3.800336,0.0,2020-04-02
8,0.0,3.756311,0.0,2020-04-03
9,0.0,3.774355,0.0,2020-04-06
10,0.0,3.7917666,0.0,2020-04-07
11,0.0,3.7804055,0.0,2020-04-08
12,0.0,3.8432612,0.0,2020-04-09
13,0.0,3.8422427,0.0,2020-04-13
14,0.0,3.7973197,0.0,2020-04-14
15,0.0,3.6314797,0.0,2020-04-15
16,0.0,3.628237,0.0,2020-04-16
17,0.0,3.8213456,0.0,2020-04-17
18,0.0,3.785673,0.0,2020-04-20
19,0.0,3.7327664,0.0,2020-04-21
20,0.0,3.810937,0.0,2020-04-22
21,0.0,3.9315493,0.0,2020-04-23
22,0.0,3.9728906,0.0,2020-04-24
23,0.0,3.7540588,0.0,2020-04-27
24,0.0,3.8027024,0.0,2020-04-28
25,0.0,3.8018343,0.0,2020-04-29
26,0.0,3.805121,0.0,2020-04-30
27,0.0,3.8531642,0.0,2020-05-01
28,0.0,3.831004,0.0,2020-05-04
29,0.0,3.7989702,0.0,2020-05-05
30,0.0,3.8582413,0.0,2020-05-06
31,0.0,3.834715,0.0,2020-05-07
32,0.0,3.8519456,0.0,2020-05-08
33,0.0,3.8645449,0.0,2020-05-11
34,0.0,3.8004103,0.0,2020-05-12
35,0.0,3.4960735,0.0,2020-05-13
36,0.0,3.5279496,0.0,2020-05-14
37,0.0,3.7561445,0.0,2020-05-15
38,0.0,3.8572063,0.0,2020-05-18
39,0.0,3.8093297,0.0,2020-05-19
40,0.0,3.7598422,0.0,2020-05-20
41,0.0,3.86416,0.0,2020-05-21
42,0.0,3.923045,0.0,2020-05-22
43,0.0,3.9150345,0.0,2020-05-26
44,0.0,3.762465,0.0,2020-05-27
45,0.0,3.7843308,0.0,2020-05-28
46,0.0,3.687424,0.0,2020-05-29
47,0.0,3.7889304,0.0,2020-06-01
48,0.0,3.855855,0.0,2020-06-02
49,0.0,3.8875432,0.0,2020-06-03
50,0.0,3.882106,0.0,2020-06-04
51,0.0,3.8007085,0.0,2020-06-05
52,0.0,3.9077134,0.0,2020-06-08
53,0.0,3.8495214,0.0,2020-06-09
54,0.0,3.8269296,0.0,2020-06-10
55,0.0,3.833693,0.0,2020-06-11
56,0.0,3.7393794,0.0,2020-06-12
57,0.0,3.8071744,0.0,2020-06-15
58,0.0,3.8700523,0.0,2020-06-16
59,0.0,3.9162304,0.0,2020-06-17
60,0.0,3.8876677,0.0,2020-06-18
61,0.0,3.9723816,0.0,2020-06-19
62,0.0,3.8792448,0.0,2020-06-22
63,0.0,4.0002413,0.0,2020-06-23
64,0.0,3.9640896,0.0,2020-06-24
65,0.0,3.9265168,0.0,2020-06-25
66,0.0,3.9751737,0.0,2020-06-26
67,0.0,3.9200654,0.0,2020-06-29
68,0.0,4.0028725,0.0,2020-06-30
69,0.0,3.970871,0.0,2020-07-01
70,0.0,3.9767613,0.0,2020-07-02
71,0.0,3.9810658,0.0,2020-07-06
72,0.0,3.9974668,0.0,2020-07-07
73,0.0,4.0029397,0.0,2020-07-08
74,0.0,4.0001283,0.0,2020-07-09
75,0.0,3.9998014,0.0,2020-07-10
76,0.0,3.9903393,0.0,2020-07-13
77,0.0,3.9778717,0.0,2020-07-14
78,0.0,3.9875383,0.0,2020-07-15
79,0.0,3.9708562,0.0,2020-07-16
