date,sigma_t_w5,X_t_vol_w5,sigma_t_w10,X_t_vol_w10,sigma_t_w21,X_t_vol_w21
1999-07-06,0.01369030826319644,24,0.023888372446247547,40,0.020564856653288797,34
1999-07-07,0.014327836589039229,26,0.023407638222549026,40,0.020566306801021336,34
1999-07-08,0.0209987467647444,37,0.0235147770097449,40,0.021673015832276175,36
1999-07-09,0.021279193183541534,38,0.02144755782917862,37,0.02159342121129865,36
1999-07-12,0.020419597616167583,37,0.021579883197215745,37,0.020884846529937058,35
1999-07-13,0.015806182905835096,29,0.01934315713056649,34,0.02122980640276745,35
1999-07-14,0.014550805875716133,26,0.019067306555113572,33,0.021240235995060877,35
1999-07-15,0.00760768597762816,8,0.015160908980649604,26,0.021215305887565993,35
1999-07-16,0.007555706822185408,8,0.015223001332498855,26,0.018860660210333544,31
1999-07-19,0.008094705786871584,9,0.014679985128022587,24,0.018855268853965115,31
1999-07-20,0.013311345695806904,24,0.013887063736679677,22,0.019970063965140207,33
1999-07-21,0.012715058483879648,22,0.012953427762707009,20,0.019993129983095992,33
1999-07-22,0.020013758505350778,36,0.014301864104648492,23,0.020765003602253498,35
1999-07-23,0.021565841024375355,38,0.015249875189358119,26,0.019946243767221622,33
1999-07-26,0.021753312195753483,39,0.015493201881989067,26,0.019110126827869757,31
1999-07-27,0.017508634804861964,32,0.015332577000839948,26,0.01911070229163828,31
1999-07-28,0.01795423225732785,33,0.015555117256412388,27,0.016951660318916345,28
1999-07-29,0.015154369559784393,28,0.01701536593212444,30,0.01755535979903188,29
1999-07-30,0.015329142970655364,28,0.017716845080644424,31,0.01588134466405124,26
1999-08-02,0.012973618570967588,23,0.017263595115173853,30,0.015929286673643534,26
1999-08-03,0.01221805040734382,21,0.01620018209741731,28,0.015702256786380212,26
1999-08-04,0.013398192110020461,24,0.0173994026083223,30,0.01494712266817795,24
1999-08-05,0.016125200792656186,29,0.014755043532675875,24,0.015191324423134827,25
1999-08-06,0.01599753534184911,29,0.01477736421256063,25,0.01434530787293183,23
1999-08-09,0.019007001240304258,35,0.016154664263479925,28,0.01517863585851707,25
1999-08-10,0.020327701415223803,37,0.015944625068694093,28,0.01559534075474216,26
1999-08-11,0.02646999515293255,43,0.022288118375607874,38,0.018302377561504855,30
1999-08-12,0.026256016198683386,43,0.021388898208668263,37,0.018415194002980265,30
1999-08-13,0.028728493206715593,45,0.025595750783445777,42,0.021723628461100052,36
1999-08-16,0.029521731615323385,45,0.025041074857661563,41,0.02171157681756735,36
1999-08-17,0.022238008700089653,39,0.025056511222246565,41,0.021697129368132062,36
1999-08-18,0.02294959630224949,40,0.02353544685067154,40,0.020893159489906173,35
1999-08-19,0.024013819231986484,41,0.023815935019569683,40,0.020847564411347917,35
1999-08-20,0.007209751531034875,7,0.022028370168510034,38,0.020042738102761644,33
1999-08-23,0.02483581675230549,42,0.02591038434060509,42,0.02253201599096572,37
1999-08-24,0.02479732445141828,42,0.02298485085080061,39,0.022519653790416035,37
1999-08-25,0.024021149361833187,41,0.02214869533446936,38,0.022573392400919122,37
1999-08-26,0.03009397425046715,46,0.025718518151012403,42,0.02355703782563847,39
1999-08-27,0.030593137671296275,46,0.021005478912887718,36,0.022914120279710144,38
1999-08-30,0.01386601759839779,25,0.02215364072457028,38,0.022983382986839707,38
1999-08-31,0.01030250239843838,15,0.022252729899706055,38,0.023016266734170433,38
1999-09-01,0.013349762460381593,24,0.022172963321378036,38,0.02299167358794669,38
1999-09-02,0.012423016006588508,21,0.023676457838451213,40,0.023196709296543303,38
1999-09-03,0.03665669955212595,48,0.0318345833961088,46,0.026763770869523737,42
1999-09-07,0.03909546153609628,49,0.028272077017773067,44,0.027623061835485026,43
1999-09-08,0.03889283114322595,49,0.028553943223933176,44,0.027491916638957756,43
1999-09-09,0.03949128830247569,49,0.028625883016709534,44,0.02707881538150234,43
1999-09-10,0.036646065651773155,48,0.027384166245388704,43,0.02580192654710777,41
1999-09-13,0.017621202701746597,32,0.028145671007577006,44,0.02638378657975678,42
1999-09-14,0.014242560781157045,26,0.02815220555295179,44,0.024170899725199018,40
1999-09-15,0.011694639582988853,19,0.02818794588301024,44,0.0241608891255563,40
1999-09-16,0.013253431978390556,23,0.028131258090765467,44,0.024137358087483067,40
1999-09-17,0.014609537254535716,27,0.02704145637829072,43,0.0241480882463136,40
1999-09-20,0.01101206381328449,17,0.014713436615140721,24,0.02415341237404936,40
1999-09-21,0.014681401872034318,27,0.013896655628974523,22,0.024786907212873268,40
1999-09-22,0.01406050174087954,25,0.01245456268590645,19,0.021139154906412144,35
1999-09-23,0.013085490478413075,23,0.012426092068897743,19,0.020972349055643373,35
1999-09-24,0.014317537050155506,26,0.01366713497443235,22,0.02131515487560962,35
1999-09-27,0.01814401596967629,33,0.015353845138071911,26,0.021574677727891803,36
1999-09-28,0.021127484897539846,38,0.0171542331572623,30,0.02240172648167222,37
1999-09-29,0.02153892341997465,38,0.017154286357825493,30,0.02219640308169038,37
1999-09-30,0.02221959252299929,39,0.017668020600226576,31,0.02238877352846476,37
1999-10-01,0.022882330344413667,40,0.01846260813477291,32,0.022683255958892857,38
1999-10-04,0.012882356581195816,22,0.018764059745810874,33,0.0221293041359172,37
1999-10-05,0.01185334326822598,20,0.016454332450614645,29,0.016146754414150474,27
1999-10-06,0.014308839141749,26,0.019293613311716824,33,0.016713586910983298,28
1999-10-07,0.01450980747982822,26,0.018705027793202895,33,0.016553848048965168,28
1999-10-08,0.016193669994339712,30,0.018963769944325234,33,0.016463328811821075,27
1999-10-11,0.019853015387639478,36,0.01624396242573216,28,0.01691494126474664,28
1999-10-12,0.020542324589518008,37,0.015876123554346977,27,0.016413636796082747,27
1999-10-13,0.015720750811234044,29,0.01952632397018544,34,0.01762108210939469,29
1999-10-14,0.0185840696086096,34,0.0198513430704217,35,0.01798535955920603,30
1999-10-15,0.02309097138045424,40,0.023254392326310665,39,0.020141821921597143,33
1999-10-18,0.04679198521255677,51,0.03391140868273421,48,0.02603342261275416,42
1999-10-19,0.0466649481717937,51,0.034044972229521187,48,0.026204738198280158,42
1999-10-20,0.04101074183541506,50,0.0326433463415181,47,0.02554374554315528,41
1999-10-21,0.04103559021281731,50,0.03303701582505592,47,0.025712046237930556,41
1999-10-22,0.03203297309692965,46,0.04008278134742731,50,0.02990219593063153,45
1999-10-25,0.040804063230115845,50,0.0423126773005091,51,0.03161649046998944,46
1999-10-26,0.04081487581200144,50,0.041774873546307614,51,0.030454414339130924,45
1999-10-27,0.045578974942617194,51,0.041283851070747425,50,0.032586145559589844,47
1999-10-28,0.04539691156015729,51,0.04138556246765064,50,0.03256776318328229,47
1999-10-29,0.03833658303621259,49,0.03616739512431679,49,0.032772943645898826,47
1999-11-01,0.026338086587870985,43,0.0324831881259162,47,0.03275341284066231,47
1999-11-02,0.02677564786348911,43,0.03261658066480952,47,0.03275256574589583,47
1999-11-03,0.01825807290686982,33,0.03460107756817784,48,0.033149253239986,47
1999-11-04,0.02056470738327761,37,0.03530799264192431,48,0.03328725732908422,47
1999-11-05,0.02025161247840086,36,0.028912745824600437,44,0.0333654105603133,47
1999-11-08,0.02009326121112484,36,0.02266088033670625,39,0.03315966416386709,47
1999-11-09,0.022673753828572576,40,0.02432604281183543,40,0.03288311706665833,47
1999-11-10,0.022417953158542208,39,0.019363453116831502,34,0.033104977129692896,47
1999-11-11,0.015777577804120434,29,0.017370492846527634,30,0.031396199479382485,46
1999-11-12,0.02743201035045208,44,0.02275648219237002,39,0.03257478794336385,47
1999-11-15,0.02791108916760827,44,0.02312590249905283,39,0.03007201584015945,45
1999-11-16,0.028100767370161463,44,0.024362890494806128,40,0.027535893892774978,43
1999-11-17,0.02778776098601766,44,0.024099976102287767,40,0.028343846683510053,44
1999-11-18,0.029672255489338446,45,0.022949174875086333,39,0.028715240566144638,44
1999-11-19,0.018959238617736927,34,0.022480230625620396,38,0.02871129406464642,44
